D1,D2
1345,1821
1917,1518
1952,1863
1133,47
184,1835
556,2028
917,1086
858,1975
458,450
1540,1424
474,894
2076,776
1329,785
414,648
2281,2106
628,1435
1171,935
1949,1123
797,2420
385,1290
246,206
1416,1475
1314,1575
1035,542
279,1242
1403,735
493,1733
225,2131
1327,736
2262,1465
1111,788
1775,1619
1887,680
2047,1517
1287,1921
1336,1723
377,2080
586,449
2058,382
2066,1813
1043,641
1358,884
998,839
150,109
658,399
865,890
300,354
1811,780
1732,1768
2275,1416
228,2477
435,846
1583,240
1261,1675
811,1187
2003,1370
780,1138
231,2181
949,988
878,1433
558,1881
1034,1826
2077,333
273,2082
1309,2415
1613,2066
1605,1770
1501,1031
999,1728
948,791
1215,245
2248,578
365,1489
2151,1122
453,1636
1559,2363
724,251
2027,1321
153,554
812,250
1664,980
954,347
492,1537
731,1238
1702,1325
2191,2010
1048,1481
1744,683
1141,1924
1363,441
1379,2020
1407,2069
620,2424
1697,289
1415,1230
737,1485
128,1591
953,298
771,1830
1562,1179
1919,1076
1948,1125
14,2086
2203,2109
2258,1911
1743,190
286,2527
236,751
966,2124
529,254
1944,2063
1574,439
2090,38
2088,1864
2207,234
784,1781
1423,737
362,1342
1177,740
1915,287
2114,482
654,1832
1886,2360
872,1484
1972,237
1653,1820
484,2377
1058,100
1599,1722
1508,2414
2173,1419
438,601
241,1393
437,1588
846,2126
1546,2463
1093,1
1371,1034
73,1938
2044,1174
255,1541
850,843
666,2079
1606,2117
1842,1374
1835,2213
1724,1178
775,844
1016,397
57,754
572,2327
1169,790
1686,1524
1352,1232
721,1437
702,845
680,944
551,304
251,357
143,457
66,1741
274,949
1609,94
411,750
1585,2167
1148,1136
212,2381
1103,495
1689,2610
748,1585
1307,1825
1535,1082
169,1740
913,448
2028,1767
659,155
1771,2313
1712,93
13,607
746,6
1013,1582
1457,1478
2073,681
78,557
381,2478
1834,1819
60,1791
618,748
993,2372
1220,198
601,1834
1365,2269
336,110
1800,1030
763,1388
1984,1324
525,1687
297,308
1612,835
1910,486
2084,1915
141,1445
242,1049
1150,1729
1250,2320
495,898
1383,1973
1727,1426
1097,1631
1175,2321
950,103
2089,1323
820,302
1999,880
1941,782
2179,2309
155,1149
875,2226
903,1979
1628,2217
1905,1276
1253,1580
1394,1677
1077,694
436,2429
39,65
1160,545
261,1000
1061,793
1715,341
427,1837
1355,296
677,699
715,1883
815,1487
1063,1336
50,1743
498,1935
54,1891
1902,635
1973,2164
1406,2615
2008,1226
755,797
1125,3
2049,1423
1729,588
1072,744
1475,1430
1242,2025
1578,2169
1510,2466
2169,336
1876,685
874,1536
942,1782
2215,1816
785,106
943,1930
211,1248
1512,2318
817,994
1201,940
422,604
1509,1726
971,252
115,1200
426,1443
1490,838
1810,1525
2065,1522
1773,2019
324,1691
1901,1376
1584,837
1484,2072
1122,892
1760,1822
506,2528
319,655
1497,246
284,2284
791,1439
21,1695
91,115
292,310
1958,438
1770,1526
1554,739
1258,1779
1493,197
9,2485
2031,536
124,2533
1470,148
783,1390
1778,243
859,945
217,1693
560,850
1377,396
837,896
1252,1878
186,1348
1235,2125
1923,2018
1109,2472
799,107
85,2287
1763,1724
1420,2419
1755,1280
1938,1870
2070,684
1883,933
501,1986
1550,937
81,1843
1184,1731
683,2428
1269,1434
1392,1926
2023,1721
691,1589
1413,2518
1010,993
772,305
77,1251
2233,929
1556,345
361,2136
1527,2270
1838,2365
1405,1482
823,2476
988,352
1855,687
1492,494
899,57
1768,392
486,2184
2159,2460
1146,597
174,362
873,1538
987,599
717,849
573,1739
40,2535
708,1392
389,1988
1928,489
912,452
1792,1379
981,1833
852,2180
1161,2571
3,463
876,1094
972,2376
359,1199
1748,1133
1700,1331
612,2035
1872,1329
1656,1529
1980,1081
2293,2607
2283,41
387,2482
1733,1923
1243,2225
345,706
2062,488
1615,2566
1168,1091
137,758
532,1987
2201,141
2095,241
1866,688
1961,144
1106,253
789,701
230,1596
447,2235
1473,1285
2238,1868
1116,2375
2178,1474
1812,146
449,1939
830,1737
397,1841
718,406
313,1694
1067,1981
1598,2172
2107,2462
1805,2367
1641,1234
1396,398
1807,2219
2170,2264
547,359
1675,987
6,1698
491,2087
1495,1384
94,710
352,16
1711,1036
609,1296
2196,1425
369,460
1517,841
990,1933
403,509
304,1892
1038,2426
2239,783
1674,2517
2230,1326
507,113
728,61
1114,2129
308,1744
2242,1622
209,166
191,2387
695,1690
665,358
689,1098
1899,886
171,2486
1995,194
118,266
832,60
227,1992
844,1343
289,2090
1794,2220
1433,53
1389,2373
459,1644
871,504
610,902
341,165
48,2488
792,1344
1658,544
1179,7
1955,2021
1031,1440
1611,2568
1713,50
1341,1683
616,2580
602,853
136,908
74,1649
221,1598
1450,4
1435,2521
139,612
1020,256
84,1353
1028,2378
1367,548
2056,2563
317,462
2286,2511
2224,2265
711,556
1893,2121
1841,1332
538,1249
1740,593
733,161
819,1147
1593,2174
1708,248
1354,351
382,1103
706,1790
428,609
930,2577
235,562
20,614
96,2439
816,2085
1854,444
43,1058
2267,2413
129,2044
1908,98
1054,207
1766,840
1228,1340
1761,692
908,801
2061,2317
1191,847
1878,592
1331,796
646,903
2127,293
1044,158
1245,2475
476,1448
1356,1092
333,2042
380,1696
457,1547
1913,49
1254,2179
1037,2379
1532,2077
1381,1684
1376,2523
2033,1084
1090,2033
1644,990
2002,887
1018,208
1993,443
2186,342
1680,52
2001,1578
1640,1533
554,1250
667,2433
2117,1330
637,805
1937,1727
1741,2519
941,456
841,852
1052,356
45,1059
1880,1185
1780,1581
564,1645
337,2536
483,511
1056,2330
615,2434
2026,1134
2039,2565
1446,154
809,63
222,1896
752,952
1128,2132
2172,1922
893,605
1547,1140
1506,1634
1765,2075
805,2432
725,2285
69,1602
52,862
160,1749
788,409
338,1056
1809,989
1014,2331
1856,1778
390,1697
1281,798
2006,888
681,2039
2050,2516
1965,2221
2112,492
1185,1885
206,1502
1806,249
116,2194
1030,1196
65,1109
1859,1038
598,2583
636,658
430,1154
1945,889
1865,1877
1994,1382
257,1699
1785,743
1303,2328
975,2332
1978,1629
2052,2319
1589,1535
1889,2173
11,1258
282,1008
1758,2224
1134,1294
828,2186
370,563
1692,1090
932,507
1637,992
1742,300
219,269
384,267
687,2040
1257,602
1107,1048
475,2240
600,2436
175,1158
2030,1876
469,2487
2100,2418
417,2389
35,617
1009,1839
1173,702
1590,697
1483,649
2250,393
63,2344
1131,900
1638,1042
1892,2322
605,1844
1419,2081
1445,995
880,1594
145,912
596,117
895,2038
299,1453
1081,1197
1339,503
119,2541
376,712
1685,795
996,1889
1874,546
1542,2524
768,2188
1211,258
1825,2422
1858,1632
159,24
1120,1641
1414,2279
1909,1977
83,1999
2045,939
952,1347
1694,55
1985,1680
1286,2034
1451,2032
367,1897
440,2587
1078,2382
1110,1592
1576,1241
318,812
2165,395
1803,2324
1959,1730
726,2189
1796,745
1571,501
1206,1295
1337,2083
847,263
500,662
1853,1386
1439,2526
1960,151
248,221
1213,12
237,764
1318,1738
208,1702
1833,1041
938,1792
1767,647
210,2245
1101,2185
2254,1875
1695,1635
1659,1438
614,1648
76,1013
275,1208
1142,2530
1019,1051
973,410
849,757
1852,1880
884,954
148,1407
1285,2479
82,865
1620,353
764,1301
1071,2383
1408,1540
1749,1980
1277,752
24,323
416,2539
1544,1884
99,1704
1966,2027
1832,1239
980,361
2247,99
855,856
311,73
781,2140
1817,2177
2085,1927
332,1356
1229,753
1240,62
798,1153
795,1005
934,2089
696,1253
2143,594
1538,552
625,2537
1552,996
93,372
1875,696
1297,703
130,569
1223,13
611,1945
2180,1630
2032,2076
727,1006
1060,1002
2284,2073
1312,999
2022,497
1432,2182
105,1063
1500,2576
2024,1188
1086,1298
1304,2233
431,2589
510,466
1437,1047
613,1057
567,1403
1386,1936
1426,2281
1745,698
2200,51
1306,1789
894,1646
1522,306
405,1948
1969,1189
2223,1186
1563,2329
1731,1192
314,2048
1545,1145
268,2098
1968,301
1132,15
180,520
154,619
716,859
34,127
1925,1338
2282,2222
1738,1587
1520,652
690,1797
767,1352
472,714
1027,806
1096,2187
1721,2525
464,122
742,20
793,1944
1156,854
1300,951
1847,2573
1840,2425
8,177
761,1451
1378,506
868,2190
23,473
1839,1142
1759,8
603,1305
1642,1638
885,216
861,2141
2163,102
1233,508
1676,404
1369,309
1618,1441
1786,2278
138,324
842,1796
272,125
455,715
1320,1050
1082,1349
1935,1931
582,2046
1924,2474
75,1460
196,817
1256,64
836,760
1216,1397
1402,1148
270,2050
1911,303
656,1848
349,2592
15,622
1118,1497
271,767
1634,1787
1157,2385
1951,1043
409,2394
1123,1201
2156,1534
28,2448
18,30
2016,2128
1739,1095
1974,500
559,2343
47,918
1487,1937
2000,401
1310,212
1650,1491
862,1846
2241,349
226,472
753,2489
1705,1984
2051,2276
1622,1689
2115,400
997,1055
2227,2570
1896,2574
1219,855
1024,1795
1458,1247
694,1651
1619,2084
1564,2134
2037,105
450,1654
509,1900
2035,1783
1822,157
1706,948
2222,547
2171,2423
1894,403
1568,2529
1843,1292
429,1161
2036,2326
1438,606
64,820
1388,1643
2195,1584
574,962
1703,455
735,516
1989,1784
315,1064
2091,2227
1991,1488
2174,104
588,666
1390,2581
2211,153
1155,1054
1305,2582
645,1603
1015,809
1293,1842
1885,9
1374,2532
1953,2229
247,1608
1129,413
2063,2277
114,672
1851,1490
339,620
897,564
1164,18
1203,1498
1498,1001
1246,2534
1214,363
936,2291
802,1207
963,70
585,272
72,1660
1359,2286
2221,1190
985,514
1459,459
579,1802
357,423
2279,1831
1266,264
482,915
2212,1289
1814,899
443,1409
1696,407
296,1855
1196,956
1787,2232
1139,858
1302,560
824,319
589,1753
887,417
58,1414
1632,1395
1003,465
2135,402
329,1164
133,969
700,370
1673,1444
1788,505
1036,218
89,2006
383,374
215,1215
164,278
1600,162
1274,314
2208,2030
635,1210
1688,2283
2102,1982
1391,2336
1596,1692
2109,1291
1666,1099
1231,1351
1068,2340
294,326
790,1011
59,2303
1290,857
253,2350
12,675
1467,164
170,81
1572,755
553,866
2014,651
2146,1143
983,170
1268,364
511,1755
1073,2143
729,1703
1489,1990
1192,1204
421,2447
594,1310
1848,2578
765,2591
51,527
80,1711
1360,1597
1735,112
557,1656
1046,2341
198,2450
633,224
935,2145
1648,804
424,1707
1553,2483
2098,1983
1244,118
719,75
290,1462
2269,1685
1075,515
743,519
245,377
1079,1650
939,1553
822,1209
834,1653
1774,408
1986,1886
363,277
1280,1401
806,25
1104,811
121,2254
1393,2288
2235,600
2034,257
2119,1243
1580,756
1849,2480
316,870
244,1315
192,230
1652,1989
705,1803
1983,1985
1033,2490
537,522
1569,707
1844,2579
787,2493
322,1561
2199,1341
2120,355
1076,565
827,568
1647,2088
1182,317
1238,1106
982,961
1870,2036
2010,11
1912,1542
1604,1151
1502,2238
123,2304
4,973
1126,2440
2268,1686
587,670
1523,412
1098,960
2193,1539
1094,664
1716,1150
46,1713
1087,72
2072,603
838,2049
2177,1194
2272,1637
407,179
1548,2386
1411,315
298,2253
1066,1997
325,1167
266,1908
835,1457
974,419
1409,19
1188,2045
1350,1895
2138,405
2270,1193
1916,2431
2187,59
1971,111
346,2302
1693,1052
489,2399
2260,2427
1799,656
214,379
1022,2442
2236,947
684,719
1699,312
1465,1746
