Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
2483,840, [COL] name [VAL] Kristoffer Andersen [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Anders,0,D5
2296,21820, [COL] title [VAL] Kanguru Defender 1GB V2 KDV2-1G USB 2.0 Flash Drive [COL] modelno [VAL] KDV2-1G [COL] price [VAL] 39.82 [COL] shipweight [VAL] 0.25 [COL] brand [VAL] Kanguru [COL] dimensions [VAL] 4.02 x 4.0 x 1.03 inches, [COL] title [VAL] Kanguru Defender Basic 4 GB USB 2.0 Flash Drive KDFB-4G Black [COL] modelno [VAL] KDFB-4G [COL] price [VAL] 39.07 [COL] shipweight [VAL] 1 [COL] brand [VAL] Kanguru Solutions [COL] dimensions [VAL] 2.5 x 0.7 x 0.4 inches,0,D8
1400,5122, [COL] title [VAL] 50 Ways To Kill Your Mammy [COL] abstract [VAL] Irish daredevil presenter Baz Ashmawy and his 71-year-old mother Nancy embark on the trip of a lifetime and attempt to complete every item on an extreme bucket list he has created for her. [COL] releaseDate [VAL] 2014-08-26, [COL] name [VAL] Baz Ashmawy,0,D7
431,2237, [COL] title [VAL] mediapilot kit [COL] description [VAL] mediapilot is ingenious triple-threat software which effortlessly migrates the audio and video files from your ipod to pc records unlimited music from your audio player and clips your music to thousands of free ringtones. mediapilot makes it easy and you will be ready to listen anytime anywhere. whether you use windows media player real time itunes or any other player you can record all the music you want. just click the record button and you're done. easily browse your music and video library drag and drop audio and video files create custom folders to sort your favorite music and video files sort your ipod files by artist playlists and genre edit your favorite song into a ringtone by using the clip feature create a full library of fun ringtones to share with your friends and family easily transfer your ringtones to your cell phone free via data cables or over a bluetooth connection full compatibility with existing ipods including gen 4 & 5 ipods ipod photo mini and u2 software requirements - microsoft windows 2000 xp pentium 133 mhz or higher cpu 64mb minimum ram 100mb of free hard drive space 800x600 or higher resolution 256 colors or higher usb or serial port cd-rom drive [COL] manufacturer [VAL] susteen [COL] price [VAL] 39.95, [COL] title [VAL] pinnacle mobile media organizer software for windows ipod software [COL] description [VAL] mobile media organizer software for windows the mobile media organizer software for windows from pinnacle allows you to organize your digital media library. the software allows you to import manage and export digital media for use on your portable ... [COL] price [VAL] 39.95,0,D3
332,1918, [COL] title [VAL] spy sweeper [lb] [COL] description [VAL] spy sweeper 4.5 defends your pc and your personal information from the fast-growing threats to privacy you'll encounter online! whenever you download something online you risk infection with spyware. chances are your computer is already infected putting your confidential information and your computer's performance at risk. spy sweeper blocks spyware downloads keeping you one step ahead of the spies and marketers. [COL] manufacturer [VAL] webroot software [COL] price [VAL] 29.99, [COL] title [VAL] webroot software inc - 31250 - spy sweeper spanish [COL] description [VAL] a sypware infection is no longer just a matter of enduring annoying pop-ups ads a chaning homepage or a slow-performing computer. today's spyware is far more harmful and places personal information privacy and perhaps even your identity at risk. [COL] price [VAL] 24.81,0,D3
951,571, [COL] title [VAL] make music finale 2008 academic [COL] manufacturer [VAL] emedia [COL] price [VAL] 350.0, [COL] title [VAL] makemusic finale 2007 academic create edit and print sheet music [COL] description [VAL] finale 2007 for macintosh® g4 or higher recommended. os 10.3.9 and higher. cd or dvd-rom drive. 800x600 minimum monitor resolution. minimum 256mb ram (1gb or more recommended for optional use of garritan sounds / kontakt player: more ram = more ... [COL] price [VAL] 269,0,D3
2286,21127, [COL] title [VAL] TracFone LG 420G with 60 Minutes Card Refurbished [COL] modelno [VAL] DSV.TF420GR4.60C [COL] price [VAL] 19.88 [COL] shipweight [VAL] 6.6 [COL] brand [VAL] Tracfone [COL] dimensions [VAL] 4.5 x 4.5 x 2.3 inches, [COL] title [VAL] LG LG500G Tracfone with Double Minutes for Life [COL] price [VAL] 18.99 [COL] shipweight [VAL] 12.8 [COL] brand [VAL] LG,0,D8
2329,60511," [COL] title [VAL] Relating Distributed Objects [COL] authors [VAL] R. G. G. Cattell, Bruce E. Martin [COL] venue [VAL] VLDB [COL] year [VAL] 1994"," [COL] title [VAL] Distributed object computing: The brave new world [COL] authors [VAL] M Guttman, V Ohnjec [COL] venue [VAL] APPLICATION DEVELOPMENT TRENDS, [COL] year [VAL] 1997.0",0,D9
3577,1245, [COL] name [VAL] Chen Yao [COL] job [VAL] actor, [COL] name [VAL] Chen Yao,1,D7
935,14495, [COL] title [VAL] Ensuring Consistency in Multidatabases by Preserving Two-Level Serializability [COL] authors [VAL] Sharad Mehrotra [COL] venue [VAL] ACM Trans. Database Syst. [COL] year [VAL] 1998," [COL] title [VAL] Concurrency control in multilevel-secure databases based on replicated architecture [COL] authors [VAL] B Kogan, S Jajodia [COL] venue [VAL] ACM SIGMOD Record, [COL] year [VAL] 1990.0",0,D9
381,1351, [COL] name [VAL] Alon Hamawi [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Ali Lakrouf,0,D5
2290,11979, [COL] title [VAL] Orbital Tilt and Turn TV Wall Mount with Glass Shelving for 25-40  TVs [COL] modelno [VAL] RESL422B-E [COL] price [VAL] 0.0 [COL] brand [VAL] Orbital [COL] dimensions [VAL] 19.0 x 15.0 x 10.0 inches, [COL] title [VAL] Bell O 7842B Tilt Pan Extending 28-Inch Articulating Arm Wall Mount Fits a 32-Inch to 47-Inch Flat Screen TV Holds Up to 200 lb s Black [COL] modelno [VAL] 7842B [COL] price [VAL] 253.56 [COL] shipweight [VAL] 62 [COL] brand [VAL] Bell'O [COL] dimensions [VAL] 25.0 x 22.0 x 9.6 inches,0,D8
606,585, [COL] name [VAL] Sony VCT-80AV Tripod - VCT80AV [COL] description [VAL] Floor Standing Tripod - 24.8' to 65.75' Height - 8.8 lb Load Capacity, [COL] name [VAL] Sony Remote Control Tripod - VCT60AV [COL] description [VAL] Sony Remote Control Tripod - VCT60AV/ A/V Remote Connector/ 4 Stage Leg Extension/ Extends From 18.9' To 57.6' In Height/ Guide Frame Feature/ Available Vertical Position/ Supplied Carrying Case/ Black Finish [COL] price [VAL] 99.0,0,D2
2179,17769, [COL] title [VAL] EXPO Dry Erase EraserXL with Replaceable Pad Felt 10w x 2d [COL] price [VAL] 12.19 [COL] shipweight [VAL] 0.625 [COL] brand [VAL] EXPO, [COL] title [VAL] New-EXPO 83054 - Dry Erase Marker Eraser Cleaner Chisel Fine Assorted 12 Set - SAN83054 [COL] shipweight [VAL] 4.2 [COL] brand [VAL] Expo,0,D8
83,60532," [COL] title [VAL] Business Process Coordination: State of the Art, Trends, and Open Issues [COL] authors [VAL] Meichun Hsu, Rivka Ladin, Umeshwar Dayal [COL] venue [VAL] VLDB [COL] year [VAL] 2001"," [COL] title [VAL] Workflow Management: State of the Art vs [COL] authors [VAL] W Du, A Elmagarmid [COL] venue [VAL] State of the Products. In [Dogac et al.,",0,D9
1038,742, [COL] title [VAL] game of life jc [COL] description [VAL] based on the famous milton bradley board game a classic for over a century is here for play on your pc. the game was originally created in 1861 by milton bradley as the checkered game of life. the goal is to proceed through life earning money raising a family and ageing gracefully. but beware the pitfalls and many obstacles that you encounter. such is life! the classic board game has been reformatted for for an enhanced experience on your pc - desktop or notebook. everyone will enjoy the game of life. [COL] manufacturer [VAL] encore [COL] price [VAL] 9.99, [COL] title [VAL] encore software 11750 - game of life - win 95 98 [COL] description [VAL] encore software 11750 : the game of life is better than you remember! features: - animated videos - mini-games - rock-n-roll soundtrack from the 60's to the present - 6 players (internet or lan) system requirements: windows 95/98; pentium 90 mhz cpu ... [COL] price [VAL] 7.69,1,D3
614,190, [COL] name [VAL] Panasonic KX-TG4321B 5.8 GHz Expandable Digital Cordless Phone [COL] description [VAL] 1 x Phone Line(s) - Black, [COL] name [VAL] Panasonic KX-TG4500B Black 5.8 GHz Cordless Phone System - KXTG4500B [COL] description [VAL] Panasonic KX-TG4500B Black 5.8 GHz Cordless Phone System - KXTG4500B/ Frequency-Hopping Spread Spectrum Technology/ All-Digital Voice Mail System/ Handles Up To 4 Lines/ Tollsaver/ 2-Way Recording/ Black Finish,0,D2
1705,6024, [COL] title [VAL] Episode 7 [COL] episodeNumber [VAL] 7.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2015-07-27, [COL] title [VAL] Episode 7 [COL] episodeNumber [VAL] 7.0 [COL] seasonNumber [VAL] 3.0 [COL] releaseDate [VAL] 2015-10-21 [COL] release_year [VAL] 2015-01-01,0,D7
1812,2503," [COL] title [VAL] Scalable parallel data mining for association rules [COL] authors [VAL] Eui-Hong Han, George Karypis, Vipin Kumar [COL] venue [VAL] International Conference on Management of Data [COL] year [VAL] 1997.0"," [COL] title [VAL] Parallel Mining Algorithms for Generalized Association Rules with Classification Hierarchy [COL] authors [VAL] Masaru Kitsuregawa, Takahiko Shintani [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1998",0,D4
1640,1568, [COL] title [VAL] Sharp EL-334MB Basic Calculator [COL] modelno [VAL] EL334TB [COL] price [VAL] 15.99 [COL] shipweight [VAL] 0.413 [COL] brand [VAL] Sharp, [COL] title [VAL] Sharp Electronics EL-506XBWH Engineering Scientific Calculator [COL] modelno [VAL] EL-506XBWH [COL] price [VAL] 14.99 [COL] shipweight [VAL] 1 [COL] brand [VAL] Sharp [COL] dimensions [VAL] 9.6 x 5.8 x 1.1 inches,0,D8
432,59373," [COL] title [VAL] Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations [COL] authors [VAL] Ning Jing, Yun-Wu Huang, Elke A. Rundensteiner [COL] venue [VAL] VLDB [COL] year [VAL] 1997"," [COL] title [VAL] 1993 . Efficient processing ofspatial joins using R-trees [COL] authors [VAL] T Brinkho, HP Kriegel, B Seeger [COL] venue [VAL] Proc. ACM SIGMOD Int. Conf. on Management of",0,D9
142,142," [COL] title [VAL] The IDEA Web lab [COL] authors [VAL] Stefano Ceri, Piero Fraternali, Stefano Paraboschi [COL] venue [VAL] International Conference on Management of Data [COL] year [VAL] 1998.0"," [COL] title [VAL] Catching the Boat with Strudel: Experiences with a Web-Site Management System [COL] authors [VAL] Jaewoo Kang, Dan Suciu, Alon Y. Levy, Daniela Florescu, Mary F. Fernandez [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1998",0,D4
3644,2893, [COL] name [VAL] Wilhelm Zeno Diemer [COL] deathYear [VAL] 1978-01-01 [COL] birthYear [VAL] 1902-01-01 [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Wilhelm Bendow,0,D5
1050,749, [COL] name [VAL] LG 42LG30 42' LCD TV [COL] description [VAL] LG 42LG30 42' LCD HDTV - 12000:1 Dynamic Contrast Ratio - Invisible Speaker, [COL] name [VAL] LG 32' Black LCD Flat Panel HDTV With Built In DVD Player - 32LG40 [COL] description [VAL] LG 32' Black LCD Flat Panel HDTV With Built In DVD Player - 32LG40/ 720p HD Resolution/ 12000:1 Dynamic Contrast Ratio/ Side-Loading Progressive Scan DVD Player/ Super Multi-Format/ x3 HDMI 1.3/ AV Mode/ Clear Voice/ Invisible Speaker System/ Expert Mode/ PC Input/ Black Finish,0,D2
69,4615," [COL] name [VAL] Doc Hammer [COL] primaryProfessions [VAL] visual_effects,actor,writer"," [COL] title [VAL] The Doctor Is Sin [COL] abstract [VAL] 'Dr. Venture and his family put on a scripted tour for General Manhowers, who doesn't seemed too impressed with Dr. Venture's inventions. Having financial trouble, Dr. Venture thinks about having to sell the compound, but Dr. Henry Killinger (along with his Murder Bag) arrives to offer his services as a ''Freelance Business Consultant and Executive Motivational Coach'' to help him. [COL] episodeNumber [VAL] 2.0 [COL] seasonNumber [VAL] 3.0 [COL] releaseDate [VAL] 2008-06-08 [COL] release_year [VAL] 2008-01-01",0,D5
1081,1319," [COL] title [VAL] Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions [COL] authors [VAL] Achim Kraiss, Gerhard Weikum [COL] venue [VAL] Very Large Data Bases [COL] year [VAL] 1997.0"," [COL] title [VAL] Historical Queries Along Multiple Lines of Time Evolution [COL] authors [VAL] Vassilis J. Tsotras, Gad M. Landau, Jeanette P. Schmidt [COL] venue [VAL] VLDB J. [COL] year [VAL] 1995",0,D4
2089,20749, [COL] title [VAL] Netgear ProSafe GS716T 16-Port Ethernet Switch [COL] modelno [VAL] GS716T-200NAS [COL] price [VAL] 238.0 [COL] shipweight [VAL] 7.52 [COL] brand [VAL] NETGEAR [COL] dimensions [VAL] 20.5 x 12.1 x 4.25 inches, [COL] title [VAL] GS724T-300 - ProSafe 24-port Gigabit Smart Switch [COL] modelno [VAL] GS724T-300NAS [COL] price [VAL] 261.97 [COL] shipweight [VAL] 8 [COL] brand [VAL] Netgear [COL] dimensions [VAL] 20.5 x 12.5 x 4.5 inches,0,D8
106,56, [COL] name [VAL] Universal MX-350 Osiris Remote Control - MX350 [COL] description [VAL] TV VCR DVD Player CD Player Cable Box Satellite Receiver DVR Audio Receivers - 100 ft - Universal Remote [COL] price [VAL] 93.9, [COL] name [VAL] Universal IR/RF Remote - MX350 [COL] description [VAL] Universal IR/RF Remote - MX350/ Controls Up To 10 Components/ Extensive Macro Programming/ Memory Back-Up/ One Hand Ergonomics [COL] price [VAL] 149.95,1,D2
