Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
440,1062, [COL] name [VAL] Microsoft Office:mac 2008 Home and Student Edition - GZA-00006 [COL] description [VAL] Office Mac Home & Student 2008, [COL] name [VAL] Apple iWork 09 Software Individual Pack For Mac - MB942ZA [COL] description [VAL] Apple iWork 09 Software Individual Pack For Mac - MB942ZA/ Creating The Perfect Brochure Flyer Report Or Resume Is Faster And Easier Than Ever Using Pages 09/ Create Spreadsheets Organize Data And Write Formulas With Simple Yet Powerful Tools Using Numbers 09/ Easily Create Sophisticated Animations With Magic Move/ Dramatically Reduce File Size Without Compromising Quality/ Save Your iWork Document As A Word Excel Or PowerPoint File/ Individual Pack [COL] price [VAL] 79.0,0,D2
842,1050, [COL] name [VAL] Sony Z550N/B Notebook - VGNZ550N/B [COL] description [VAL] Sony VAIO Z550N/B Intel Centrino 2 Core 2 Duo P8600 2.40GHz Notebook 3GB DDR3 SDRAM 250GB SATA HD 13.1' LCD DVDR DL/DVDRW/RAM Modem Gigabit NIC 802.11a/b/g/n Sprint Mobile Bluetooth Vista Business SP1/XP downgrade, [COL] name [VAL] Sony VAIO FW Series Black Notebook Computer - VGNFW378JB [COL] description [VAL] Sony VAIO FW Series Black Notebook Computer - VGNFW378JB/ 2.40GHz Intel Core 2 Duo processor P8600/ 16.4' (1920 x 1080) XBRITE-FullHD Widescreen Display/ 320GB Serial ATA 7200rpm Hard Drive/ Built-In 1.3 Megapixel MOTION EYE Camera And Microphone/ 4GB PC2-6400 (2GBx2) Installed Memory (Maximum Up To 8GB)/ 1066MHz Front Side Bus Speed/ 3MB L2 Cache/ Blu-ray Disc Support (Read / Write 2x Max)/ Genuine Microsoft Windows Vista Home Premium 64-Bit/ Black Finish,0,D2
277,175, [COL] name [VAL] Techcraft SWP60 Classic Wood Tone Credenza TV Stand [COL] description [VAL] Wood - Walnut, [COL] name [VAL] Tech Craft Avalon Series TV Stand - SWP48 [COL] description [VAL] Tech Craft Avalon Series TV Stand - SWP48/ 48' Wide Credenza For Flat Panel TVs And DLPs/ 260 Lbs TV Weight Capacity/ 50 Lbs Shelf Weight Capacity/ Wood Veneer Finish [COL] price [VAL] 299.0,0,D2
913,1065, [COL] name [VAL] Logitech diNovo Edge Mac Edition - 920-000924, [COL] name [VAL] Logitech V-UBM46 QuickCam Pro 9000 Black Webcam For Windows - 960000048 [COL] description [VAL] Logitech V-UBM46 QuickCam Pro 9000 Black Webcam For Windows - 960000048/ Carl Zeiss Optics/ Autofocus/ HD Video/ RightLight Technology/ Integrated Microphone With RightSound Technology/ Ultra-Wide Field Of View And Intelligent Face Tracking/ Logitech Video Effects/ Downloadable Fun Filters/ Universal Monitor Clip/ Works With Windows XP And Vista/ Black Finish,0,D2
569,465, [COL] name [VAL] Sony Handycam HDR-HC9 High Definition Digital Camcorder - HDRHC9 [COL] description [VAL] 16:9 - 2.7' Color LCD [COL] price [VAL] 824.95, [COL] name [VAL] Sony 30GB Handycam Hard Disk Drive Camcorder - DCRSR45 [COL] description [VAL] Sony 30GB Handycam Hard Disk Drive Camcorder - DCRSR45/ 1/8' Advanced HAD CCD Imager/ 40X Optical/2000X Digital Zoom/ 2.7' Wide (16:9) Touch Panel Clear Photo LCD Plus Display/ Hybrid Recording To Hard Disk Drive Or Memory Stick Media/ Built-In Zoom Microphone With 5.1ch Recording/ Carl Zeiss Vario-Tessar Lens/ USB 2.0 Interface/ Super NightShot Infrared System,0,D2
483,234, [COL] name [VAL] DeLonghi ESAM3300 Esclusivo Magnifica Super-Automatic Espresso/Coffee Machine [COL] price [VAL] 916.55, [COL] name [VAL] DeLonghi Magnifica Super-Automatic Espresso/Coffee Machine - ESAM3300 [COL] description [VAL] DeLonghi Magnifica Super-Automatic Espresso/Coffee Machine - ESAM3300/ Stainless-Steel Removable Double Boiler/ Instant Reheat/ Removable Water Tank And Bean Container/ Integrated Burr Grinder/ Cappuccino System/ Cup Tray/ Silver Finish [COL] price [VAL] 799.95,1,D2
806,840, [COL] name [VAL] Speck Products SeeThru Case for Apple 13' MacBook - MB13-GRN-SEE-V2 [COL] description [VAL] Plastic - Green, [COL] name [VAL] Speck SeeThru Orange Hard Shell Case For 13' MacBook - MB13ORGSEEV2 [COL] description [VAL] Speck SeeThru Orange Hard Shell Case For 13' MacBook - MB13ORGSEEV2/ Translucent Hard Plastic Shell Gives Great Protection/ Full Access To All Controls/ Rubber Feet For Added Support/ Orange Finish,0,D2
623,613, [COL] name [VAL] Panasonic KX-TG9343T Cordless Phone [COL] description [VAL] Panasonic KX-TG9343T DECT 6.0 Expandable Digital Cordless Answering System w/3 Handsets [COL] price [VAL] 102.12, [COL] name [VAL] Panasonic DECT 6.0 Expandable Digital Cordless Phone With All-Digital Answering System - KXTG9341T [COL] description [VAL] Panasonic DECT 6.0 Expandable Digital Cordless Phone With All-Digital Answering System - KXTG9341T/ Up To 6 Multi-Handset Capability/ Digital Answering Machine System/ Ringer ID/ Call Waiting Caller ID/ Voicemail/ Hold/ Voice Menu/ Marker Message/ Mute/ Clock/ Alarm/ LED Lighting/ Night Mode/ Call Block/ Speakerphone/ 11 Days Standby/ 5 Hours Talk Time/ Black Metallic Finish,0,D2
681,590, [COL] name [VAL] Samsung 6 Series LN19A650 19' LCD TV [COL] description [VAL] Samsung LN19A650 - 19' Widescreen LCD HDTV - 3000:1 Dynamic Contrast Ratio - 8ms Response Time [COL] price [VAL] 369.0, [COL] name [VAL] Samsung 56' Black Widescreen Series 6 DLP HDTV - HL56A650 [COL] description [VAL] Samsung 56' Black Widescreen Series 6 DLP HDTV - HL56A650/ 1920 x 1080p Resolution/ 2500:1 Contrast Ratio/ Cinema Smooth Light Engine/ 3D Movie Viewing And Gaming/ DNIe Technology/ 3 HDMI Inputs/ Wiselink USB Connection/ TruSurround XT/ NTSC/ATSC/Clear QAM Tuner/ Black Finish,0,D2
578,723, [COL] name [VAL] Toshiba 22LV505 - 22' Widescreen LCD HDTV w/ Built-in DVD Player - 1000:1 Contrast Ratio - 5ms Response Time - Black, [COL] name [VAL] Sharp 26' Black LCD HDTV With Built In DVD Player - LC26DV24U [COL] description [VAL] Sharp 26' Black LCD HDTV With Built In DVD Player - LC26DV24U/ Side Loading Progressive Scan DVD Player/ True 16:9 Aspect Ratio (1366 x 768)/ 500 cd/m2 Brightness/ 800:1 Contrast Ratio/ 8ms Response Time/ 1 HDMI/ PC Input/ Black Finish,0,D2
