Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
1042,2798, [COL] title [VAL] tlc clue finders math learning system sb by riverdeep [COL] description [VAL] build a bevy of sharp math skills as you trek high in the himalayas with the cluefinders! they're on a quest to find missing ancient treasures and they need your sharp wits to hunt for clues. from purchasing supplies in the village store to building a yak corral every activity is a math learning challenge. solve the mystery and bring home the greatest treasure of all . . . a lifetime of math confidence! explore 15 interactive learning games and exercises at 10 different skill levels build more than 25 key math skills including number computation fractions and decimals tables and graphs and early geometry. solve more than 150 000 math problems! work through every challenge with a smile thanks to detailed built-in help celebrate your accomplishments with motivating progress reports trust cluefinders math adventures to boost math skills in so many key areas! plus a bonus dvd to further enhance the child's learning with exciting educational video content [COL] manufacturer [VAL] encore software [COL] price [VAL] 19.99, [COL] title [VAL] thinkin' things galactic brain benders [COL] description [VAL] this fun program helps develop a child's problem solving skills that are essential for success! children will learn: deductive and inductive reasoning early computer programming skills how to predict outcomes and much more! [COL] price [VAL] 8.95,0,D3
668,616, [COL] name [VAL] Samsung 4 Series LN26A450 26' LCD TV [COL] description [VAL] Samsung LN26A450 - 26' Widescreen 720p LCD HDTV - 5000:1 Dynamic Contrast Ratio - 8ms Response Time - Piano Black [COL] price [VAL] 549.0, [COL] name [VAL] Samsung 32' Series 5 LCD Black Flat Panel HDTV - LN32A550 [COL] description [VAL] Samsung 32' Series 5 LCD Black Flat Panel HDTV - LN32A550/ Full 1080p High Definition Resolution/ 16:9 Widescreen Aspect Ratio/ 30000:1 Dynamic Contrast Ratio/ 5ms Response Time/ SRS TruSurround XT Audio/ Built-In Digital Tuner (ATSC/Clear QAM)/ Picture-In-Picture/ Sound Leveler/ 3 HDMI Slots/ Swivel Stand/ Black Finish,0,D2
2446,8335, [COL] title [VAL] Avery Matte White CD Labels for Color Laser Printers and Copiers 30 Disc Labels and 60 Spine Labels [COL] modelno [VAL] 6692 [COL] price [VAL] 14.88 [COL] shipweight [VAL] 0.42 [COL] brand [VAL] Avery [COL] dimensions [VAL] 12.0 x 9.5 x 0.25 inches, [COL] title [VAL] Avery CD Labels for Laser Printers White 100 Disc Labels and 200 Spine Labels 5698 [COL] modelno [VAL] 5698 [COL] price [VAL] 27.29 [COL] shipweight [VAL] 12 [COL] brand [VAL] Avery [COL] dimensions [VAL] 11.2 x 8.8 x 0.5 inches,0,D8
1611,20792," [COL] title [VAL] The Denodo Data Integration Platform [COL] authors [VAL] Anastasio Molano, Alberto Pan, Paula Montoto, Juan Raposo, Luc?a Ardao, Manuel ?lvarez, Vicente Orjales, ?ngel Vi?a, Justo Hidalgo [COL] venue [VAL] VLDB [COL] year [VAL] 2002"," [COL] title [VAL] The Development and Application of Data Base Design Tools and Methodology [COL] authors [VAL] DK Jefferson [COL] venue [VAL] VLDB, [COL] year [VAL] 1980.0",0,D9
2226,4602, [COL] title [VAL] MSM GeForce GT 430 Graphics Card with 1GB GDDR3 2000MHz Memory [COL] modelno [VAL] N430GT-MD1GD3-OC [COL] price [VAL] 86.92 [COL] shipweight [VAL] 1.05 [COL] brand [VAL] MSI [COL] dimensions [VAL] 6.93 x 2.87 x 1.34 inches, [COL] title [VAL] MSI Geforce 210 512 MB DDR2 PCI-Express 2.0 Graphics Card MD512H [COL] modelno [VAL] N210-MD512H [COL] shipweight [VAL] 1 [COL] brand [VAL] MSI [COL] dimensions [VAL] 8.8 x 6.0 x 1.3 inches,0,D8
641,304, [COL] title [VAL] internet security barrier x4 antispam edition [COL] description [VAL] internet security barrier x4 antispam edition (mac 10.2.8 or later) [COL] manufacturer [VAL] intego inc [COL] price [VAL] 0.0, [COL] title [VAL] intego inc internet security barrier x4 antispam edition [COL] description [VAL] includes: netbarrier keep your mac safe from hackers and vandals! powerful easy-to-use and fully customizable netbarrier x4 gives you total protection from hackers and vandals. whether you are a home user or an experienced network admi [COL] price [VAL] 71.75,1,D3
1161,36179," [COL] title [VAL] Semantic and Schematic Similarities Between Database Objects: A Context-Based Approach [COL] authors [VAL] Vipul Kashyap, Amit P. Sheth [COL] venue [VAL] VLDB J. [COL] year [VAL] 1996"," [COL] title [VAL] Semantic Adaptation of Schema Mapping after Schemas Evolve [COL] authors [VAL] C Yu, L Popa [COL] venue [VAL] Proceedings of VLDB,",0,D9
903,74, [COL] name [VAL] Full Console Dishwasher with 4 Automatic Cycles - DU1055XTSB [COL] price [VAL] 378.29, [COL] name [VAL] Whirlpool 24' Built-In Dishwasher - DU1055SS [COL] description [VAL] Whirlpool 24' Built-In Dishwasher - DU1055SS/ 14-Five Piece Place Setting Super Capacity Tub/ 5 Level Direct Feed SheerClean Wash System/ 4 Cycles/ Soak And Scour Option/ AnyWare Plus Silverware Basket/ Quiet Partner I Sound Package/ Energy Star Qualified/ Black On Stainless Finish [COL] price [VAL] 491.0,0,D2
1387,3120," [COL] name [VAL] Vladim?r Mens?k [COL] deathYear [VAL] 1988-01-01 [COL] birthYear [VAL] 1929-01-01 [COL] primaryProfessions [VAL] actor,soundtrack,writer", [COL] name [VAL] Vladim?r Chorvatovi?,0,D5
425,397, [COL] name [VAL] Transcend 2GB CompactFlash Card (133x) - TS2GCF133, [COL] name [VAL] Transcend JetFlash V10 8GB USB Flash Drive - TS8GJFV10 [COL] description [VAL] Transcend JetFlash V10 8GB USB Flash Drive - TS8GJFV10/ Hi-Speed USB 2.0/ Capless Sliding Design Protects The Connector/ Easy Plug And Play Installation/ AES Encryption/ DataBackup Function/ Keychain Hook And Neck Strap/ Black Finish,0,D2
2367,60517," [COL] title [VAL] Title, Foreword, Special Issue Editorial [COL] authors [VAL] ? [COL] venue [VAL] VLDB J. [COL] year [VAL] 1994"," [COL] title [VAL] Special issue on prototypes of deductive database systems [COL] authors [VAL] K Ramamohanarao [COL] venue [VAL] The VLDB Journal???The International Journal on Very Large  &hellip;, [COL] year [VAL] 1994.0",0,D9
748,188, [COL] title [VAL] micromat protogo [COL] description [VAL] protogo turns your old portable drives or ipods into a bootable diagnostic device. quickly load up micromat's most powerful tools or any of your own utilities. select the device select the desired profile and then press a single button -- protogo will format and configure the device and then install all of the system files and tools you'll need. you can even load up a full-blown mac os x installation including a finder classic and multiple utility programs. protogo includes several profiles for standard system/utility configurations so that you can easily set up a device for your particular needs. rebuild volume directories boot different mac os versions recover data from damaged volumes repartition your drives without losing data run all kinds of utilities system requirements - macintosh capable of running mac os x 10.4 or above / mac os x 10.4 or greater / dvd-rom drive / 512 mb ram or greater / 2 gb or larger target device like an older ipod or other external media device [COL] manufacturer [VAL] micromat [COL] price [VAL] 0.0, [COL] title [VAL] micromat podlock ipod utility software [COL] description [VAL] system requirements: a macintosh running mac os x 10.3 or greater. an ipod. [COL] price [VAL] 39.99,0,D3
2517,2175," [COL] title [VAL] Black Maps and Motel Rooms [COL] abstract [VAL] Ray, Ani and Paul take precautionary measures to elude detection and untangle a dark mystery. Frank deals with the fallout of his betrayal. [COL] episodeNumber [VAL] 7.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2015-08-02"," [COL] title [VAL] Church in Ruins [COL] abstract [VAL] Desperate to locate a missing woman with intel about Caspere, Frank meets with Mexican drug dealers; Ani infiltrates an exclusive inner circle, with Ray and Paul keeping close tabs.  [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2015-07-26 [COL] release_year [VAL] 2015-01-01",0,D7
4868,1994, [COL] name [VAL] Julian Ras [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Juliana Paes,0,D5
938,5240, [COL] title [VAL] ViewSonic Pro8500 DLP Projector [COL] modelno [VAL] PRO8500 [COL] price [VAL] 1518.0 [COL] shipweight [VAL] 11.95 [COL] brand [VAL] ViewSonic [COL] dimensions [VAL] 16.75 x 15.25 x 7.5 inches, [COL] title [VAL] ViewSonic PRO8200 1080p DLP Home Theatre Projector - 2000 Lumens 3000 1 DCR Dual HDMI 20W Speakers [COL] modelno [VAL] PRO8200 [COL] price [VAL] 799.99 [COL] shipweight [VAL] 14 [COL] brand [VAL] ViewSonic [COL] dimensions [VAL] 13.1 x 10.4 x 4.8 inches,0,D8
