Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
1755,1720," [COL] name [VAL] Paul Alexandro [COL] primaryProfessions [VAL] actor,producer,writer", [COL] name [VAL] Paul Boocock [COL] job [VAL] actor,0,D6
151,2205, [COL] title [VAL] The Car Salesman [COL] episodeNumber [VAL] 1.0 [COL] seasonNumber [VAL] 2.0 [COL] startYear [VAL] 2001-01-01 [COL] genre_list [VAL] Comedy [COL] runtimeMinutes [VAL] 30.0," [COL] title [VAL] The Car Salesman [COL] abstract [VAL] Larry David and his wife purchase a new oceanfront home owned by a television star's agent. Meanwhile, Larry shocks his wife and friends by deciding to take a job as a car salesman. [COL] episodeNumber [VAL] 1.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2001-09-23",1,D6
3307,1947, [COL] title [VAL] The Siege of Troy [COL] episodeNumber [VAL] 21.0 [COL] seasonNumber [VAL] 1.0 [COL] startYear [VAL] 1960-01-01 [COL] genre_list [VAL] Adventure [COL] runtimeMinutes [VAL] 60.0, [COL] title [VAL] The Siege of Troy [COL] abstract [VAL] Adam receives bad news from Suva and he has unknowingly provided passage for two smugglers. [COL] episodeNumber [VAL] 21.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 1960-03-07,1,D6
1974,2828," [COL] name [VAL] Mahershala Ali [COL] birthYear [VAL] 1974-01-01 [COL] primaryProfessions [VAL] actor,producer", [COL] name [VAL] Ali Jahangiri [COL] job [VAL] guestStars,0,D6
1755,1005," [COL] name [VAL] Paul Alexandro [COL] primaryProfessions [VAL] actor,producer,writer", [COL] name [VAL] Paul Monash [COL] job [VAL] writers,0,D6
737,3137, [COL] title [VAL] Chapter 55 [COL] episodeNumber [VAL] 3.0 [COL] seasonNumber [VAL] 5.0 [COL] startYear [VAL] 2017-01-01 [COL] genre_list [VAL] Drama [COL] runtimeMinutes [VAL] 52.0, [COL] title [VAL] Episode 24 [COL] episodeNumber [VAL] 24.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2017-09-14,0,D6
898,68, [COL] name [VAL] Kari Matchett [COL] birthYear [VAL] 1970-01-01 [COL] primaryProfessions [VAL] actress, [COL] name [VAL] Kari Matchett [COL] job [VAL] guestStars,0,D6
1114,61," [COL] name [VAL] Ian McKellen [COL] birthYear [VAL] 1939-01-01 [COL] primaryProfessions [VAL] actor,soundtrack,writer", [COL] name [VAL] Ian McKellen [COL] job [VAL] actor,1,D6
4525,3129," [COL] name [VAL] Wayne Ewing [COL] primaryProfessions [VAL] cinematographer,director,editor", [COL] name [VAL] Wayne Ewing [COL] job [VAL] director,1,D6
3230,4645, [COL] title [VAL] Skull Cleaner [COL] episodeNumber [VAL] 13.0 [COL] seasonNumber [VAL] 2.0 [COL] startYear [VAL] 2006-01-01 [COL] genre_list [VAL] Reality-TV [COL] runtimeMinutes [VAL] 43.0, [COL] title [VAL] Heads You Lose [COL] episodeNumber [VAL] 27.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 1960-04-18,0,D6
4336,7469," [COL] name [VAL] Skip Homeier [COL] deathYear [VAL] 2017-01-01 [COL] birthYear [VAL] 1930-01-01 [COL] primaryProfessions [VAL] actor,director"," [COL] title [VAL] Three Dummies [COL] abstract [VAL] Director Na Young Seok plans to send Jung Woo, Cho Jung Seok, Kang Ha Neul, and Jeong Sang Hun to Iceland without any extra clothes or luggage. They are first asked to have dinner in Gangnam-gu as a meeting, however, the dinner turns out to be their last meal in Korea before they fly to Iceland. [COL] episodeNumber [VAL] 1.0 [COL] seasonNumber [VAL] 3.0 [COL] releaseDate [VAL] 2016-01-01",0,D6
353,731, [COL] name [VAL] Betsy Paul [COL] primaryProfessions [VAL] actress, [COL] name [VAL] Betsy Von Furstenburg [COL] job [VAL] guestStars,0,D6
2645,5901," [COL] name [VAL] David Orrick McDearmon [COL] deathYear [VAL] 1979-01-01 [COL] birthYear [VAL] 1914-01-01 [COL] primaryProfessions [VAL] director,actor", [COL] name [VAL] David Orrick McDearmon [COL] job [VAL] director,1,D6
3598,553," [COL] name [VAL] James Tolkan [COL] birthYear [VAL] 1931-01-01 [COL] primaryProfessions [VAL] actor,director", [COL] name [VAL] James Tolkan [COL] job [VAL] guestStars,0,D6
679,6985," [COL] name [VAL] Manny Coto [COL] primaryProfessions [VAL] producer,writer,miscellaneous", [COL] name [VAL] D. Keith Mano [COL] job [VAL] writers,0,D6
1535,7793," [COL] title [VAL] Kellerman, P.I.: Part 2 [COL] episodeNumber [VAL] 9.0 [COL] seasonNumber [VAL] 7.0 [COL] startYear [VAL] 1998-01-01 [COL] genre_list [VAL] Crime,Drama,Mystery"," [COL] title [VAL] Fire (2) [COL] abstract [VAL] 'The fire investigation continues. Bayliss' back is acting up and Kellerman is paired with Pembleton. Kellerman shows Gee something, so he is offered a transfer into the department that he first rejects. Kay takes the sergeant's exam, Munch misses it due a ''''comedy of errors.'''' [COL] episodeNumber [VAL] 2.0 [COL] seasonNumber [VAL] 4.0 [COL] releaseDate [VAL] 1995-10-27",0,D6
4359,6799," [COL] title [VAL] Double Blind [COL] episodeNumber [VAL] 18.0 [COL] seasonNumber [VAL] 5.0 [COL] startYear [VAL] 1997-01-01 [COL] genre_list [VAL] Crime,Drama,Mystery", [COL] title [VAL] Scott & Bailey [COL] abstract [VAL] A thrilling crime drama exploring the personal and professional lives of two female detectives. [COL] releaseDate [VAL] 2011-05-29,0,D6
