Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
2239,43359," [COL] title [VAL] An Alternative Storage Organization for ROLAP Aggregate Views Based on Cubetrees [COL] authors [VAL] Yannis Kotidis, Nick Roussopoulos [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1998"," [COL] title [VAL] The Cubetree Storage Organization [COL] authors [VAL] N Roussopoulos, Y Kotidis [COL] venue [VAL] VLDB, [COL] year [VAL] 1998.0",0,D9
1899,44949, [COL] title [VAL] Binding Propagation in Disjunctive Databases [COL] authors [VAL] Sergio Greco [COL] venue [VAL] VLDB [COL] year [VAL] 1998," [COL] title [VAL] Strong and Weak Constraints in Disjunctive Datalog [COL] authors [VAL] F Buccafurri, N Leone, P Rullo [COL] venue [VAL] Proceedings of the 4th International Conference on Logic  &hellip;, [COL] year [VAL] 1997.0",0,D9
188,6691," [COL] title [VAL] The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries [COL] authors [VAL] Dimitris Papadias, Jimeng Sun, Yufei Tao [COL] venue [VAL] VLDB [COL] year [VAL] 2003"," [COL] title [VAL] MV3R-tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries [COL] authors [VAL] T Yufei, D Papadias [COL] venue [VAL] 2000",0,D9
1255,37083," [COL] title [VAL] POESIA: An ontological workflow approach for composing Web services in agriculture [COL] authors [VAL] Ling Liu, Eduardo Delgado Assad, Calton Pu, Renato Fileto, Claudia Bauzer Medeiros [COL] venue [VAL] VLDB J. [COL] year [VAL] 2003"," [COL] title [VAL] The WASA Approach to Workflow Management for Scientific Applications [COL] authors [VAL] G Vossen, M Weske",0,D9
2120,43267," [COL] title [VAL] To Weave the Web [COL] authors [VAL] Paolo Merialdo, Giansalvatore Mecca, Paolo Atzeni [COL] venue [VAL] VLDB [COL] year [VAL] 1997"," [COL] title [VAL] The Web We Weave. [COL] authors [VAL] B Fisher [COL] venue [VAL] Currents, [COL] year [VAL] 1995.0",0,D9
1444,19947, [COL] title [VAL] Overview of the Special Section on Temporal Database Infrastructure [COL] authors [VAL] Richard T. Snodgrass [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1994," [COL] title [VAL] Towards an Infrastructure for Temporal Databases-A Workshop Report [COL] authors [VAL] N Pissinoti [COL] venue [VAL] SIGMOD RECORD, [COL] year [VAL] 1994.0",0,D9
2077,48078," [COL] title [VAL] QUIET: Continuous Query-driven Index Tuning [COL] authors [VAL] Eike Schallehn, Ingolf Geist, Kai-Uwe Sattler [COL] venue [VAL] VLDB [COL] year [VAL] 2003"," [COL] title [VAL] Processing of Continuous Queries over Unlimited Data Streams [COL] authors [VAL] E Vossough, JR Getta",0,D9
1238,21973," [COL] title [VAL] Efficient Incremental Garbage Collection for Client-Server Object Database Systems [COL] authors [VAL] Laurent Amsaleg, Olivier Gruber, Michael J. Franklin [COL] venue [VAL] VLDB [COL] year [VAL] 1995", [COL] title [VAL] Efficient Garbage Collection for Large Object-Oriented Databases [COL] authors [VAL] BH Liskov [COL] venue [VAL] 1996,0,D9
2342,53472," [COL] title [VAL] XML Repository and Active Views Demonstration [COL] authors [VAL] Bruno Tessier, Am?lie Marian, Brendan Hills, Sophie Cluet, Jean-Claude Mamou, Bernd Amann, Anne-Marie Vercoustre, Fr?d?ric Hubert, Vincent Aguilera, Laurent Mignet, Serge Abiteboul, S?bastien Ailleret, Tova Milo, Cassio Souza dos Santos [COL] venue [VAL] VLDB [COL] year [VAL] 1999"," [COL] title [VAL] Lazy Query Evaluation for Active XML [COL] authors [VAL] S Abiteboul, O Benjelloun, B Cautis, I Manolescu, [COL] venue [VAL] Proc. of ACM SIGMOD, [COL] year [VAL] 2004.0",0,D9
1382,28145," [COL] title [VAL] Rethinking Database System Architecture: Towards a Self-Tuning RISC-Style Database System [COL] authors [VAL] Surajit Chaudhuri, Gerhard Weikum [COL] venue [VAL] VLDB [COL] year [VAL] 2000"," [COL] title [VAL] Design of radex-realtime database experimental system [COL] authors [VAL] R Sivasankaran, B Purimetla, J Stankovic, K [COL] venue [VAL] 1998",0,D9
2494,54907," [COL] title [VAL] XmdvTool: visual interactive data exploration and trend discovery of high-dimensional data sets [COL] authors [VAL] Elke A. Rundensteiner, Punit R. Doshi, Jing Yang, Matthew O. Ward [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 2002"," [COL] title [VAL] Towards Intuitive Exploration Tools for Data Visualization in VR [COL] authors [VAL] G de Haan, M Koutek, FH Post",0,D9
779,45358," [COL] title [VAL] DTL's DataSpot: Database Exploration Using Plain Language [COL] authors [VAL] Gadi Entin, Shai Geva, Shaul Dar, Eran Palmon [COL] venue [VAL] VLDB [COL] year [VAL] 1998", [COL] title [VAL] IDLOG: Extending the Expressive Power of Deductive Database Languages [COL] authors [VAL] YH Sheng,0,D9
1972,9945, [COL] title [VAL] Repeating History Beyond ARIES [COL] authors [VAL] C. Mohan [COL] venue [VAL] VLDB [COL] year [VAL] 1999," [COL] title [VAL] C. Mohan speaks out: on R*, message queues, computer science in India, how ARIES came about, life as [COL] authors [VAL] M Winslett [COL] venue [VAL] ACM SIGMOD Record, [COL] year [VAL] 2004.0",0,D9
1608,56461," [COL] title [VAL] Multi-dimensional Selectivity Estimation Using Compressed Histogram Information [COL] authors [VAL] Deok-Hwan Kim, Ju-Hong Lee, Chin-Wan Chung [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1999"," [COL] title [VAL] Practical selectivity estimation through adaptive sampling, in ???SIGMOD???90 [COL] authors [VAL] RJ Lipton, JF Naughton, DA Schneider [COL] venue [VAL] Proceedings ACM SIGMOD International Conference on  &hellip;,",0,D9
