Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
1689,2610, [COL] title [VAL] Database research at NTHU and ITRI [COL] authors [VAL] Arbee L. P. Chen [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1994.0, [COL] title [VAL] Database Research at NTHU and ITRI [COL] authors [VAL] Arbee L. P. Chen [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1994,1,D4
1178,2358, [COL] title [VAL] Guest Editorial [COL] authors [VAL] Matthias Jarke [COL] venue [VAL] The VLDB Journal &mdash; The International Journal on Very Large Data Bases [COL] year [VAL] 1998.0," [COL] title [VAL] The Challenge of Process Data Warehousing [COL] authors [VAL] Matthias Jarke, J?rg K?ller, Thomas List [COL] venue [VAL] VLDB [COL] year [VAL] 2000",0,D4
2189,1957," [COL] title [VAL] Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems [COL] authors [VAL] Sang K. Cha, Sangyong Hwang, Kihong Kim, Keunjoo Kwon [COL] venue [VAL] Very Large Data Bases [COL] year [VAL] 2001.0"," [COL] title [VAL] Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems [COL] authors [VAL] Sangyong Hwang, Kihong Kim, Sang Kyun Cha, Keunjoo Kwon [COL] venue [VAL] VLDB [COL] year [VAL] 2001",1,D4
2178,777, [COL] title [VAL] Developments at ACM TODS [COL] authors [VAL] Richard Snodgrass [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 2003.0, [COL] title [VAL] Chair's Message [COL] authors [VAL] Richard T. Snodgrass [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1998,0,D4
372,1080, [COL] title [VAL] Advances in real-time database systems research [COL] authors [VAL] Azer Bestavros [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1996.0," [COL] title [VAL] Database Research at the Indian Institute of Technology, Bombay [COL] authors [VAL] S. Seshadri, Nandlal L. Sarda, D. B. Phatak, S. Sudarshan [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1996",0,D4
588,1209, [COL] title [VAL] Special issue on spatial database systems [COL] authors [VAL] H. J. Schek [COL] venue [VAL] The VLDB Journal &mdash; The International Journal on Very Large Data Bases [COL] year [VAL] 1994.0," [COL] title [VAL] On Efficiently Implementing SchemaSQL on an SQL Database System [COL] authors [VAL] Fereidoon Sadri, Laks V. S. Lakshmanan, Subbu N. Subramanian [COL] venue [VAL] VLDB [COL] year [VAL] 1999",0,D4
380,2287," [COL] title [VAL] Overview of the STanford Real-time Information Processor (STRIP) [COL] authors [VAL] Brad Adelberg, Ben Kao, Hector Garcia-Molina [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1996.0"," [COL] title [VAL] Engineering Federated Information Systems: Report of EFIS '99 Workshop [COL] authors [VAL] F?lix Saltor, Uwe Hohenstein, Ralf-Detlef Kutsche, Wilhelm Hasselbring, Gunter Saake, Stefan Conrad, Mark Roantree [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1999",0,D4
2224,2265," [COL] title [VAL] An environmental sensor network to determine drinking water quality and security [COL] authors [VAL] Anastassia Ailamaki, Christos Faloutos, Paul S. Fischbeck, Mitchell J. Small, Jeanne VanBriesen [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 2003.0"," [COL] title [VAL] An environmental sensor network to determine drinking water quality and security [COL] authors [VAL] Jeanne VanBriesen, Paul S. Fischbeck, Christos Faloutsos, Anastassia Ailamaki, Mitchell J. Small [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 2003",1,D4
2151,1122," [COL] title [VAL] Information integration on the Web: a view from AI and databases (report on IIWeb-03) [COL] authors [VAL] Subbarao Kambhampati, Craig A. Knoblock [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 2003.0"," [COL] title [VAL] Information integration on the Web: a view from AI and databases (report on IIWeb-03) [COL] authors [VAL] Subbarao Kambhampati, Craig A. Knoblock [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 2003",1,D4
1541,1047," [COL] title [VAL] An overview of DB2 parallel edition [COL] authors [VAL] Chaitanya Baru, Gilles Fecteau [COL] venue [VAL] International Conference on Management of Data [COL] year [VAL] 1995.0", [COL] title [VAL] Managing a DB2 Parallel Edition Database [COL] authors [VAL] Gilles Fecteau [COL] venue [VAL] VLDB [COL] year [VAL] 1995,0,D4
1691,698, [COL] title [VAL] Research issues in active database systems: report from the closing panel at RIDE-ADS '94 [COL] authors [VAL] Jennifer Widom [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1994.0," [COL] title [VAL] Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop [COL] authors [VAL] F?lix Saltor, Mark Roantree, Mark W. W. Vermeer, Wilhelm Hasselbring, Martin Sch?nhoff, Markus Str?ssler, Barry Eaglestone, Stefan Conrad [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1997",0,D4
1231,436," [COL] title [VAL] Foreword by the VLDB '98 PC Chairmen [COL] authors [VAL] O. Shmueli, J. Widom [COL] venue [VAL] The VLDB Journal &mdash; The International Journal on Very Large Data Bases [COL] year [VAL] 2000.0"," [COL] title [VAL] Logical and Physical Versioning in Main Memory Databases [COL] authors [VAL] S. Seshadri, Rajeev Rastogi, Abraham Silberschatz, Philip Bohannon, Dennis W. Leinbaugh, S. Sudarshan [COL] venue [VAL] VLDB [COL] year [VAL] 1997",0,D4
1744,2274," [COL] title [VAL] Virtual database technology [COL] authors [VAL] Ashish Gupta, Venky Harinarayan, Anand Rajaraman [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1997.0", [COL] title [VAL] E-Commerce Database Issues and Experience [COL] authors [VAL] Anand Rajaraman [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1999,0,D4
1710,2368, [COL] title [VAL] Progress on HPCC and NII [COL] authors [VAL] Marianne Winslett [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1994.0, [COL] title [VAL] Interview with Jim Gray [COL] authors [VAL] Marianne Winslett [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 2003,0,D4
347,2274, [COL] title [VAL] Data management issues in electronic commerce [COL] authors [VAL] Asuman Dogac [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 2002.0, [COL] title [VAL] E-Commerce Database Issues and Experience [COL] authors [VAL] Anand Rajaraman [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1999,0,D4
2240,9," [COL] title [VAL] Relational data sharing in peer-based data management systems [COL] authors [VAL] Beng Chin Ooi, Yanfeng Shu, Kian-Lee Tan [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 2003.0"," [COL] title [VAL] UniSQL's Next-Generation Object-Relational Database Management System [COL] authors [VAL] Phil Janus, Albert D'Andrea [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1996",0,D4
