Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
117,2790," [COL] title [VAL] Episode 8 [COL] abstract [VAL] At last Jihu and Jandi go on an official date. Invited to Jihu's house, Jandi smiles bitterly at the remnants of Seohyun found all over the house. Tailing the two, Junpyo discovers that he still has feelings for Jandi. Meanwhile, Jandi rushes to the hospital upon hearing that Junpyo has been in an accident. There, she realizes her true feelings for Joon-pyo. [COL] episodeNumber [VAL] 8.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-01-27"," [COL] title [VAL] Episode 5 [COL] abstract [VAL] Junpyo believes in Jandi’s innocence and treats her wounds. This moves Jandi’s heart, and Junpyo finally announces that Jandi is his girlfriend. At that moment, Jihoo, came back from Paris, appears in front of them. During the weekend, Junpyo and the F4 take Jandi and her friend Ga-eul to New Caledonia. In there, Junpyo takes Jandi to breathtaking sceneries, but Jandi’s mind is still on Jihoo. [COL] episodeNumber [VAL] 5.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-01-19 [COL] release_year [VAL] 2009-01-01",0,D7
1645,52190, [COL] title [VAL] Author Index [COL] authors [VAL] ? [COL] venue [VAL] VLDB [COL] year [VAL] 2000," [COL] title [VAL] Foreword by the VLDB???98 PC Chairmen [COL] authors [VAL] A Biliris, IS Mumick [COL] venue [VAL] The VLDB Journal, [COL] year [VAL] 2000.0",0,D9
393,1950," [COL] title [VAL] The Moorhouse Horrors / The Call Girl Killing [COL] abstract [VAL] We investigate the story of David and Catherine Birnie, Australia's most sadistic husband and wife killing team who tortured, raped and murdered four women in 1986.  We also look into the murder of Call Girl Roslyn Watson which had remained unsolved for more than 15 years and would have stayed that way if it wasn't for the tenacious efforts of a bright young Western Australian Police Detective.  [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2005-08-01"," [COL] title [VAL] CIA: FAMILIES OF CRIME - Killer Couple [COL] abstract [VAL] David & Catherine Birnie were a Perth couple who embarked on a depraved killing spree in Perth in 1988. Together they would cruise the city’s streets picking up unsuspecting young women who were then kidnapped raped and murdered. It was only after their final victim staged a courageous escape and exposed the House of Horrors that the killer couple were arrested and jailed for life. David later committed suicide in jail. Catherine makes regular appeals to be released on parole. This episode looks into the family backgrounds of both killers and includes an exclusive interview with David Birnie’s first wife, and others who knew the couple when they were children. [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 4.0 [COL] releaseDate [VAL] 2010-12-14 [COL] release_year [VAL] 2010-01-01",0,D7
425,1064, [COL] name [VAL] Transcend 2GB CompactFlash Card (133x) - TS2GCF133, [COL] name [VAL] Transcend JetFlash V10 16GB USB Flash Drive - TS16GJFV10 [COL] description [VAL] Transcend JetFlash V10 16GB USB Flash Drive - TS16GJFV10/ Hi-Speed USB 2.0/ Capless Sliding Design Protects The Connector/ Easy Plug And Play Installation/ AES Encryption/ DataBackup Function/ Keychain Hook And Neck Strap/ Green Finish [COL] price [VAL] 38.0,0,D2
1349,13767, [COL] title [VAL] Night Owl Security Products CCD Wired Color Security Camera with 60 Cable [COL] modelno [VAL] CAM-S420-245A [COL] price [VAL] 67.82 [COL] shipweight [VAL] 2.8 [COL] brand [VAL] Night Owl [COL] dimensions [VAL] 13.0 x 11.5 x 5.5 inches, [COL] title [VAL] Night Owl Security ZEUS-810 16-Channel 8-Camera H.264 DVR Surveillance Kit with D1 Recording and HDMI Output [COL] modelno [VAL] ZEUS-810 [COL] price [VAL] 676.63 [COL] shipweight [VAL] 21 [COL] brand [VAL] Night Owl Optics [COL] dimensions [VAL] 22.0 x 18.5 x 8.0 inches,0,D8
4240,3235," [COL] name [VAL] Josip Ivancic [COL] primaryProfessions [VAL] cinematographer,camera_department,director", [COL] name [VAL] Fida Cinematografica,0,D5
2206,2561," [COL] title [VAL] Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999. [COL] authors [VAL] Fernando Berzal, Nicol&#225;s Mar&#237;n [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 2003.0"," [COL] title [VAL] A General Techniques for Querying XML Documents using a Relational Database System [COL] authors [VAL] Stratis Viglas, Eugene J. Shekita, Rajasekar Krishnamurthy, Jayavel Shanmugasundaram, Jeffrey F. Naughton, Jerry Kiernan, Igor Tatarinov [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 2001",0,D4
3575,1712," [COL] name [VAL] Lyle Weldon [COL] primaryProfessions [VAL] writer,director,producer", [COL] name [VAL] Larry Williams [COL] job [VAL] directors,0,D6
1766,840," [COL] title [VAL] Workflow history management [COL] authors [VAL] Pinar Koksal, Sena Nural Arpinar, Asuman Dogac [COL] venue [VAL] ACM SIGMOD Record [COL] year [VAL] 1998.0"," [COL] title [VAL] Workflow History Management [COL] authors [VAL] Pinar Koksal, Sena Nural Arpinar, Asuman Dogac [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1998",1,D4
984,676," [COL] title [VAL] On the Discovery of Interesting Patterns in Association Rules [COL] authors [VAL] Sridhar Ramaswamy, Sameer Mahajan, Abraham Silberschatz [COL] venue [VAL] Very Large Data Bases [COL] year [VAL] 1998.0"," [COL] title [VAL] Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases [COL] authors [VAL] Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang [COL] venue [VAL] SIGMOD Conference [COL] year [VAL] 1995",0,D4
