Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
4892,7444, [COL] title [VAL] The Fires of Kanua [COL] episodeNumber [VAL] 8.0 [COL] seasonNumber [VAL] 3.0 [COL] startYear [VAL] 1961-01-01 [COL] genre_list [VAL] Adventure [COL] runtimeMinutes [VAL] 49.0, [COL] title [VAL] Bamboo Derby II ~ Kangaroo [COL] episodeNumber [VAL] 30.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2008-02-03,0,D6
2814,3997, [COL] name [VAL] Michael Whaley [COL] primaryProfessions [VAL] writer, [COL] name [VAL] John W. McGreevey [COL] job [VAL] writers,0,D6
1277,479," [COL] name [VAL] Alex Graves [COL] primaryProfessions [VAL] producer,director,writer", [COL] name [VAL] Alex Graves [COL] job [VAL] director,1,D6
1021,3031," [COL] name [VAL] Thelma Schnee [COL] deathYear [VAL] 1997-01-01 [COL] birthYear [VAL] 1918-01-01 [COL] primaryProfessions [VAL] writer,producer,actress", [COL] name [VAL] Rachel Schneebaum [COL] job [VAL] guestStars,0,D6
1425,7571, [COL] name [VAL] Pio Del Rio," [COL] title [VAL] Killing Me Softly [COL] abstract [VAL] In Miami, teenager Christin Bilotti's romance with 19-year-old Richard Rojas takes a dark turn, and Rojas winds up being lured into a deadly trap at his ex-girlfriend's home. [COL] episodeNumber [VAL] 2.0 [COL] seasonNumber [VAL] 3.0 [COL] releaseDate [VAL] 2016-01-16",0,D6
1958,6690, [COL] name [VAL] Michael O'Shea [COL] deathYear [VAL] 1973-01-01 [COL] birthYear [VAL] 1906-01-01 [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Michael O'Shea [COL] job [VAL] guestStars,1,D6
2776,4390," [COL] name [VAL] Meera Syal [COL] birthYear [VAL] 1961-01-01 [COL] primaryProfessions [VAL] actress,writer,miscellaneous", [COL] name [VAL] Meera Syal [COL] job [VAL] actor,1,D6
69,2944," [COL] name [VAL] Doc Hammer [COL] primaryProfessions [VAL] visual_effects,actor,writer", [COL] name [VAL] Doc Hammer (Henchman 21 [COL] job [VAL] guestStars,0,D6
3458,6289," [COL] name [VAL] Julie Newmar [COL] birthYear [VAL] 1933-01-01 [COL] primaryProfessions [VAL] actress,soundtrack", [COL] name [VAL] Julie Newmar [COL] job [VAL] guestStars,1,D6
3654,2060, [COL] name [VAL] Kathleen O'Malley [COL] deathYear [VAL] 2019-01-01 [COL] birthYear [VAL] 1924-01-01 [COL] primaryProfessions [VAL] actress, [COL] name [VAL] Kathleen Grennon [COL] job [VAL] guestStars,0,D6
4336,1910," [COL] name [VAL] Skip Homeier [COL] deathYear [VAL] 2017-01-01 [COL] birthYear [VAL] 1930-01-01 [COL] primaryProfessions [VAL] actor,director"," [COL] title [VAL] C-H-O-CHOIR [COL] abstract [VAL] Maya surprises everyone by embracing a newfound holiday spirit, but her view is put to the test when the family van is stolen along with all their holiday gifts. Ray joins the choir and gets a coveted solo. But when an attractive new teacher is hired, JJ decides to join his brother and takes Ray's solo. [COL] episodeNumber [VAL] 10.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2016-12-14",0,D6
1003,7638," [COL] title [VAL] Baby, It's You [COL] episodeNumber [VAL] 5.0 [COL] seasonNumber [VAL] 6.0 [COL] startYear [VAL] 1997-01-01 [COL] genre_list [VAL] Crime,Drama,Mystery [COL] runtimeMinutes [VAL] 60.0"," [COL] title [VAL] Baby, It's You (2) [COL] abstract [VAL] 'The young man that was stalking Brittany in Baltimore is interviewed and relates that he saw her being attacked by someone. When going to question the parents, the New York and Baltimore detectives discover that the Janaways have returned to Baltimore, so they make the trip to Charm City. They get the father in the box and he demands that they prove he did it. The attorneys fight over jurisdiction, but the judge rules in favor of Baltimore and the two teams of prosecutors must work together. When the father is put on the stand he gives an alibi, a surprise that gives the detectives 48 hours to verify this alibi. When the alibi checks out, they bring in both of the parents to get to the truth. (Baby, It's You (1) aired on Law & Order, season 8, episode 6.) [COL] episodeNumber [VAL] 5.0 [COL] seasonNumber [VAL] 6.0 [COL] releaseDate [VAL] 1997-11-14",1,D6
1592,7558, [COL] name [VAL] Daniel Stemer [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Danny Miller [COL] job [VAL] actor,0,D6
1588,980, [COL] name [VAL] Elizabeth Bennett [COL] birthYear [VAL] 1944-01-01 [COL] primaryProfessions [VAL] actress, [COL] name [VAL] Elizabeth Norment [COL] job [VAL] guestStars,0,D6
1548,3458," [COL] name [VAL] Kari Skogland [COL] primaryProfessions [VAL] director,miscellaneous,producer", [COL] name [VAL] Sarah Pia Anderson [COL] job [VAL] directors,0,D6
3513,1370," [COL] name [VAL] David Mandel [COL] birthYear [VAL] 1971-01-01 [COL] primaryProfessions [VAL] writer,producer,director", [COL] name [VAL] David Mandel [COL] job [VAL] directors,0,D6
4076,7500, [COL] name [VAL] Cal Bolder [COL] deathYear [VAL] 2005-01-01 [COL] birthYear [VAL] 1931-01-01 [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Cal Bolder [COL] job [VAL] guestStars,1,D6
91,3404, [COL] title [VAL] Adam San [COL] episodeNumber [VAL] 29.0 [COL] seasonNumber [VAL] 2.0 [COL] startYear [VAL] 1961-01-01 [COL] genre_list [VAL] Adventure [COL] runtimeMinutes [VAL] 60.0, [COL] title [VAL] Adam San [COL] episodeNumber [VAL] 29.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 1961-05-08,1,D6
4820,3879, [COL] name [VAL] James B. Douglas [COL] deathYear [VAL] 2009-01-01 [COL] birthYear [VAL] 1929-01-01 [COL] primaryProfessions [VAL] actor, [COL] name [VAL] James B. Douglas [COL] job [VAL] guestStars,1,D6
1021,7264," [COL] name [VAL] Thelma Schnee [COL] deathYear [VAL] 1997-01-01 [COL] birthYear [VAL] 1918-01-01 [COL] primaryProfessions [VAL] writer,producer,actress", [COL] name [VAL] Thelma Schnee [COL] job [VAL] writers,1,D6
1845,6964, [COL] title [VAL] The Lady in the Fish Bowl [COL] episodeNumber [VAL] 9.0 [COL] seasonNumber [VAL] 7.0 [COL] startYear [VAL] 1959-01-01 [COL] genre_list [VAL] Drama [COL] runtimeMinutes [VAL] 30.0, [COL] title [VAL] Anglerfish [COL] abstract [VAL] Isabella Rossellini fills us in on the deep sea sexual antics of anglerfish. [COL] episodeNumber [VAL] 5.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2009-04-01,0,D6
353,5672, [COL] name [VAL] Betsy Paul [COL] primaryProfessions [VAL] actress, [COL] name [VAL] Betsy Stover [COL] job [VAL] guestStars,0,D6
3136,3890," [COL] name [VAL] Charles de Bernier [COL] primaryProfessions [VAL] miscellaneous,production_manager,producer", [COL] name [VAL] Charles de Bernier [COL] job [VAL] guestStars,1,D6
3149,658, [COL] title [VAL] A Whale of a Tale [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 2.0 [COL] startYear [VAL] 1960-01-01 [COL] genre_list [VAL] Adventure [COL] runtimeMinutes [VAL] 49.0, [COL] title [VAL] The Wonderful Nightingale [COL] episodeNumber [VAL] 23.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 1961-03-27,0,D6
1112,3166, [COL] name [VAL] Donald Losby [COL] birthYear [VAL] 1951-01-01 [COL] primaryProfessions [VAL] actor, [COL] name [VAL] Donald Losby [COL] job [VAL] guestStars,1,D6
4211,6044," [COL] name [VAL] Jay Tobias [COL] primaryProfessions [VAL] assistant_director,director,producer", [COL] name [VAL] Jay Tobias [COL] job [VAL] director,1,D6
2369,2448," [COL] name [VAL] Axel von Ambesser [COL] deathYear [VAL] 1988-01-01 [COL] birthYear [VAL] 1910-01-01 [COL] primaryProfessions [VAL] actor,director,writer", [COL] title [VAL] Spuk von draussen [COL] abstract [VAL] Spuk von draussen  is a 9-part television series that was produced in 1987 by the East German television. The series is only available in german language. [COL] releaseDate [VAL] 1987-12-19,0,D6
3466,2605," [COL] name [VAL] Colin Farrell [COL] birthYear [VAL] 1976-01-01 [COL] primaryProfessions [VAL] actor,soundtrack,producer", [COL] name [VAL] Colin Fox [COL] job [VAL] guestStars,0,D6
3082,1959, [COL] title [VAL] Chapter 42 [COL] episodeNumber [VAL] 3.0 [COL] seasonNumber [VAL] 4.0 [COL] startYear [VAL] 2016-01-01 [COL] genre_list [VAL] Drama [COL] runtimeMinutes [VAL] 54.0, [COL] title [VAL] Episode 2 [COL] episodeNumber [VAL] 2.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2017-08-14,0,D6
3230,3338, [COL] title [VAL] Skull Cleaner [COL] episodeNumber [VAL] 13.0 [COL] seasonNumber [VAL] 2.0 [COL] startYear [VAL] 2006-01-01 [COL] genre_list [VAL] Reality-TV [COL] runtimeMinutes [VAL] 43.0, [COL] title [VAL] Beach Head [COL] episodeNumber [VAL] 34.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 1961-06-12,0,D6
4596,226," [COL] name [VAL] Luke Ward-Wilkinson [COL] birthYear [VAL] 1992-01-01 [COL] primaryProfessions [VAL] actor,soundtrack", [COL] name [VAL] Luke Ward-Wilkinson [COL] job [VAL] actor,1,D6
