Left_ID,Right_ID,Left_Text,Right_Text,Label,Dataset
4725,5948, [COL] name [VAL] Lorna Wilson [COL] primaryProfessions [VAL] actress, [COL] name [VAL] Suranne Jones [COL] job [VAL] actor,0,D6
1729,14765, [COL] title [VAL] Kingston HyperX 4GB Kit 2 x 2GB DDR3 Desktop Memory Module [COL] modelno [VAL] KHX1800C9D3K2/4G [COL] price [VAL] 83.99 [COL] shipweight [VAL] 0.24 [COL] brand [VAL] Kingston [COL] dimensions [VAL] 6.75 x 3.75 x 0.55 inches, [COL] title [VAL] Kingston HyperX 4 GB Kit 2x2 GB Modules 1066MHz DDR2 DIMM Desktop Memory KHX8500D2T1K2 4G [COL] modelno [VAL] KHX8500D2T1K2/4G [COL] price [VAL] 59.99 [COL] shipweight [VAL] 1 [COL] brand [VAL] Kingston [COL] dimensions [VAL] 13.0 x 4.5 x 0.1 inches,0,D8
1757,4177," [COL] title [VAL] Chapter 64 [COL] abstract [VAL] Frank attempts to stop Cathy from testifying. With Hammerschmidt sniffing out the truth, the Underwoods throw someone close to them under the bus. [COL] episodeNumber [VAL] 12.0 [COL] seasonNumber [VAL] 5.0 [COL] releaseDate [VAL] 2017-05-30", [COL] title [VAL] Chapter 22 [COL] abstract [VAL] Things get personal when Tusk blindsides the Underwoods with a scandal. Freddy and his BBQ joint get caught up in the mix. [COL] episodeNumber [VAL] 9.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2014-02-14 [COL] release_year [VAL] 2014-01-01,0,D7
1832,12341, [COL] title [VAL] Arkon SGT-7SS Sun Shade for Samsung Galaxy Tab [COL] modelno [VAL] SGT-7SS [COL] price [VAL] 16.88 [COL] shipweight [VAL] 0.25 [COL] brand [VAL] Arkon [COL] dimensions [VAL] 7.0 x 4.0 x 1.0 inches, [COL] title [VAL] Arkon Windshield and Dash Mount for Samsung Galaxy Tab BlackBerry PlayBook and other Tablets [COL] price [VAL] 17.79 [COL] brand [VAL] Arkon,0,D8
1494,31541," [COL] title [VAL] WWW-UDK: A Web-based Environmental Meta-Information System [COL] authors [VAL] Rudolf Legat, Arne Koschel, Andree Keitel, Ralf Kramer, Claudia Rolker, Ralf Nikolai, Peter C. Lockemann, Konrad Zirm [COL] venue [VAL] SIGMOD Record [COL] year [VAL] 1997"," [COL] title [VAL] WWW-UDK: A Web-based Environmental Meta-Information System [COL] authors [VAL] R Kramer, R Nikolai, A Koschel, C Rolker, P [COL] venue [VAL] SIGMOD Record, [COL] year [VAL] 1997.0",1,D9
5325,1525," [COL] title [VAL] Episode 4 [COL] abstract [VAL] While Jandi and Junpyo are out on a date, they accidently lock in the cable car. Junpyo suffers from high fever and Jandi nurses him all night. This quickly spreads to the whole school and Jandi experiences totally different treat from fellow students, as Junpyo’s girlfriend. Jandi’s friend Minjee brings her to the club and she finds a guy who reminds her of Jihu. The next day morning, Jandi wakes up in the hotel room and she can’t remember what happened the night before. [COL] episodeNumber [VAL] 4.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-01-13"," [COL] title [VAL] Episode 9 [COL] abstract [VAL] Junpyo and Jandi keep fighting and making up, and they get to know each other. However, Junpyo’s excessive presents makes Jandi hard to keep up with his pace. She continues to avoid Junpyo and Jihoo comes to the swimming pool and cheers her up. Jandi and Junpyo go out on a date with Gaeul and her new boyfriend. However, Jandi and Gaeul’s boyfriend get uncomfortable to each other. [COL] episodeNumber [VAL] 9.0 [COL] seasonNumber [VAL] 1.0 [COL] releaseDate [VAL] 2009-02-02 [COL] release_year [VAL] 2009-01-01",0,D7
2994,4856," [COL] title [VAL] Desecrated [COL] abstract [VAL] When Richard tries to save some villagers who are marked for death from a walking weapon of vengeance, he jeopardizes Kahlan, Zedd and Cara's lives. [COL] episodeNumber [VAL] 16.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2010-04-10"," [COL] title [VAL] Unbroken [COL] abstract [VAL] When Zedd tries to save Cara who was re-broken by Darken Rahl, Richard, Kahlan and everyone else's lives are changed dramatically. [COL] episodeNumber [VAL] 21.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2010-05-15 [COL] release_year [VAL] 2010-01-01",0,D7
675,3727, [COL] title [VAL] It's a Man's Game [COL] episodeNumber [VAL] 11.0 [COL] seasonNumber [VAL] 2.0 [COL] startYear [VAL] 1954-01-01 [COL] genre_list [VAL] Drama [COL] runtimeMinutes [VAL] 30.0, [COL] title [VAL] It's a Man's Game [COL] episodeNumber [VAL] 11.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 1954-11-14 [COL] release_year [VAL] 1954-01-01,1,D5
1411,1117," [COL] title [VAL] Date With a Serial Killer: Rodney Cameron [COL] abstract [VAL] 'Rodney Francis Cameron was dubbed ‘The Lonely Hearts Killer’ after he used a radio match-making program in 1990 to lure an unsuspecting woman to her death. Incredibly, he had only just been released from prison for two other killings in 1974. Cameron’s psychopathic tendencies appeared early in his life. At the age of ten he tried to strangle a young girl. He then attempted to strangle two other women, and moved into a life of alcohol and drug abuse, including experimenting with hallucinogenic chemicals. He also dabbled in Satanism. At the age of 19, while working at a nursing home in the Blue Mountains, west of Sydney, he raped and strangled nurse Florence Jackson.  The victim was left with a towel stuffed down her throat in what was to become his signature “mark of death”.  A week later, heading south to Melbourne, he hitched a lift with a 19-year-old bank clerk, Francesco Ciliberto, whom he strangled with a football sock.  A short time later, he was caught in Queensland after abducting a mother and daughter. He told arresting police he “had to kill three.” He was sentenced to prison for life and served 16 years. While incarcerated he married a lifelong friend named Anne. Soon after his release in 1990, he rang a late-night match-maker talkback program on radio 3AW Melbourne.  He described himself as a non-smoker and non-drinker, Gemini marine biologist who was searching for a partner “willing to share his happiness”. Forty-four-year-old Maria Goellner was one of six women who responded to his call. A few weeks later Maria was found lying dead on a motel room floor in the Blue Mountains, the same area where Cameron had committed this first murder 16 years earlier.   She had a handkerchief stuffed down her throat. The killer was jailed again for life, this time his file was marked “never to be released.” While in jail he allegedly made admissions to an informant indicating he had killed five additional victims, including two other women after his release from prison in 1990.   Police believe he was almost certainly responsible for the 1974 murder of elderly Sydney woman Sarah McKenzie, but there was not enough information to take that case to trial or to identify any of the other alleged victims.  [COL] episodeNumber [VAL] 6.0 [COL] seasonNumber [VAL] 3.0 [COL] releaseDate [VAL] 2009-07-30", [COL] title [VAL] The Night Caller: Eric Edgar Cooke [COL] abstract [VAL] In 1959 the carefree culture of Perth changed forever when a plague of crime hit the city. By early 1963 the crime wave had escalated to serial murder. A couple were shot at as they sat in their car. In separate incidents two men were shot and killed at point blank range as they slept. Another was shot between the eyes as he opened his front door. A young woman was strangled to death and raped. An 18-year-old babysitter was executed as she studied and listened to music in front of the fire. All this was the work of one man: Eric Edgar Cooke. [COL] episodeNumber [VAL] 3.0 [COL] seasonNumber [VAL] 2.0 [COL] releaseDate [VAL] 2008-04-27 [COL] release_year [VAL] 2008-01-01,0,D7
2795,1859, [COL] name [VAL] A. Sanford Wolfe [COL] primaryProfessions [VAL] writer, [COL] name [VAL] Lee Warburton [COL] job [VAL] writers,0,D6
