D1,D2,Similarity,True
3,1834,0.7131660654475426,1834
4,1860,0.6138045002408978,1860
7,606,0.6354475558176885,-1
7,1863,0.6246449627706789,-1
10,1906,0.6157186616282883,1906
13,1918,0.612177635264539,1918
13,2667,0.6821226838183531,1918
17,1936,0.6545212412562246,1936
26,189,0.6150403792620747,371
26,215,0.6117490104557525,371
26,371,0.6180946168104025,371
26,791,0.6767012679868094,371
26,2135,0.619327044508764,371
26,2369,0.6087127931045705,371
27,1415,0.6232003311607595,1415
30,426,0.6136688037321352,426
30,564,0.6132382458943685,426
30,730,0.6683230656883364,426
30,1555,0.6284421768159627,426
33,1978,0.7306056940219461,1978
34,1990,0.7027317954147351,1990
35,454,0.6099755994722799,1988
35,1776,0.6280886367398782,1988
35,1988,0.6376191682036865,1988
35,1999,0.6179368056610636,1988
36,1986,0.6486695312356824,1986
39,2001,0.6787409830399065,2001
40,1999,0.6281293887200766,1999
45,2813,0.6833453267848104,2009
47,2021,0.580695188100488,2025
47,2025,0.5955323121371238,2025
49,2021,0.6503904327585701,2021
50,2788,0.6087997998683061,2039
50,2820,0.6584280690429687,2039
51,2041,0.6820980989336871,2041
64,2068,0.5781833222467755,2068
66,1534,0.6666443090519572,1534
67,1533,0.6585286805232631,-1
68,1538,0.7019618340101507,1538
73,1525,0.7142310829007822,1525
76,726,0.5907497879919723,-1
78,287,0.6559633838188346,1561
80,1539,0.6857346568028472,1539
88,1571,0.7279452870922279,1571
100,1504,0.6734487411132313,-1
106,1654,0.6261485322236549,1932
106,1931,0.6646708441967736,1932
106,2367,0.6003238135804759,1932
107,1652,0.7054039312613174,1652
113,1644,0.6287980004653427,1644
115,168,0.562842216963907,1642
115,880,0.6250491683864581,1642
115,1642,0.6565838620597565,1642
122,1679,0.6886228932333647,1679
124,2036,0.5778654249109249,1792
127,1780,0.6685825785491726,1780
128,1773,0.6083784274695297,1773
129,1775,0.651259911817663,-1
137,1845,0.7132966875518427,-1
139,99,0.6932092379302337,-1
139,1122,0.6727515742512973,-1
139,1636,0.7171510971999088,-1
139,1718,0.68243215003568,-1
139,1797,0.6287577507814305,-1
139,1808,0.6608173705802081,-1
139,1820,0.6568765894852158,-1
148,1831,0.5920124062353274,-1
148,2339,0.5841017332874794,-1
148,2473,0.5812765329381753,-1
154,1851,0.643290217045633,-1
156,2143,0.5718514786841756,-1
156,2375,0.6375288412822141,-1
157,1855,0.6460484233186553,-1
162,1459,0.7151556439896433,1459
163,1453,0.6678770596558564,1453
164,1454,0.6914010201835439,1454
170,1437,0.7085793315134014,1437
171,1439,0.6119100817061046,1439
173,1919,0.6876556255783204,-1
176,1442,0.6565700637569577,1442
179,2473,0.606299258696038,1505
180,1504,0.6884134737732902,1504
184,1514,0.6542111694093439,-1
186,1481,0.6692652669361485,1481
187,1479,0.5758208335795908,1479
197,63,0.6983151807507738,-1
198,64,0.6895978036405708,-1
204,61,0.6654831687919583,-1
207,2213,0.5653723545879981,1488
208,50,0.6277003591543197,-1
213,96,0.6369538258651329,-1
213,129,0.6449475981537292,-1
213,1919,0.6328839664794986,-1
214,105,0.6222097347552233,-1
215,96,0.6907772135883273,-1
215,1919,0.6880323305826269,-1
218,111,0.6228474136665598,-1
222,94,0.6259568973204376,-1
222,1171,0.6521881238215517,-1
223,82,0.6633742344921217,-1
224,81,0.6516596170487684,-1
