D1,D2,Similarity,True
5,1844,0.3533267378807068,-1
5,2199,0.533555805683136,-1
9,1882,0.6214914917945862,1882
9,2700,0.6629834771156311,1882
9,2930,0.7101942896842957,1882
21,1403,0.6239390969276428,1403
26,215,0.6346573233604431,371
26,371,0.6178752779960632,371
32,1958,0.6022756695747375,1958
33,1978,0.3687273561954498,1978
40,770,0.6807128190994263,1999
54,2051,0.4954046905040741,2051
57,2049,0.5553885102272034,2049
68,1538,0.4245788753032684,1538
82,1544,0.6499335169792175,1544
92,59,0.4657289385795593,1607
107,1652,0.4176274836063385,1652
107,2397,0.4458299279212951,1652
108,1651,0.5408639907836914,1651
112,1646,0.7380037903785706,1646
112,2933,0.6148216128349304,1646
118,49,0.6143942475318909,1726
118,1488,0.6329025626182556,1726
119,1729,0.5658330917358398,1729
123,1695,0.6461597681045532,1695
132,1844,0.5662652254104614,-1
132,2199,0.5232145190238953,-1
133,1830,0.6498955488204956,-1
140,1844,0.6560750603675842,-1
140,2199,0.6158764362335205,-1
150,1903,0.6049473881721497,-1
152,1910,0.7674317955970764,2373
152,2373,0.5343164801597595,2373
155,1848,0.7133659720420837,-1
157,1855,0.5478715896606445,-1
160,14,0.4468649923801422,-1
160,1681,0.721566915512085,-1
160,1868,0.4029676914215088,-1
169,1466,0.4144304096698761,1466
171,1439,0.6342270374298096,1439
176,1442,0.5230666995048523,1442
177,1448,0.4863528907299042,1448
182,1518,0.5881471037864685,1518
184,1726,0.5884096026420593,-1
187,1479,0.7366513013839722,1479
193,1610,0.5766843557357788,1487
208,50,0.593116819858551,-1
208,90,0.7084206938743591,-1
213,96,0.5699725151062012,-1
213,129,0.5505135655403137,-1
213,1919,0.5800684690475464,-1
215,65,0.6061352491378784,-1
215,96,0.4476447403430938,-1
215,1919,0.4534200727939605,-1
218,36,0.6435309052467346,-1
218,111,0.6055296659469604,-1
218,1783,0.6399556994438171,-1
221,95,0.5491867065429688,-1
223,82,0.5074447393417358,-1
223,1905,0.5188637971878052,-1
224,81,0.5345434546470642,-1
227,87,0.5621854066848755,-1
232,1972,0.7153228521347046,-1
232,2718,0.6752617359161377,-1
243,984,0.5589471459388733,141
246,1755,0.7232644557952881,-1
247,1754,0.4391323626041412,-1
262,1099,0.4955275356769562,1099
270,2829,0.3872585892677307,-1
277,2817,0.1504377871751785,-1
283,2814,0.4975375235080719,-1
285,2851,0.6248815655708313,2851
294,1401,0.6395593285560608,-1
296,2794,0.238272488117218,-1
299,2790,0.3578050434589386,-1
305,2803,0.5358385443687439,-1
308,534,0.6636330485343933,2915
308,2915,0.3540449738502502,2915
309,250,0.4470502138137817,2918
309,2918,0.6163835525512695,2918
313,2885,0.5508164167404175,-1
320,2250,0.6141337156295776,2250
320,2947,0.459977775812149,2250
321,2934,0.3003538846969604,2934
330,2864,0.3011248707771301,-1
333,2098,0.5670580863952637,2118
334,395,0.6986786127090454,2852
334,2852,0.4979891777038574,2852
334,2917,0.4773969948291778,2852
335,2859,0.6159566044807434,2859
340,2882,0.2489932775497436,-1
343,2876,0.1865387707948684,-1
359,2700,0.5779650807380676,2700
364,2933,0.5851765275001526,2695
366,2636,0.4921545684337616,-1
368,2677,0.5255119800567627,2677
373,1527,0.7933693528175354,2509
373,2509,0.4249567687511444,2509
376,764,0.6567787528038025,2503
376,2503,0.3349483013153076,2503
377,2517,0.3018277287483215,2517
379,2513,0.6678959131240845,2513
382,2776,0.6733044385910034,-1
385,2779,0.5129326581954956,-1
387,2834,0.5378839373588562,2834
387,2844,0.4087882339954376,2834
391,1807,0.6562169194221497,-1
391,2550,0.6410521268844604,-1
392,2621,0.664431095123291,2746
392,2746,0.6351895332336426,2746
395,2767,0.3739290833473205,-1
402,2729,0.3640009760856628,2729
405,2736,0.5280235409736633,-1
406,2738,0.4982451498508453,-1
419,2296,0.3848825693130493,2296
427,2210,0.4448775351047516,2210
433,2153,0.4356492161750793,-1
434,2151,0.4100716710090637,2151
434,2446,0.6066887974739075,2151
441,1783,0.7283220887184143,-1
455,2027,0.5406014323234558,2498
455,2498,0.4453452825546264,2498
461,1539,0.478649765253067,2389
461,2389,0.5771119594573975,2389
462,2388,0.5356155037879944,2388
463,3001,0.5629240274429321,428
467,3003,0.6550852060317993,2376
472,2362,0.5199025869369507,2362
477,698,0.7090054750442505,2358
480,2336,0.5550945997238159,2336
521,932,0.6445138454437256,932
524,1101,0.5063876509666443,2226
530,2019,0.4606958925724029,2019
537,1511,0.7311953902244568,221
539,1108,0.6115017533302307,285
542,2910,0.5564814805984497,2227
549,542,0.5472391247749329,542
550,2867,0.4540759623050689,2841
551,2060,0.4618193507194519,2060
552,2696,0.5644502639770508,2696
560,356,0.5175930857658386,356
560,455,0.6549038290977478,356
565,2693,0.563255250453949,2848
565,2848,0.5731880068778992,2848
568,2850,0.5787036418914795,2850
568,3003,0.4732352197170257,2850
569,2887,0.7039976716041565,-1
571,2091,0.5618907809257507,2091
576,455,0.5956876873970032,455
579,2408,0.4793390035629272,2408
579,2528,0.5793458819389343,2408
593,2159,0.6065714955329895,2395
593,2395,0.3186204433441162,2395
601,1820,0.5405144691467285,528
603,1976,0.6340935230255127,1976
605,2224,0.3591148555278778,2224
606,3,0.155778557062149,-1
615,1561,0.433898001909256,287
617,1131,0.4670585691928863,295
619,291,0.5852251648902893,291
623,2701,0.5106236934661865,273
624,2062,0.5390745401382446,2241
624,2138,0.6281155347824097,2241
624,2241,0.4945635795593261,2241
626,639,0.6861536502838135,280
635,2977,0.45729461312294,351
638,331,0.53183913230896,331
639,306,0.5674135088920593,306
639,800,0.589162290096283,306
640,310,0.6650621891021729,310
640,2678,0.6187724471092224,310
643,1731,0.4938413798809051,-1
647,313,0.5529505610466003,313
