D1,D2,Similarity,True
5,1844,0.3533267378807068,-1
18,1192,0.7295413613319397,1192
32,1958,0.6022756695747375,1958
33,1978,0.3687273561954498,1978
40,1999,0.5920286774635315,1999
53,986,0.5012744069099426,2033
53,2033,0.5652519464492798,2033
54,2051,0.4954046905040741,2051
57,2049,0.5553885102272034,2049
68,1538,0.4245788753032684,1538
71,1520,0.6094784736633301,-1
71,2158,0.6272749304771423,-1
82,1544,0.6499335169792175,1544
85,1586,0.6364443302154541,1586
92,59,0.4657289385795593,1607
107,1652,0.4176274836063385,1652
107,2397,0.4458299279212951,1652
108,1651,0.5408639907836914,1651
112,1646,0.7380037903785706,1646
112,2933,0.6148216128349304,1646
118,49,0.6143942475318909,1726
118,1488,0.6329025626182556,1726
118,1726,0.625758945941925,1726
123,1695,0.6461597681045532,1695
127,1780,0.4957015514373779,1780
132,2199,0.5232145190238953,-1
139,99,0.4425658881664276,-1
140,1844,0.6560750603675842,-1
150,1903,0.6049473881721497,-1
152,1910,0.7674317955970764,2373
155,1423,0.8014447689056396,-1
157,1855,0.5478715896606445,-1
160,1868,0.4029676914215088,-1
169,1466,0.4144304096698761,1466
171,1439,0.6342270374298096,1439
176,1442,0.5230666995048523,1442
178,1509,0.5435528755187988,1509
181,1500,0.4220826327800751,1500
182,1518,0.5881471037864685,1518
183,1516,0.5053030252456665,1516
184,1514,0.5285584330558777,-1
184,1726,0.5884096026420593,-1
187,1479,0.7366513013839722,1479
189,1471,0.7630391120910645,1471
194,67,0.6312845945358276,-1
208,50,0.593116819858551,-1
208,1923,0.5769318342208862,-1
215,96,0.4476447403430938,-1
215,1919,0.4534200727939605,-1
218,111,0.6055296659469604,-1
221,95,0.5491867065429688,-1
223,82,0.5074447393417358,-1
223,1905,0.5188637971878052,-1
224,81,0.5345434546470642,-1
227,87,0.5621854066848755,-1
232,2718,0.6752617359161377,-1
246,1755,0.7232644557952881,-1
247,1754,0.4391323626041412,-1
262,1099,0.4955275356769562,1099
262,1683,0.6981232762336731,1099
266,2298,0.3610690534114837,2298
270,2829,0.3872585892677307,-1
277,2817,0.1504377871751785,-1
283,2814,0.4975375235080719,-1
285,2851,0.6248815655708313,2851
296,2794,0.238272488117218,-1
299,2790,0.3578050434589386,-1
305,2803,0.5358385443687439,-1
308,2915,0.3540449738502502,2915
309,2918,0.6163835525512695,2918
310,2919,0.4191430211067199,2919
