D1,D2,Similarity,True
10,1906,0.6157186616282883,1906
17,1936,0.6545212412562246,1936
33,1978,0.7306056940219461,1978
39,2001,0.6787409830399065,2001
49,2021,0.6503904327585701,2021
50,2820,0.6584280690429687,2039
57,2049,0.6429261843100056,2049
66,1534,0.6666443090519572,1534
68,1538,0.7019618340101507,1538
73,1525,0.7142310829007822,1525
76,726,0.5907497879919723,-1
88,1571,0.7279452870922279,1571
113,1644,0.6287980004653427,1644
115,1642,0.6565838620597565,1642
128,1773,0.6083784274695297,1773
137,1845,0.7132966875518427,-1
160,1868,0.7127747888383548,-1
162,1459,0.7151556439896433,1459
163,1453,0.6678770596558564,1453
164,1454,0.6914010201835439,1454
176,2834,0.631263037716625,1442
180,1504,0.6884134737732902,1504
182,1518,0.629664593170113,1518
197,63,0.6983151807507738,-1
204,61,0.6654831687919583,-1
222,1171,0.6521881238215517,-1
224,81,0.6516596170487684,-1
231,1668,0.7275364783706931,-1
237,719,0.6529829634629657,-1
247,1754,0.69486311751789,-1
254,1732,0.6789517980376494,-1
270,2829,0.7208461405366778,-1
274,2867,0.6865659511623284,2867
288,2832,0.6131608342885562,-1
300,2811,0.7066069446813529,-1
333,2118,0.6898371868277867,2118
335,2859,0.6188284990000278,2859
342,2868,0.6963397724114332,-1
344,2871,0.6176411154829704,-1
358,2686,0.6932528056966573,2686
360,1000,0.7084442088577442,-1
360,3001,0.6360260261971717,-1
373,2509,0.7017756762378248,2509
387,2844,0.7098298920086229,2834
388,2781,0.6695794748216993,-1
389,2789,0.6300951533961681,-1
395,2767,0.7278396040381412,-1
399,2774,0.7057005416792891,-1
404,2732,0.709629482967959,-1
410,2895,0.6407374943701795,181
410,2951,0.6393505376637478,181
410,2974,0.6477888163830197,181
419,2296,0.7220828842520817,2296
423,1095,0.7290330784994957,2272
434,2151,0.7091838099863309,2151
447,2094,0.6455846132658561,2094
455,2498,0.6918761987672003,2498
459,2279,0.6550234049651439,2437
461,1539,0.6762926715298619,2389
463,1000,0.695384181135776,428
476,2353,0.714852221853919,2353
481,2305,0.6882272465359514,2662
488,2332,0.6805146802105881,2332
510,973,0.5907520553255399,2004
512,2659,0.648326568441645,2659
530,2019,0.6846051974849601,2019
535,1149,0.6185869623368828,5
535,2128,0.6202825149538588,5
535,2235,0.6168398909122569,5
535,2555,0.617635089968435,5
559,1000,0.6566101498168838,323
559,2895,0.6418428153800805,323
559,2951,0.6409881444126895,323
559,2974,0.6235350395086888,323
559,2977,0.6344248474130891,323
577,1136,0.6901942947826846,148
601,2895,0.6413207375082061,528
601,2951,0.6398841274279442,528
601,2974,0.6427282064712017,528
613,189,0.613408804154878,189
613,215,0.6101148591802703,189
613,791,0.6727535705363634,189
621,275,0.6451113230479577,275
621,620,0.627734484266094,275
638,331,0.6528100626941732,331
640,310,0.6005781685182674,310
641,304,0.68792384247653,304
643,1731,0.669415115599304,-1
644,316,0.5741826609746756,316
649,228,0.6897612495581383,228
664,222,0.7123103082142773,222
670,1641,0.7097493995424783,1641
671,259,0.6502931746840487,259
677,243,0.7256452161329395,243
685,424,0.6621917495056814,424
687,420,0.677715764933292,420
691,413,0.6191693804108579,413
701,403,0.6431404322774216,403
720,437,0.6691503523234458,437
735,355,0.6375555635611571,355
755,395,0.6113247944999332,395
757,1029,0.6270598812611975,386
778,2460,0.6611244108839451,2460
780,2856,0.7040304352756797,2452
796,2977,0.6354720579598204,941
829,1127,0.6507731676842083,893
831,2485,0.6327656443417083,2485
832,1473,0.6724888559465205,1473
848,2121,0.6815124824612419,2412
864,200,0.6470434194984913,-1
866,198,0.6929162645409302,198
896,151,0.7298177454050719,151
901,168,0.6975196546197547,168
902,2977,0.635433620766417,353
910,2447,0.6535422590051584,2447
912,176,0.672260564952459,176
939,2003,0.6375094853821569,2208
952,9,0.70908354889021,9
954,860,0.6565029305706904,860
961,459,0.6519224080492126,2144
974,812,0.6376836338551868,812
985,819,0.674894125009041,819
989,2013,0.6630114368691973,-1
1018,759,0.6830939617298858,759
1021,2243,0.6870213662450155,2243
1061,1868,0.7118356199791191,-1
1063,2084,0.6637798398371341,1995
1065,3020,0.6576633373893356,2044
1069,736,0.684732063307821,736
1109,1000,0.6451323340608106,938
1147,2071,0.687517503256415,2071
1198,1184,0.6540747941291295,535
1211,555,0.6442391241071891,555
1217,501,0.6455106919580068,501
1282,696,0.7186979983316842,696
1285,698,0.7021391867866447,698
1291,9,0.6345135049375838,732
1300,657,0.7112389311501429,657
1305,649,0.6074493981831497,649
1306,651,0.7203006461928521,651
1318,638,0.6801049821781305,638
1321,634,0.7213955481003756,634
1327,275,0.6213071271531235,620
1327,620,0.6416527433982749,620
1329,645,0.703712542349563,645
1332,642,0.6775092597528256,642
1337,600,0.694247457776088,600
1340,1000,0.7110077280675619,253
