D1,D2,Similarity,True
0,1833,0.6361494544075315,1833
3,779,0.6737614110921177,1834
3,1041,0.6500574357891048,1834
3,1045,0.6612615527137349,1834
3,1834,0.7131660654475426,1834
7,606,0.6354475558176885,-1
7,1858,0.710732758921065,-1
7,1863,0.6246449627706789,-1
10,1906,0.6157186616282883,1906
13,2667,0.6821226838183531,1918
15,1922,0.6007767778647422,1922
16,1928,0.5989143572063156,-1
26,189,0.6150403792620747,371
26,215,0.6117490104557525,371
26,371,0.6180946168104025,371
26,791,0.6767012679868094,371
26,2135,0.619327044508764,371
26,2369,0.6087127931045705,371
30,426,0.6136688037321352,426
30,450,0.6065498880046462,426
30,564,0.6132382458943685,426
30,730,0.6683230656883364,426
30,1555,0.6284421768159627,426
33,1978,0.7306056940219461,1978
34,1990,0.7027317954147351,1990
35,770,0.6086295867513816,1988
35,1410,0.6188993118711785,1988
35,1776,0.6280886367398782,1988
35,1988,0.6376191682036865,1988
35,1999,0.6179368056610636,1988
39,2001,0.6787409830399065,2001
40,454,0.5957309187290318,1999
40,1410,0.6355814019388222,1999
40,1776,0.6110319919586792,1999
40,1999,0.6281293887200766,1999
42,2017,0.7178560269424666,2017
46,2027,0.6030340955192703,2027
47,544,0.6195934364195709,2025
47,772,0.6613897821344588,2025
47,2021,0.580695188100488,2025
47,2025,0.5955323121371238,2025
51,2041,0.6820980989336871,2041
53,986,0.666100744405741,2033
66,1534,0.6666443090519572,1534
68,1538,0.7019618340101507,1538
72,1527,0.6547809792262608,1527
76,726,0.5907497879919723,-1
78,287,0.6559633838188346,1561
78,1561,0.685838796682156,1561
79,658,0.609538668694149,1543
79,2499,0.5945035089677557,1543
79,2825,0.5954395884325717,1543
80,1539,0.6857346568028472,1539
88,1189,0.6195077323554269,1571
88,1571,0.7279452870922279,1571
91,310,0.5894295841147733,1603
91,735,0.5873001487292135,1603
91,790,0.5613079051891992,1603
91,819,0.5835883448573475,1603
91,1603,0.6738754113310348,1603
91,1971,0.5561982770772612,1603
91,2333,0.5566623701215279,1603
91,2678,0.5743744578826702,1603
100,1504,0.6734487411132313,-1
103,2084,0.5779841947111596,1618
106,1654,0.6261485322236549,1932
106,1931,0.6646708441967736,1932
107,1652,0.7054039312613174,1652
113,1644,0.6287980004653427,1644
114,2,0.5904426732135265,7
114,7,0.6127896020911062,7
114,89,0.5836753021690615,7
114,1049,0.6192048009843373,7
114,1085,0.633352581185265,7
114,2370,0.5934592555335728,7
115,168,0.562842216963907,1642
115,880,0.6250491683864581,1642
115,1642,0.6565838620597565,1642
115,2515,0.5601978180380573,1642
115,2766,0.5758295097068943,1642
115,2826,0.5874001232204433,1642
127,1780,0.6685825785491726,1780
128,1773,0.6083784274695297,1773
129,1775,0.651259911817663,-1
137,1845,0.7132966875518427,-1
139,99,0.6932092379302337,-1
139,1122,0.6727515742512973,-1
139,1571,0.642866443140906,-1
139,1636,0.7171510971999088,-1
139,1718,0.68243215003568,-1
139,1797,0.6287577507814305,-1
139,1808,0.6608173705802081,-1
139,1820,0.6568765894852158,-1
143,1479,0.5817413179424854,1785
143,1693,0.569987108271831,1785
143,1770,0.6461261506073438,1785
143,1785,0.5998689151157977,1785
154,1851,0.643290217045633,-1
157,1855,0.6460484233186553,-1
162,1459,0.7151556439896433,1459
164,1454,0.6914010201835439,1454
165,1468,0.6453820903601768,1468
168,2103,0.6696477722813376,2107
168,2107,0.6878768382976619,2107
173,96,0.6900019948808409,-1
173,1919,0.6876556255783204,-1
176,422,0.6313491505891149,1442
176,2834,0.631263037716625,1442
180,1504,0.6884134737732902,1504
186,1481,0.6692652669361485,1481
187,1479,0.5758208335795908,1479
197,63,0.6983151807507738,-1
198,64,0.6895978036405708,-1
198,1616,0.5769068637691027,-1
198,2349,0.5788841168071458,-1
204,61,0.6654831687919583,-1
204,1851,0.6683791379155524,-1
211,721,0.661619671584221,-1
212,135,0.6693299487863659,-1
212,1452,0.6168365797875951,-1
213,129,0.6449475981537292,-1
215,96,0.6907772135883273,-1
215,1919,0.6880323305826269,-1
222,1171,0.6521881238215517,-1
223,82,0.6633742344921217,-1
225,2239,0.6931289483765841,2239
229,1677,0.6459156783087968,-1
229,1689,0.6278768257528203,-1
231,1668,0.7275364783706931,-1
233,604,0.6244189204871157,-1
233,1129,0.7108836056745468,-1
233,1872,0.6387533850885576,-1
233,2689,0.6437589852951102,-1
236,310,0.6351274686727608,-1
236,423,0.5875821880379585,-1
236,735,0.653156006699892,-1
236,819,0.5767377572082526,-1
236,1132,0.5607589564355696,-1
236,1504,0.5938554153238988,-1
236,1603,0.5808574532465453,-1
236,2678,0.6199066660262118,-1
237,719,0.6529829634629657,-1
240,718,0.7090304624548016,-1
242,715,0.6476860837188632,-1
244,124,0.5845495206229531,-1
244,137,0.574441873750005,-1
244,769,0.6414014017749046,-1
244,1529,0.5681484380013502,-1
244,1530,0.5762440349875954,-1
244,1722,0.6046230998151881,-1
