D1,D2,Similarity,True
10,19424,0.4387817680835724,19424
16,22412,0.3727876245975494,22412
17,9628,0.4746133983135223,9628
24,20020,0.4381830394268036,20020
29,11586,0.4287904500961303,11586
33,51622,0.1667056828737259,51622
43,61205,0.3789793848991394,61205
59,27180,0.1130853444337844,27180
66,23006,0.557885468006134,23006
72,45664,0.4876044988632202,45664
90,3379,0.2943606972694397,3379
92,14103,0.4448912143707275,14103
114,4592,0.3719967603683471,4592
120,22466,0.1518884301185608,22466
125,20275,0.3481185138225555,20275
137,17754,0.3622209429740906,17754
144,40832,0.655957043170929,36459
151,41133,0.3167553246021271,41133
153,50248,0.2836302518844604,50248
154,13350,0.302983820438385,13350
158,25365,0.4876548051834106,25365
167,28075,0.4745846390724182,-1
176,39155,0.2645863890647888,39155
183,18379,0.3524384498596191,18379
189,54851,0.5378006100654602,-1
201,3354,0.4905044734477997,3354
204,16829,0.1722769737243652,16829
206,32761,0.496168702840805,32761
210,4656,0.300894170999527,4656
217,54222,0.3697410523891449,54222
218,294,0.4964600205421448,294
225,36256,0.4537378251552582,36256
226,58848,0.5691806674003601,58848
246,16555,0.2924219667911529,16555
250,19321,0.3384865224361419,19321
251,22819,0.3044308423995971,22819
255,22649,0.5936681628227234,22649
256,2862,0.4420835971832275,2862
264,36779,0.4120753109455108,36779
271,1030,0.2098090052604675,1030
280,21445,0.2205942571163177,21445
285,29617,0.4401504099369049,29617
286,27715,0.426371306180954,27715
293,4743,0.1552112400531768,4743
293,22333,0.3524665236473083,4743
327,30031,0.5051918029785156,30031
335,32681,0.4438604116439819,32681
337,11287,0.4623827636241913,11287
339,57363,0.3349559605121612,57363
351,19515,0.2746704518795013,19515
352,5639,0.4895104169845581,5639
357,2023,0.4492124617099762,2023
358,41770,0.2012090533971786,41770
372,2608,0.478002667427063,2608
373,23018,0.4773693978786468,23018
374,22550,0.4849152863025665,22550
427,54851,0.568178117275238,-1
452,55964,0.5108705163002014,55964
456,9212,0.574192464351654,9212
462,9450,0.4137673079967499,9450
462,22855,0.4856344163417816,9450
467,2970,0.3835704028606415,2970
467,40819,0.7495559453964233,2970
469,55622,0.3994048237800598,55622
476,32572,0.3400086760520935,32572
480,35990,0.5706753134727478,35990
482,42456,0.4928649663925171,42456
494,15569,0.4296315908432007,15569
497,6309,0.5118503570556641,6309
509,13318,0.4708972573280334,13318
510,3161,0.3347455561161041,3161
534,32907,0.4549632966518402,32907
537,56404,0.3912185728549957,56404
539,7276,0.2717338800430298,7276
541,29325,0.253217488527298,29325
550,32833,0.4288670420646667,32833
570,28270,0.5016202926635742,28270
577,29013,0.4446357786655426,29013
582,7254,0.2538713812828064,7254
612,8639,0.2939832210540771,8639
624,46444,0.6540820598602295,50095
624,50095,0.3290636241436004,50095
624,51798,0.6521130800247192,50095
631,23632,0.7198589444160461,23632
631,31829,0.3842374682426452,23632
631,59407,0.4468937814235687,23632
637,19702,0.5166264772415161,19702
640,50363,0.3257315456867218,50363
645,50542,0.5754275321960449,50542
653,30087,0.4239217638969421,30087
656,33329,0.3899938464164734,33329
664,2867,0.2050146162509918,2867
668,43892,0.3331212699413299,43892
669,37175,0.4210481643676758,37175
684,31779,0.1657540500164032,31779
697,37068,0.5366316437721252,-1
697,56665,0.562445878982544,-1
700,4086,0.3065400123596191,4086
708,29050,0.460968405008316,29050
723,56289,0.4310988485813141,56289
724,35678,0.2828644812107086,35678
736,54270,0.270963966846466,54270
742,46831,0.1924394965171814,46831
752,33636,0.5816241502761841,-1
760,21488,0.6356703639030457,44754
764,43310,0.3719187378883362,43310
765,16517,0.5947198867797852,16517
766,3113,0.5441516041755676,-1
766,16708,0.5863921642303467,-1
777,10980,0.3878875970840454,10980
783,29261,0.3470948934555053,29261
786,7865,0.445767343044281,7865
787,1287,0.3767127096652984,1287
798,190,0.2456789910793304,190
816,23840,0.4359644055366516,23840
818,25860,0.2564761936664581,25860
830,1444,0.4100118577480316,1444
833,6725,0.4517275989055633,6725
843,27130,0.4493839740753174,27130
854,36183,0.1825117319822311,36183
858,13302,0.5692647695541382,13302
869,55129,0.2876638770103454,55129
872,46847,0.3332615196704864,46847
880,34711,0.6789346933364868,-1
881,28913,0.2145139127969741,28913
888,34914,0.4756835103034973,34914
905,10825,0.2259767800569534,10825
923,36457,0.6173685789108276,-1
925,15012,0.4103403389453888,15012
950,27673,0.2258302122354507,27673
951,49368,0.445927232503891,49368
955,41782,0.629892110824585,414
955,61322,0.6691486835479736,414
958,3711,0.4380988478660583,7736
958,7736,0.3110588192939758,7736
971,12992,0.2832556366920471,12992
971,27805,0.7153529524803162,12992
971,57869,0.4726573824882507,12992
990,10866,0.3877735733985901,10866
1008,29812,0.5644441246986389,29812
1010,16245,0.3178978264331817,16245
1010,32988,0.5297006964683533,16245
1018,3564,0.3742788732051849,3564
1033,4538,0.3822514116764068,-1
1034,5119,0.5411536693572998,5119
1050,48646,0.6792232394218445,48646
1051,45852,0.5103065967559814,45852
1082,19261,0.3089993894100189,19261
