D1,D2,Similarity,True
1,1022,0.666377060973014,1022
5,825,0.6888180308618282,825
8,1020,0.6805606973975936,1020
9,1020,0.6481950143600179,134
11,461,0.6036907023293339,461
14,237,0.5943013198902124,237
16,59,0.6470361328987471,59
26,100,0.7028446808241454,100
26,288,0.7043958868041944,100
32,165,0.6398099685510582,165
33,2,0.597584460567734,2
42,24,0.6698303770333504,24
47,27,0.6700094022550356,27
48,28,0.6772837681731552,28
49,88,0.6557434306020579,88
50,32,0.641665332829248,32
52,115,0.6787512254847919,115
58,12,0.6669523084950828,12
59,62,0.6933695146579205,62
64,54,0.6440976012021056,54
81,194,0.6997550430086051,194
83,94,0.623453477543199,92
90,756,0.7286677467476774,756
92,726,0.6667898856148343,726
96,93,0.6727134043226562,93
97,94,0.6461516822797118,94
101,49,0.704483940349618,49
102,1066,0.671002107568208,1066
103,403,0.6744896325640705,403
105,57,0.6607042196390885,57
117,306,0.707132081463922,306
120,284,0.6052747443678822,284
124,53,0.6725777810133862,53
127,125,0.6733472351639658,125
130,180,0.6688850917092767,180
132,181,0.6521612763149246,181
134,155,0.6035643692015108,155
136,190,0.6498690381810285,191
137,190,0.6650257333937954,190
138,146,0.6790689633880819,146
138,147,0.6484063484800117,146
138,250,0.693440258237349,146
147,724,0.7143153931580349,724
149,796,0.707237977646644,796
153,322,0.672930329183516,322
156,167,0.6728736931631186,167
173,152,0.6617002515548691,152
175,43,0.6734098568401337,43
176,9,0.6325842489040111,9
181,232,0.7003764939609116,232
182,207,0.6670294456490914,207
182,231,0.6553267472873154,207
183,396,0.5953573723505927,1035
183,1035,0.728260434072704,1035
192,3,0.6825948825490744,3
196,35,0.6770746570429165,35
198,26,0.6870005482379699,26
200,130,0.5998759931373955,130
204,158,0.6011084803573484,158
205,150,0.6559977528153151,150
212,301,0.6315064949251087,245
212,396,0.6236480334467609,245
212,728,0.6446516808566084,245
212,730,0.6538289420473082,245
214,235,0.5915667162623818,236
214,236,0.5961511312672215,236
214,700,0.5854159845712057,236
214,701,0.583009338211084,236
214,702,0.5820676753813211,236
214,740,0.6023370678923543,236
215,235,0.6152186869472679,235
215,236,0.5977860785727431,235
215,702,0.5867131620166013,235
216,206,0.6195594356538736,206
216,396,0.6071260415721644,206
218,808,0.6352149999223834,808
235,137,0.7256643931680985,137
244,153,0.6710394125486955,153
249,221,0.6387244710518051,221
253,202,0.6250160331294095,202
264,189,0.6666875951767043,189
268,432,0.6282085092194037,432
270,365,0.6867609787984261,365
271,204,0.6742589922965988,204
276,201,0.6983601339858493,201
279,195,0.6533458317816391,195
280,242,0.6731228306567012,242
287,233,0.6750295706381166,233
297,642,0.6981598292695153,279
309,257,0.7049283000887819,257
311,187,0.6719066460271392,187
319,286,0.6519250426026773,286
322,228,0.6474507817162284,247
322,247,0.6861959857172294,247
323,212,0.6613822731254831,213
323,213,0.6970486413158806,213
331,146,0.6506289869030075,250
331,147,0.6423794681976673,250
331,250,0.6862955072194171,250
333,240,0.7108192718981746,240
336,266,0.6494252426410291,266
337,288,0.7147010107242537,288
340,267,0.5951586769023512,270
340,270,0.7282219009450399,270
340,289,0.7063316064420806,270
342,308,0.668013652913183,308
343,268,0.727626389195219,268
344,267,0.6994758168115724,267
344,270,0.6147475890329153,267
345,269,0.7086781927929197,269
346,252,0.6387585894067952,252
347,230,0.6997193067742317,230
349,140,0.7091076599188469,140
352,186,0.6475704609309139,186
361,239,0.6557398424266931,239
363,238,0.7249507087828352,238
364,851,0.6818721618534036,851
365,215,0.6431686379721384,215
367,300,0.6383376299544627,300
367,702,0.6066464774386968,300
370,272,0.6878152052882825,272
373,374,0.5764880171273529,638
373,638,0.7246197188354474,638
377,330,0.69449171918183,330
380,312,0.7037784892750459,312
383,336,0.6455533883901929,336
384,390,0.6370095707395963,390
386,420,0.6909503960671727,420
389,305,0.6910518566018101,305
393,972,0.7014361193894377,972
409,342,0.6167404819461354,345
409,345,0.711314710330491,345
414,296,0.6435574085174035,297
414,299,0.6613497881969523,297
414,396,0.6015548650271254,297
415,396,0.6136521264526272,301
416,301,0.6437313205883821,302
416,302,0.6165526583837679,302
418,861,0.7091332712534464,861
433,225,0.6870946190867653,225
435,1054,0.6898914521567547,1054
441,396,0.604060014499846,385
442,386,0.6193168023612659,387
443,386,0.6219480978631278,386
443,396,0.5933743744440834,386
446,647,0.690682828362669,647
447,253,0.685614914018593,253
450,408,0.6459118736069492,408
452,369,0.7049029027344624,369
457,758,0.7207102932274123,758
458,803,0.6667482820384828,803
462,311,0.6714247149268094,311
463,370,0.6157712486059349,370
464,321,0.6093506462186279,319
472,1018,0.6599122344154923,1018
478,822,0.6949254588444426,822
482,487,0.6640469270146739,487
484,999,0.6679388541044766,999
489,888,0.7150068641181619,888
492,654,0.6936098752039213,654
493,452,0.6788757522032223,452
496,457,0.6919334535784392,457
503,533,0.7042101799182007,533
503,593,0.7042672623120196,533
504,533,0.7007159180459027,593
504,593,0.6996077001475883,593
514,1040,0.7065989541568822,1040
516,597,0.7280324082858368,597
517,492,0.644843533961508,492
518,493,0.6076057263630672,493
523,520,0.7218552158735368,520
524,518,0.6336972333543681,519
524,519,0.696550341171171,519
524,520,0.6248899742970423,519
526,518,0.6849000187235709,518
526,519,0.671477882298811,518
530,485,0.6587139087671191,485
532,486,0.6442537944032396,486
534,524,0.7212785326055122,524
535,513,0.684314370145515,513
535,514,0.6566833966060274,513
536,512,0.6828722702377776,512
544,497,0.6167425904259565,497
544,500,0.6138604217847723,497
545,502,0.6277063712929107,502
546,504,0.6335006158209767,504
546,558,0.6388315317427063,504
547,503,0.6281395011093294,503
547,753,0.6384137800317836,503
549,497,0.6178183636659574,500
549,500,0.6166663995717464,500
549,653,0.6159884260139757,500
550,499,0.6287855573898385,499
552,325,0.6466342517333193,325
555,324,0.6178663493886288,324
556,629,0.7123922144860206,629
569,442,0.6838914713223788,442
570,573,0.6786939074666554,573
571,1004,0.6513455993236063,1004
572,595,0.6925056514824949,595
573,574,0.6330804880328499,574
574,622,0.714824657711853,622
575,882,0.6423865765026922,882
576,667,0.7089864320667515,667
576,882,0.6717829545548506,667
578,539,0.6740593408457888,539
579,515,0.6764796415595161,515
580,509,0.6509908595882751,509
582,549,0.6593605413030003,549
585,555,0.636128445559754,555
587,551,0.6396888964179828,551
588,522,0.6868264437671927,522
589,986,0.6786207192247474,986
590,464,0.6783933214964112,464
590,466,0.6686775625655549,464
591,464,0.6634636119392491,466
591,466,0.6703085483176389,466
592,467,0.6828311924196742,467
594,594,0.6728850816756544,594
594,595,0.6575587892592563,594
595,980,0.6907038843555011,980
595,995,0.6436525879914166,980
596,869,0.7022358181489228,869
597,483,0.6795772255325829,483
607,980,0.6583365555844798,995
607,995,0.6722327801918866,995
608,362,0.705706419141059,362
609,658,0.6695650447406926,661
609,661,0.672449422099549,661
612,737,0.6542675776040193,737
614,532,0.7210538812255128,532
614,593,0.7032824195471011,532
620,656,0.6529916045517876,656
621,663,0.6510421662828062,663
622,613,0.6338369042318657,642
622,614,0.6336815080768519,642
622,642,0.6365185776844096,642
623,613,0.7165581375741878,643
623,614,0.7170584084359038,643
623,642,0.7200989180070397,643
623,643,0.7160979451621243,643
623,656,0.6920053172810955,643
623,663,0.6926586681728781,643
623,747,0.7013293148326126,643
623,1006,0.6959206475674574,643
626,614,0.6875163340397937,747
626,747,0.7049533141990926,747
627,613,0.6994351665779269,534
627,614,0.6973426275961697,534
627,643,0.6958849843894521,534
627,747,0.6886318390990577,534
628,664,0.6337717295965773,664
629,762,0.646143420348145,762
635,565,0.6498859295794114,565
640,620,0.6468983422580661,620
645,566,0.6282551582578222,566
646,571,0.6472448890899959,571
651,634,0.6564810696453784,634
655,619,0.663124016586543,619
660,658,0.6623674073160474,658
663,580,0.6347126007499174,580
669,932,0.6541796911814071,932
671,500,0.6164851904173191,653
674,607,0.6306380285434742,607
674,610,0.6275658911388253,607
675,723,0.6448365198847466,723
678,590,0.6774046936228703,590
678,591,0.6746277913637174,590
678,765,0.6655096724161356,590
679,591,0.6795316302368363,591
679,765,0.6616385883700285,591
681,801,0.649152831058458,801
682,610,0.6301063467759173,610
696,527,0.6895069708475093,527
696,528,0.680337915603175,527
696,529,0.6766952086768335,527
696,530,0.7041811249569415,527
696,531,0.6960133369655384,527
698,462,0.6937199204628532,462
705,820,0.6778848422747094,820
709,644,0.637610735315674,644
710,562,0.6268043369355158,562
714,745,0.6854297495641815,745
716,612,0.7192351007246274,612
723,722,0.6598434818080697,722
730,693,0.6572747234286882,693
733,743,0.6984918731681322,743
738,744,0.728175739264966,744
745,543,0.6655423032830525,545
745,544,0.6814841906598995,545
745,545,0.6924924886871889,545
746,560,0.6921022912944186,560
747,624,0.6184827030748742,624
748,527,0.6786282816444638,528
748,528,0.6826441674082194,528
748,529,0.6730120951075755,528
748,530,0.7007999216711513,528
748,531,0.6894395489971952,528
749,527,0.6808780872576019,530
749,528,0.6796496565974256,530
749,529,0.6756248528243479,530
749,530,0.7055223941918218,530
749,531,0.692056769786899,530
750,561,0.6273967081486591,561
751,740,0.593043310126693,674
752,272,0.5966267357099921,691
752,740,0.5951849846024431,691
757,697,0.5913877817621416,701
757,700,0.5843663786866906,701
758,674,0.6397345827742671,702
758,691,0.696888627773053,702
758,694,0.6355039280129571,702
758,695,0.6390766757957805,702
758,696,0.7016964716878717,702
758,700,0.6474687969943818,702
758,701,0.6412063222274633,702
758,702,0.699539221944526,702
758,740,0.6939202109569695,702
759,694,0.6148605524702163,700
759,700,0.6220529753025865,700
759,701,0.5925686483547875,700
759,740,0.6028048153772785,700
760,694,0.5827128275889664,740
760,696,0.5854831774077385,740
760,697,0.5935671970481159,740
760,700,0.5921005131412894,740
760,701,0.5848282304877486,740
760,702,0.5880728637328598,740
