,predictions,labels,left_ID,right_ID,datasets
0,0,0,5,1759,3
1,0,0,5,201,3
2,0,0,5,578,3
3,0,0,5,363,3
4,0,0,5,2199,3
5,1,0,5,1844,3
6,0,0,5,1822,3
7,0,0,5,2428,3
8,0,0,5,925,3
9,0,0,5,1599,3
10,0,0,6,902,3
11,0,0,6,450,3
12,0,0,6,912,3
13,1,1,6,1877,3
14,0,0,6,2131,3
15,0,0,6,1156,3
16,0,0,6,1633,3
17,0,0,6,2118,3
18,0,0,9,2700,3
19,0,0,9,3034,3
20,0,0,9,2705,3
21,1,1,9,1882,3
22,0,0,9,2833,3
23,0,0,9,2930,3
24,0,1,18,1192,3
25,0,0,18,870,3
26,0,0,18,2714,3
27,0,1,21,1403,3
28,0,0,21,2826,3
29,0,0,21,1642,3
30,0,0,21,168,3
31,0,0,21,1743,3
32,0,0,21,2330,3
33,0,0,26,215,3
34,0,0,26,2369,3
35,0,1,26,371,3
36,0,0,26,189,3
37,0,0,26,791,3
38,0,0,26,2135,3
39,0,0,29,2044,3
40,0,0,29,250,3
41,0,0,29,1103,3
42,0,0,29,278,3
43,0,0,29,2952,3
44,0,0,29,2869,3
45,0,0,29,2762,3
46,0,0,29,3020,3
47,1,1,29,1953,3
48,0,0,29,1968,3
49,0,0,32,2863,3
50,0,0,32,2031,3
51,1,1,32,1958,3
52,0,0,32,2328,3
53,0,0,33,2001,3
54,1,1,33,1978,3
55,0,0,33,1136,3
56,0,0,33,2076,3
57,0,0,33,2232,3
58,0,0,40,492,3
59,0,0,40,454,3
60,0,0,40,770,3
61,0,0,40,1988,3
62,0,0,40,3015,3
63,0,0,40,1410,3
64,0,0,40,1776,3
65,0,1,40,1999,3
66,0,0,52,1958,3
67,0,0,52,2925,3
68,0,1,52,2031,3
69,0,0,52,1729,3
70,1,0,52,2863,3
71,0,0,52,2923,3
72,0,0,53,986,3
73,0,0,53,777,3
74,0,0,53,229,3
75,1,1,53,2033,3
76,0,0,53,2094,3
77,0,0,54,787,3
78,0,0,54,374,3
79,0,0,54,1108,3
80,0,0,54,2697,3
81,0,0,54,2973,3
82,0,0,54,1741,3
83,1,1,54,2051,3
84,0,0,54,2787,3
85,0,0,57,1956,3
86,0,0,57,516,3
87,0,1,57,2049,3
88,1,1,68,1538,3
89,0,0,68,2296,3
90,0,0,68,1570,3
91,0,0,68,1247,3
92,0,0,68,1583,3
93,0,0,68,1892,3
94,0,0,68,2403,3
95,0,0,70,1137,3
96,0,0,70,135,3
97,0,0,70,1452,3
98,0,0,70,1727,3
99,0,0,70,2008,3
100,0,0,70,1521,3
101,0,0,70,1551,3
102,0,0,70,1936,3
103,0,0,71,78,3
104,0,0,71,2158,3
105,0,0,71,103,3
106,0,0,71,41,3
107,0,0,71,1520,3
108,0,0,71,1790,3
109,0,0,71,2398,3
110,0,0,82,1500,3
111,0,0,82,233,3
112,0,0,82,531,3
113,0,0,82,287,3
114,0,0,82,1561,3
115,0,1,82,1544,3
116,0,0,82,1523,3
117,0,0,82,1566,3
118,0,0,82,627,3
119,0,0,82,700,3
120,0,0,85,569,3
121,0,0,85,2400,3
122,1,1,85,1586,3
123,0,0,85,541,3
124,0,0,85,2178,3
125,0,0,85,2249,3
126,0,0,87,1644,3
127,0,0,87,1130,3
128,0,0,87,1429,3
129,0,0,87,1271,3
130,0,0,87,1723,3
131,0,0,87,1715,3
132,0,0,87,1671,3
133,0,0,87,1854,3
134,0,0,87,1507,3
135,1,1,87,1568,3
136,0,0,92,1311,3
137,1,0,92,59,3
138,0,0,92,729,3
139,0,0,92,459,3
140,0,1,92,1607,3
141,0,0,92,1480,3
142,0,0,92,2144,3
143,0,0,92,741,3
144,0,0,92,971,3
145,0,0,96,1705,3
146,0,0,96,93,3
147,0,0,96,113,3
148,0,0,96,97,3
149,0,0,96,1942,3
150,0,0,96,1908,3
151,0,0,96,1847,3
152,0,0,96,2351,3
153,0,0,96,139,3
154,0,0,96,1593,3
155,0,1,98,1640,3
156,0,0,98,1023,3
157,0,0,98,2513,3
158,0,0,107,1855,3
159,0,0,107,2397,3
160,0,0,107,2131,3
161,1,1,107,1652,3
162,0,0,107,2135,3
163,0,0,107,2305,3
164,0,0,107,3026,3
165,0,0,108,2068,3
166,0,1,108,1651,3
167,0,0,112,2933,3
