D1,D2
261,204
186,156
307,952
443,206
214,702
760,694
488,946
757,700
234,161
106,56
1026,985
759,701
904,139
14,237
630,536
187,151
520,283
752,740
143,135
952,901
140,224
1066,1010
33,2
841,947
215,236
897,757
413,298
200,130
226,586
161,415
791,541
204,158
902,304
199,133
417,945
1074,1063
11,461
111,76
1019,646
486,303
928,892
1069,45
120,284
1041,962
470,414
115,264
848,618
998,993
521,378
907,759
518,493
597,360
228,587
57,9
1003,935
96,91
34,10
227,588
717,577
476,366
835,877
996,914
110,162
340,269
50,145
822,684
712,540
266,884
372,287
344,270
176,329
631,31
463,370
644,589
480,964
118,307
23,63
1024,979
416,302
549,500
409,342
544,497
649,997
45,171
908,891
230,113
86,93
202,351
762,730
747,624
87,95
1012,383
1027,1005
325,338
940,940
442,386
891,890
99,292
934,937
575,667
194,13
239,401
861,249
560,606
939,939
1048,889
1018,645
38,97
272,184
872,731
274,285
840,833
671,653
650,777
683,802
927,853
392,310
890,823
359,273
816,769
863,558
454,367
887,790
551,495
1004,990
710,562
1068,602
37,8
88,96
305,949
750,561
763,729
545,502
821,600
565,465
826,705
606,686
969,39
547,503
929,894
645,566
254,725
550,499
190,98
964,885
604,611
251,222
697,572
814,166
682,610
1047,875
674,607
956,850
871,706
893,447
1057,1019
925,924
259,391
298,280
35,11
291,417
905,827
357,223
573,574
180,175
884,742
981,1060
195,33
685,608
495,451
546,504
628,664
880,721
469,209
378,331
586,552
879,719
473,1013
953,958
1023,379
663,580
834,1032
174,32
218,808
963,886
846,355
119,119
209,46
68,82
725,313
18,89
61,52
1036,921
973,874
384,390
1059,1047
563,459
541,501
382,1071
948,955
258,254
709,644
732,708
169,831
367,300
249,221
346,252
208,18
986,864
283,425
938,987
566,468
587,551
255,168
949,956
32,165
1042,974
776,478
485,1027
638,711
79,48
223,428
736,436
217,259
1025,991
1032,263
144,293
511,633
269,431
988,917
167,37
794,655
700,157
837,1037
1007,983
406,315
1055,811
731,948
72,65
847,294
365,215
873,692
703,543
56,15
456,525
926,978
44,14
64,54
532,486
699,318
701,648
782,770
455,368
675,723
517,492
1056,984
1030,474
1075,1001
1049,1061
133,101
219,68
334,376
450,408
345,267
618,443
629,762
97,94
509,727
552,325
828,753
139,147
865,480
640,620
16,59
999,1052
646,571
869,650
600,507
352,186
91,106
479,23
950,957
177,248
1005,601
390,274
702,1049
407,314
321,212
681,801
197,83
336,266
1034,973
583,547
635,565
62,22
426,384
131,200
142,117
889,809
580,509
923,863
1045,870
621,663
571,1004
796,41
639,583
191,44
974,852
319,286
527,764
598,506
708,609
132,181
1046,872
768,688
385,290
892,445
164,177
620,656
279,195
971,1057
831,685
706,617
833,394
151,1
65,58
669,932
424,346
1072,1038
206,419
361,239
49,88
1044,1009
878,682
876,707
888,810
1029,763
542,439
205,150
564,463
619,475
651,634
684,616
662,469
568,441
440,411
1009,632
288,789
687,337
730,693
603,592
867,637
522,807
168,295
820,736
7,377
530,485
947,1041
48,27
648,582
582,549
411,804
985,943
723,722
656,581
6,776
105,57
159,797
832,1058
414,299
653,508
24,407
599,755
778,481
660,658
381,332
980,919
17,1075
126,121
655,619
422,393
531,992
719,683
591,464
843,858
299,420
482,487
968,672
1021,1033
1039,1025
434,226
561,444
1065,969
9,134
252,662
659,659
281,219
369,271
137,190
490,553
236,159
1006,739
404,241
501,427
1017,927
25,116
912,954
1,1022
817,752
264,189
458,803
92,726
910,800
58,12
720,703
182,207
784,718
348,421
1071,1050
15,821
484,999
342,308
790,765
145,84
966,704
577,559
845,356
829,476
360,265
913,1007
610,767
42,24
864,529
1008,1036
657,660
1028,1012
508,277
957,906
53,0
1031,349
102,1066
686,713
462,311
576,882
311,187
523,518
885,681
607,995
1040,1031
510,603
823,651
609,661
761,732
124,53
825,678
593,788
156,167
153,322
280,242
471,537
127,125
175,43
448,426
824,675
935,826
737,423
481,440
578,539
185,395
528,887
103,403
827,652
287,233
652,510
308,243
581,546
658,657
419,326
27,128
874,735
579,515
320,418
983,1003
196,35
69,760
678,590
705,820
877,680
170,142
589,986
748,527
570,573
95,409
52,115
233,199
63,47
493,452
529,488
819,673
309,230
679,591
749,528
1062,878
76,72
51,112
8,1020
918,989
171,372
815,761
364,851
611,1067
122,114
141,785
157,960
192,3
567,438
543,698
777,479
1038,1000
262,260
875,738
569,442
944,920
535,513
818,596
714,745
447,253
338,557
788,817
793,771
322,247
331,250
270,365
616,404
588,522
883,751
198,26
866,496
433,225
116,196
502,754
303,1051
109,344
962,925
792,772
5,825
453,381
922,862
435,1054
75,80
213,262
446,647
1061,876
595,980
979,942
978,944
704,544
389,305
881,749
155,176
496,457
410,398
746,560
40,19
399,348
745,545
241,1044
232,163
870,734
229,666
1033,535
101,55
59,62
729,570
492,654
698,462
886,750
231,641
377,330
273,354
54,40
478,822
21,25
451,1029
958,905
924,1034
936,832
696,531
464,319
524,519
758,691
789,816
323,213
859,838
1052,976
989,910
276,201
733,743
894,670
959,923
642,576
504,593
81,194
181,232
920,871
77,61
842,857
188,5
393,972
100,110
19,824
596,869
515,621
26,100
380,312
844,866
995,916
503,533
405,251
452,369
626,747
494,449
851,530
158,7
31,429
514,1040
854,188
990,911
117,306
149,796
982,1053
617,494
1063,1030
917,900
349,140
418,861
992,913
113,282
1014,930
136,191
993,915
333,240
347,257
632,538
203,258
965,450
812,849
1015,928
556,629
420,357
1058,774
242,143
245,169
237,154
337,288
574,622
1053,961
489,888
991,912
313,107
623,643
641,575
721,635
98,109
806,793
921,865
294,1046
362,968
716,612
919,959
400,363
858,628
457,758
614,532
534,524
802,792
123,227
260,193
997,854
807,843
373,638
235,137
538,511
976,941
506,1064
374,1073
2,434
975,931
540,405
343,268
516,597
738,744
183,1035
90,756
