D1,D2
277,2817
606,3
343,2876
296,2794
340,2882
960,828
321,2934
330,2864
377,2517
1336,599
593,2395
1218,1065
376,2503
1045,2274
1320,2088
1255,1009
1261,412
5,1844
308,2915
1227,1322
1094,793
299,2790
605,2224
266,2298
878,2232
1275,1021
402,2729
867,2372
33,1978
896,151
395,2767
677,243
934,871
1328,646
1246,1057
419,2296
1142,3032
270,2829
773,1467
1282,696
467,2376
1252,2303
808,794
965,9
350,1122
160,1868
1300,657
387,2844
670,1641
434,2151
843,2348
169,1466
1274,494
550,616
107,1652
715,2657
310,2919
780,2856
181,1500
1285,698
68,1538
373,2509
967,829
963,2145
615,287
1326,623
433,2153
1276,495
667,255
247,1754
588,602
427,2210
455,2498
309,250
215,96
1088,1335
1323,627
611,290
1147,2071
320,2947
623,273
530,2019
551,2060
1063,3005
1018,759
92,59
635,1557
929,866
895,2681
952,831
1318,638
568,3003
1139,2130
1148,904
687,420
334,2917
26,791
1301,658
461,1539
579,2408
854,2396
1266,1014
983,2178
177,1448
819,2622
956,2237
366,2636
801,532
1262,165
643,1731
54,2051
262,1099
127,1780
283,2814
53,986
888,158
183,1516
524,1101
1150,2211
223,82
1292,712
778,2460
385,2779
428,2190
743,1771
1213,556
560,356
660,211
1065,2044
472,2362
1106,784
176,1442
345,1483
1345,589
1048,37
368,2677
136,1843
87,1568
405,2736
184,1514
917,2443
1339,596
638,331
152,2373
224,81
1060,1742
1066,640
462,2388
305,2803
1277,1020
707,2642
862,2384
601,1820
108,1651
178,1509
412,2715
549,542
157,1855
950,852
221,95
508,1440
132,1822
1216,1063
313,2885
1259,1039
647,313
538,1555
480,2336
57,2049
243,984
953,859
859,2380
1256,468
1087,1326
571,2091
565,2693
561,2419
552,2696
1004,2290
119,1729
700,2643
333,2098
639,306
746,1462
823,2796
735,355
939,2003
1257,1040
1171,2079
1307,654
1344,2867
1347,619
1191,575
977,2286
470,2381
359,2700
858,202
955,862
182,1518
477,2358
1324,624
1223,1066
437,2124
208,50
787,704
757,1029
576,455
927,2440
874,1526
32,1958
150,1903
218,111
683,251
71,1520
362,2698
441,2182
539,1108
456,2496
1168,1139
691,413
1108,1401
658,208
1000,808
640,2678
1220,1060
946,842
675,271
285,2851
521,1811
968,834
949,2270
171,1439
392,2746
981,2174
1311,680
1072,964
618,326
657,210
592,943
783,2456
991,825
1194,586
123,1695
1305,649
747,338
82,1544
1283,36
1032,751
1156,899
1103,937
379,2513
382,2776
661,219
1298,711
232,2718
1226,506
1164,890
749,340
626,639
938,880
1070,980
1151,2065
364,2695
1117,929
569,2887
617,295
770,2459
804,2465
994,797
1304,647
836,955
1146,905
1026,400
316,2913
246,1755
678,245
1197,534
924,2438
18,1192
187,1479
1076,969
112,1646
1138,918
810,399
1079,959
361,2699
207,2213
336,2857
918,177
537,1969
