D1,D2
2922,4860
1272,2794
4530,6153
2196,6049
3986,2424
1467,12
4932,5034
1262,5298
2889,1418
288,2833
2154,3654
2274,4615
2669,6325
1684,7730
112,5446
1365,3073
4708,3974
4179,7276
3671,1244
4550,5229
4093,3912
2272,6485
1919,3870
1537,750
2529,5844
767,7255
918,165
4373,4299
2706,5002
2080,1467
1895,7786
4386,7179
369,5087
3655,4349
4841,6787
4333,4657
4371,1485
2168,5331
2132,383
4746,3888
2682,1376
4345,5839
1344,5358
387,7623
115,332
1285,6517
3772,6051
4923,5083
3396,5762
3808,2916
2858,3563
1843,2834
3751,3476
779,213
4661,4183
1392,1600
1494,2153
2393,6630
2798,3516
3993,1105
4959,231
760,458
3958,338
3286,1127
2631,1087
2927,2206
576,2520
2954,732
2721,397
3047,4978
2928,4899
828,2671
2837,625
3174,4406
1399,3320
388,783
4394,5299
4972,746
3447,2512
1434,4290
3159,1625
3218,4959
2681,6765
3014,4212
3384,4521
2909,1372
4150,2209
3312,4688
4390,6200
5106,5723
52,2500
618,1218
4041,1811
1453,4131
2167,1508
2220,912
2146,2193
545,2510
3466,1010
1354,6076
3256,1437
2313,3869
2415,4934
1784,3807
1891,907
859,2601
4740,4420
4979,6371
3307,1947
4121,3986
1648,5156
2675,1731
643,1898
127,24
4064,524
2612,2953
4613,429
426,5423
4164,1135
3554,5943
4882,219
292,1200
3984,2915
4798,3907
4087,3004
896,115
764,838
4356,1104
2423,7496
3513,954
4303,5493
2124,428
4185,1523
3987,2703
2883,5784
2122,2078
4573,2695
2032,2139
1021,7264
3643,614
4069,3222
1212,1915
1677,5719
302,6412
5013,206
3637,4603
2806,4370
1899,5683
313,204
1573,7135
4890,2561
161,887
168,7387
4190,3702
833,283
677,1274
4143,218
1364,2824
3961,3478
1797,486
1318,6150
1647,5709
4992,4940
2606,3280
3289,5082
1114,61
3181,2686
4949,958
3502,3369
3908,1078
1533,1859
2803,3830
2809,5969
1169,1599
3681,4105
1877,7538
645,5963
1384,2359
5023,2970
2708,5803
339,242
1249,7447
2518,6187
2284,4074
4201,256
670,6441
2851,6651
1432,2716
2348,4877
2887,3236
2267,6326
2576,3234
3698,1659
3435,2612
2662,4205
2226,1885
3073,6510
1675,4902
494,613
4736,1481
4682,1466
1750,4631
4996,5111
5092,6062
2087,3696
3299,1305
4239,629
3138,2242
1043,5948
4811,418
3901,700
4577,5821
4311,355
22,798
2271,2315
1168,7245
1662,1835
2766,687
3305,1275
4582,2350
2980,537
3985,285
4365,4193
2240,6985
882,6858
2547,6540
2585,390
1438,6295
1326,3056
1454,3964
2819,7534
4596,226
4213,4388
2938,2232
3021,1570
1731,4897
4270,871
1148,2462
1921,2233
2315,1760
1371,4401
4454,1351
823,358
1420,560
486,5286
3912,3643
4251,146
4028,6527
829,6174
405,349
898,98
5110,7599
4793,5932
1988,1436
69,144
789,337
2878,2419
2545,3007
358,5407
3380,7458
948,5652
3699,3761
1241,27
4854,2849
2504,628
3449,75
3546,453
4071,2819
3550,2348
1974,1457
