D1,D2
1748,17507
692,18704
10,7957
246,13589
1165,22003
386,4058
595,14869
2040,9550
668,6458
1614,6431
1251,3580
475,20392
1592,16658
1233,12407
307,11978
86,11617
594,20843
261,5192
757,2407
1408,18494
832,14586
1083,20644
986,6669
1908,20111
2033,19398
350,5992
336,20174
1369,14864
1986,6413
1298,19922
1591,3205
2328,16352
1170,12137
542,13159
704,18206
1209,9717
518,2138
2208,5421
2121,4432
1208,17215
2507,7055
2211,4646
2072,4159
1400,14943
128,2701
416,19475
457,8018
1451,4719
1934,9578
2290,8322
504,15431
737,6759
217,5274
550,19539
2155,17864
1699,17103
614,22045
617,19540
902,6661
1531,16547
1690,4226
1717,17261
2231,17839
1534,1090
395,99
788,18156
1320,884
1922,20240
1866,14359
1260,20314
539,11542
2435,20419
1547,9935
120,14795
1980,1502
801,13029
2106,1253
838,715
2198,7034
2267,2527
1943,15780
1140,9097
869,10114
1186,16092
99,6551
148,16398
683,1850
382,12582
1779,9712
1193,4493
1573,5414
2252,16783
1509,9332
339,13560
163,123
850,484
351,10048
1813,3253
1686,19462
589,16953
1227,11495
1963,1019
1803,6872
818,979
264,16640
1829,19353
1932,7044
1758,13845
893,11620
433,12366
92,2689
470,2958
660,10273
585,14867
2441,21373
512,9060
1261,8266
2141,11048
385,18965
1571,6998
2294,10419
2028,12891
812,12030
1468,10254
781,17483
1263,22051
805,8377
735,12273
654,14489
2440,6643
2381,3482
2149,12847
2527,13282
428,10588
218,5046
635,7145
1073,550
1654,13416
126,1555
871,20288
211,400
194,6876
29,8070
2273,5255
2071,8814
771,5517
1530,12831
1875,9386
1104,1397
1738,20132
2422,8663
1151,18330
30,15046
2196,19484
2132,7358
1044,3009
39,10872
21,7853
2124,11564
688,8839
1099,7727
2138,17504
1138,9085
790,13777
483,9130
931,6451
1868,4494
2364,17915
2014,9456
469,2720
1467,5507
709,1096
678,8962
599,556
1210,1324
1790,19800
611,8429
1384,15299
235,5960
1448,7902
1177,20811
2050,21912
1463,8244
637,15920
2003,2247
738,18197
2481,6885
2021,17451
1423,9727
2253,11265
1992,1274
2080,16295
699,3856
1962,5415
769,6362
503,20588
2029,14035
1437,11704
1189,6701
345,8386
1791,19538
465,7304
2000,14202
2476,6955
2017,16793
5,20932
597,22043
1973,3155
1377,12161
1262,20118
2221,11340
1774,18402
745,11810
1621,16058
820,7079
1944,828
944,14177
2210,16560
2510,11625
2394,5215
1933,5117
1789,11778
528,21347
2371,8969
752,7075
2054,7601
1931,11214
1834,18463
1207,6898
1228,13482
2083,14539
1248,16298
1246,21594
1951,6917
908,13023
1244,10288
1338,17543
1107,12700
1903,10674
1121,14109
1498,5234
2245,3566
1499,4637
2229,14755
480,376
1190,10706
2392,15893
2488,5635
975,13422
2360,17905
229,13258
919,17371
413,284
1984,1120
2331,7294
1511,4519
794,21380
1256,20411
1713,17122
1953,11438
276,15426
2079,12023
925,21757
2199,20395
2523,10365
1577,13540
225,107
983,18364
750,10530
973,21568
80,6526
452,16645
272,3965
319,21483
2511,21503
2248,8368
1657,16332
1286,16535
1475,12654
1195,5364
346,8304
107,12090
239,10617
1301,6494
1340,8496
2353,13476
461,18389
1080,14454
1983,6913
463,11440
941,2805
1066,8297
1966,656
2433,17845
530,18531
275,20623
294,19911
1726,16331
2409,11714
2378,11830
1578,3323
1564,6914
1119,3471
1242,2465
658,21942
2465,21734
1315,21112
895,2492
6,9015
864,11894
1513,1592
1391,2976
500,12544
2139,101
147,21192
1397,20805
378,21690
2356,5527
529,17879
