,predictions,labels,left_ID,right_ID,datasets
0,1,1,10,19424,9
1,0,0,10,3700,9
2,0,0,10,6363,9
3,0,0,10,4656,9
4,0,0,10,46549,9
5,0,0,10,24882,9
6,0,0,10,24449,9
7,0,0,10,53095,9
8,0,0,10,8744,9
9,0,0,10,12424,9
10,0,1,14,2019,9
11,0,0,14,286,9
12,0,0,14,3298,9
13,0,0,14,18447,9
14,0,0,14,59558,9
15,0,0,14,3768,9
16,0,0,14,15925,9
17,0,0,14,56865,9
18,0,0,16,34295,9
19,0,0,16,33949,9
20,1,1,16,22412,9
21,0,0,16,45595,9
22,0,0,16,56533,9
23,0,0,17,36216,9
24,0,0,17,179,9
25,0,0,17,15864,9
26,1,1,17,9628,9
27,0,0,17,57935,9
28,0,0,17,39993,9
29,0,0,17,39778,9
30,0,0,17,60685,9
31,0,0,17,22158,9
32,0,0,17,35129,9
33,1,1,24,20020,9
34,0,0,24,1166,9
35,0,0,24,25811,9
36,0,0,24,53963,9
37,0,0,24,59627,9
38,0,0,24,29798,9
39,0,0,24,37482,9
40,0,0,24,54142,9
41,0,0,29,38529,9
42,1,1,29,11586,9
43,0,0,33,7635,9
44,0,0,33,6628,9
45,0,0,33,24934,9
46,1,1,33,51622,9
47,0,0,33,58471,9
48,0,0,33,34316,9
49,0,0,33,48543,9
50,0,0,33,51643,9
51,0,0,43,1867,9
52,0,0,43,1057,9
53,1,1,43,61205,9
54,0,0,59,23594,9
55,0,0,59,5394,9
56,1,1,59,27180,9
57,0,0,66,10967,9
58,0,0,66,49888,9
59,1,1,66,23006,9
60,0,0,66,2335,9
61,0,0,66,40987,9
62,0,0,66,41166,9
63,0,0,72,39963,9
64,0,0,72,4069,9
65,0,0,72,10845,9
66,0,0,72,10546,9
67,0,0,72,55329,9
68,0,0,72,52885,9
69,1,1,72,45664,9
70,0,0,72,60109,9
71,0,0,72,19657,9
72,0,0,72,39764,9
73,0,0,85,59440,9
74,1,1,85,1333,9
75,0,0,85,886,9
76,0,0,85,39298,9
77,0,0,88,31395,9
78,0,0,90,9157,9
79,0,0,90,7080,9
80,1,1,90,3379,9
81,0,0,90,44883,9
82,0,0,90,51295,9
83,0,0,92,24895,9
84,0,0,92,47953,9
85,0,0,92,25269,9
86,0,1,92,14103,9
87,0,0,92,39112,9
88,0,0,92,44970,9
89,0,0,92,58087,9
90,0,0,95,35772,9
91,0,0,95,5728,9
92,0,0,95,24108,9
93,0,0,95,10033,9
94,0,0,95,48762,9
95,0,0,95,46582,9
96,0,1,95,36839,9
97,0,0,95,49476,9
98,0,0,95,30989,9
99,0,0,95,35678,9
100,1,1,114,4592,9
101,0,0,114,2963,9
102,0,0,114,21321,9
103,0,0,114,38448,9
104,0,0,114,58081,9
105,0,0,114,30003,9
106,0,0,114,35610,9
107,0,0,114,52610,9
108,0,0,115,4213,9
109,0,0,115,57158,9
110,1,1,115,15591,9
111,0,0,115,3117,9
112,0,0,115,31086,9
113,0,0,115,36348,9
114,1,1,120,22466,9
115,0,0,120,61133,9
116,0,0,120,23010,9
117,0,0,120,6141,9
118,0,0,120,34115,9
119,0,0,120,46595,9
120,1,1,125,20275,9
121,0,0,125,14399,9
122,0,0,125,39909,9
123,0,0,137,21397,9
124,0,0,137,1829,9
125,0,0,137,9357,9
126,0,0,137,3599,9
127,0,0,137,44242,9
128,0,0,137,35654,9
129,0,0,137,28810,9
130,0,0,137,52316,9
131,0,0,137,17753,9
132,1,1,137,17754,9
133,0,0,144,17334,9
134,0,0,144,42885,9
135,0,0,144,24711,9
136,0,0,144,12187,9
137,1,1,144,36459,9
138,0,0,144,40832,9
139,0,0,144,54921,9
140,0,0,151,16012,9
141,0,0,151,9033,9
142,0,0,151,7154,9
143,0,0,151,40637,9
144,1,1,151,41133,9
145,0,0,153,11204,9
146,0,0,153,5118,9
147,0,0,153,15844,9
148,0,0,153,33425,9
149,1,1,153,50248,9
150,0,0,153,18162,9
151,0,0,153,29231,9
152,0,0,153,46614,9
153,0,0,154,48600,9
154,1,1,154,13350,9
155,0,0,158,16266,9
156,0,0,158,37550,9
157,0,0,158,24102,9
158,0,0,158,2329,9
159,0,0,158,24855,9
160,1,1,158,25365,9
161,0,0,158,38379,9
162,0,0,167,39325,9
163,1,0,167,28075,9
164,0,0,167,58766,9
165,0,0,174,5473,9
166,0,0,174,4158,9
167,0,0,174,61114,9
168,0,0,176,25098,9
169,0,0,176,51295,9
170,0,0,176,37708,9
171,0,0,176,4932,9
172,1,1,176,39155,9
173,0,0,176,44575,9
