D1,D2
2471,19283
1907,10481
1997,12451
303,19299
184,2959
836,8739
2052,6286
1476,11083
1070,18620
1365,18372
2191,16173
1860,5560
1893,11120
1882,10854
1901,10882
1504,4817
2264,19007
491,19957
663,7135
1413,2788
540,9383
312,13299
1539,4756
53,17892
2103,2963
1194,14916
625,18443
1136,17383
2087,11143
905,19636
64,8391
1426,10692
828,10887
2244,594
297,15653
684,17573
1899,5458
579,15015
1424,8192
548,3414
765,15415
1952,1769
1975,8180
1891,15304
101,2593
2356,5527
378,21690
147,21192
1930,15375
2139,101
500,12544
1242,2465
1564,6914
1578,3323
2371,6949
2394,13251
1695,17274
1966,656
1108,10672
1066,8297
872,15268
941,2805
1080,14454
461,18389
1340,8496
1589,2645
107,12090
164,18937
1657,16332
2248,8368
191,1243
2511,21503
138,11468
2387,20821
1863,21325
1577,13540
136,2576
201,6828
925,21757
276,15426
2513,20426
1984,1120
975,13422
2392,15893
1423,7699
1931,1258
1338,17543
2502,16033
2254,8257
1792,8494
2476,14883
2054,7601
1148,16756
1291,19085
2210,16560
944,14177
1535,18999
1944,828
157,16205
1010,15003
2221,11340
1377,12161
137,21120
199,5511
1976,12093
428,6990
1560,19669
2039,7443
1962,13416
370,15071
1550,11326
1802,14924
337,6115
1506,16666
2029,14035
999,4923
1009,780
1992,1274
857,7347
598,9658
1266,4232
573,16964
637,15920
1177,20811
1448,7902
2006,13921
2335,8279
996,2750
30,11088
1359,1903
2146,6470
1790,19800
34,3067
678,8962
2237,1696
1412,16818
1185,11039
88,3269
1149,9481
1044,3009
2422,8663
2295,21434
1875,9386
2126,2139
1686,20038
1961,8373
2273,5255
176,12915
2118,20621
211,400
630,12817
2297,4739
635,7145
1618,6364
2527,13282
1766,5888
735,12273
1030,10555
1263,22051
624,4039
687,20212
1141,9253
1584,11475
541,8968
429,3273
875,4226
42,172
1821,10711
1829,19353
1522,1025
2123,1794
1356,9287
192,11131
159,9709
714,16478
474,18529
1467,16059
1938,19138
1614,11350
382,12582
1708,16226
1037,12168
309,19291
151,691
1943,15780
2267,2527
1563,430
1159,13109
2063,6308
2418,7679
662,17258
1022,12116
336,7237
323,1244
1753,16220
2435,20419
539,11542
1866,14359
2033,18679
1922,20240
1320,884
2101,15843
1534,1090
2084,8987
299,4644
2184,11689
1699,17103
737,6759
1451,4719
172,1152
416,19475
2474,14437
2217,19467
2211,4646
2452,2138
1700,17085
2497,19525
1065,10600
1209,9717
704,18206
2328,16352
286,18626
134,3740
648,4759
3,4378
1908,8694
1623,6592
1432,6230
2007,20461
259,10734
2099,12941
1233,12407
1592,16658
775,5380
680,843
1063,18
1928,13789
1615,12973
595,14869
1435,6627
1510,19042
1095,2702
734,5991
2478,20489
1305,2558
1769,5882
937,19775
1883,19123
1874,14194
