D1,D2
588,1245
5059,367
4653,4518
1126,2363
176,4786
2691,5606
4790,1343
234,2599
2974,4833
2614,4778
1757,809
4554,639
1259,4893
2706,384
4787,3403
1699,3507
2815,5524
1365,532
4727,2019
1074,2386
1693,783
1052,124
1797,1874
2883,3166
2553,5888
3876,2460
4057,2265
2196,3809
1159,1562
369,2308
1308,3968
312,4934
4491,5686
3811,4072
1687,5939
3160,5354
433,2806
4442,4815
2003,4217
5013,2668
4774,5476
4185,125
4010,780
315,3429
2434,396
282,1881
1971,5670
1364,5688
120,3948
4467,2784
9,890
2191,2108
4397,2258
4805,5760
2229,5049
2122,2764
2675,3455
1410,3715
2415,3821
2313,4161
354,4206
3808,4947
2123,1370
1876,3799
618,1147
573,2994
4382,6001
2803,5199
1985,5585
879,2450
2999,5573
127,3872
2863,1764
4388,3064
2887,2592
2065,1262
4176,5730
161,1356
3884,4142
4111,471
3916,4885
1720,5297
617,2718
2737,4943
2114,3710
4157,3295
3114,1129
1370,3737
2117,1511
4714,160
2146,5944
1719,1720
2080,831
1618,4293
823,896
515,553
2976,1971
428,5675
4024,5518
4654,2695
1662,45
4825,1152
4940,2119
4716,792
4804,5698
4402,279
2294,1951
1263,3537
2959,4129
3440,5151
2612,3298
3284,4708
3551,2949
2682,1613
2954,2774
1848,134
3936,383
1891,83
1169,1333
918,164
4121,3414
4422,3940
4132,4698
1565,4204
2347,4152
4811,1906
4386,3197
4981,1601
2267,4109
307,789
2268,1168
1541,4156
4533,207
1878,3023
3886,2622
4182,5605
4907,2955
115,3616
1722,5141
1816,2973
5080,784
612,3796
4232,3713
4394,2074
2733,1472
3300,2706
4064,267
2516,5306
4482,1439
769,3972
3447,4210
3425,288
2980,2987
866,1430
3958,3906
4584,4541
3391,5594
4905,5999
4215,2574
1607,5
702,5679
4872,62
1949,4454
2165,5786
292,4969
3286,5092
3694,3045
1474,2362
3148,3757
2757,3285
1106,4825
203,3859
638,1397
833,2084
586,725
3047,2892
375,997
4443,5093
2882,2975
4390,3332
405,420
1991,4722
764,133
3001,4482
4374,2393
2837,1763
3812,4107
4189,2990
4697,3858
3593,1346
3635,421
320,4683
4642,240
4889,4863
4661,4961
718,3232
677,1454
3751,5241
1020,1937
4069,5295
4745,2600
3130,390
3571,1902
1354,1741
4618,3985
3280,620
663,2085
5028,947
3042,177
3288,4802
497,5757
700,466
3908,3754
622,5167
4798,679
2526,6051
4321,3633
3666,3417
4679,5197
551,1097
3016,4126
2995,3930
3344,4682
938,4908
2006,1302
1710,1656
3298,3053
2570,2111
2007,4437
1762,625
3128,5644
426,647
1453,1385
1188,654
4012,2079
2404,3206
2195,3574
4164,175
4075,715
387,2869
621,3741
4114,4479
4976,291
3256,4691
645,198
3135,12
1183,3673
4303,4008
2603,5927
1677,1687
4435,2040
2938,3028
3325,2207
1921,1519
2634,3506
2402,2995
3249,574
4746,1162
1525,5072
252,1200
3995,2272
3297,3488
2423,2544
1456,3163
4082,1981
136,1461
4033,3651
5063,1184
3466,1537
244,1676
90,5260
4894,531
3872,1509
2298,1910
2489,4055
3159,4418
2914,5384
3089,4984
3699,4236
4270,5267
3996,903
3546,2154
1318,5431
2315,2886
4348,5274
1536,2486
21,4889
4177,2481
2585,2637
981,1338
695,3605
4736,50
4577,1718
99,3085
3056,5851
1441,3461
4960,1872
3435,3675
3836,1226
5056,3309
3174,5231
4019,965
3412,381
1936,386
2448,2838
1236,5465
2960,1539
1729,1662
1925,5286
4337,388
4042,5766
4426,804
1779,888
2540,2819
2913,5239
430,5321
1451,5350
2498,617
4074,642
4320,5608
5070,5560
916,5867
257,1893
1675,1580
3299,987
2989,892
2816,5044
4147,3841
2283,2913
4001,1888
3506,3690
1384,4347
1539,1196
3018,5599
1805,3387
762,878
200,1233
643,4548
3914,4059
1937,2884
2782,3827
3681,204
2639,1512
1909,317
4831,1303
2923,3967
275,2517
3398,5131
4594,5254
1158,1589
251,1482
1625,1201
285,5205
1586,1892
2187,1683
408,5449
4143,4398
2284,4483
188,4610
1342,673
1849,3297
34,2605
3723,2698
1783,1925
4723,3141
4532,814
2337,644
3949,5556
967,2331
3371,4530
1407,4550
1843,5701
1115,2280
3641,4539
599,4275
2809,4955
4740,345
1386,1033
1420,1933
4986,505
3021,4184
3156,186
2239,867
4784,3764
2174,933
2221,3087
4955,2129
1427,5428
1953,2273
4354,5799
5116,5265
1243,5280
1683,370
3094,5539
3865,5615
3353,147
89,3288
948,97
2356,1768
82,1005
2513,5458
314,969
3208,4200
1809,651
3880,1235
1253,733
3833,1386
2876,597
4840,3637
1448,5048
4972,4513
1572,3274
226,4202
4800,4511
1458,2122
1974,5830
3181,2853
5067,1228
4969,2044
1069,1180
4529,4750
1374,1035
869,3719
793,2041
5110,2289
3847,3013
2617,5907
3930,3395
3882,5657
1533,1361
4128,2579
3367,3536
3474,2993
4854,3846
1119,1181
1337,1672
4285,3250
3024,5356
4514,5990
487,429
736,4689
2293,4447
1681,4002
1823,2201
2023,3542
4596,699
1168,3620
4478,2467
4970,5361
3219,3466
358,1678
3969,556
4623,2160
829,2694
129,1443
31,3869
322,5337
2372,912
180,1330
3781,2925
2547,2609
1740,3978
3839,2011
232,5603
2232,5724
68,4927
2197,3683
443,788
2275,4606
4046,2438
1887,5971
2777,4205
1006,1256
2353,4649
4977,682
724,4862
3049,910
1208,5102
2766,3587
2043,646
4272,5865
4115,4031
50,3695
4251,5250
2130,1541
1806,2839
891,4182
2414,2852
1136,3716
1400,1130
3481,5211
126,2765
3961,4976
2102,659
2518,3663
4098,4146
4169,854
3073,4570
2484,264
1383,4942
2349,2936
1036,5507
3333,0
4682,4127
4582,3113
1462,5177
5026,200
2680,5996
3997,1250
3121,2416
3030,1858
1114,1583
4343,5148
1062,2872
3562,2127
4801,6048
2878,1388
177,256
2896,5172
3449,2288
2545,4958
3669,4621
5039,4918
4694,1291
4239,2487
194,670
4040,664
4996,1133
4077,2407
556,5938
4436,3302
1435,5277
3045,2152
5015,5734
2533,3790
2783,2528
3659,2550
1482,4729
4980,3627
3214,1931
3411,2539
1090,3211
693,2463
4096,3873
42,734
3877,3000
147,1924
4911,4505
417,2096
5105,1765
3467,2182
2900,5815
1750,1158
361,2347
2850,4840
1503,312
1648,1380
3583,1681
4150,4873
2138,5415
1877,5510
3622,5264
3108,584
4683,4573
1241,2890
4564,2048
2607,1719
2831,4086
2708,1151
2625,90
935,3490
4555,1812
4071,5789
3983,2866
4433,3944
1405,2729
4206,3438
1225,2320
4066,2958
5046,5355
2605,3649
1886,2483
3283,3843
707,2787
2595,1288
3222,3703
3380,3667
1694,3140
1731,5050
2646,5066
2576,1642
3178,5950
1856,1321
1148,4007
4578,515
3643,4937
4632,112
1910,3989
423,5070
4492,2705
45,2168
11,73
1072,2801
613,2548
4486,719
4329,3998
1600,872
1043,735
2532,4083
2786,839
1194,3797
3162,3067
3055,2814
3461,813
1326,4054
3990,815
