Recall,Precision,F1,Matching Time,#Results,Delta
0.0025,1.0,0.004987531172069826,7.867813110351562e-06,1,0.95
0.0025,1.0,0.004987531172069826,1.1682510375976562e-05,1,0.8999999999999999
0.0025,1.0,0.004987531172069826,1.3113021850585938e-05,1,0.8499999999999999
0.0025,1.0,0.004987531172069826,1.430511474609375e-05,1,0.7999999999999998
0.005,1.0,0.009950248756218907,1.6689300537109375e-05,2,0.7499999999999998
0.015,1.0,0.02955665024630542,2.3365020751953125e-05,6,0.6999999999999997
0.0325,0.9285714285714286,0.06280193236714976,3.6716461181640625e-05,14,0.6499999999999997
0.0775,0.96875,0.14351851851851852,6.532669067382812e-05,32,0.5999999999999996
0.185,0.8505747126436781,0.30390143737166325,0.0001461505889892578,87,0.5499999999999996
0.6425,0.8237179487179487,0.7219101123595505,0.0005221366882324219,312,0.4999999999999996
