Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,4.0531158447265625e-06,0,0.95
0.0,0.0,0.0,6.9141387939453125e-06,0,0.8999999999999999
0.0,0.0,0.0,7.867813110351562e-06,0,0.8499999999999999
0.0,0.0,0.0,1.1205673217773438e-05,1,0.7999999999999998
0.0,0.0,0.0,1.5497207641601562e-05,3,0.7499999999999998
0.0075,0.25,0.014563106796116504,2.7894973754882812e-05,12,0.6999999999999997
0.0225,0.3103448275862069,0.04195804195804195,5.8650970458984375e-05,29,0.6499999999999997
0.04,0.35555555555555557,0.07191011235955057,0.00011134147644042969,45,0.5999999999999996
0.045,0.3673469387755102,0.0801781737193764,0.00013327598571777344,49,0.5499999999999996
0.365,0.5328467153284672,0.43323442136498513,0.0005533695220947266,274,0.4999999999999996
