Recall,Precision,F1,Matching Time,#Results,Delta
0.01,0.6666666666666666,0.019704433497536946,1.5735626220703125e-05,6,0.95
0.0375,0.625,0.07075471698113207,5.626678466796875e-05,24,0.8999999999999999
0.0475,0.6551724137931034,0.08857808857808858,7.009506225585938e-05,29,0.8499999999999999
0.05,0.6666666666666666,0.09302325581395349,7.724761962890625e-05,30,0.7999999999999998
0.05,0.6451612903225806,0.09280742459396751,8.368492126464844e-05,31,0.7499999999999998
0.0625,0.6578947368421053,0.11415525114155252,0.00010156631469726562,38,0.6999999999999997
0.0775,0.7045454545454546,0.13963963963963963,0.00011897087097167969,44,0.6499999999999997
0.08,0.7111111111111111,0.14382022471910114,0.00012755393981933594,45,0.5999999999999996
0.0875,0.7291666666666666,0.15625,0.00013899803161621094,48,0.5499999999999996
0.67,0.8673139158576052,0.7559943582510579,0.0005538463592529297,309,0.4999999999999996
