D1,D2,Similarity,True
3,4378,0.6695009452882866,4378
19,17429,0.7033631030788268,-1
20,16837,0.6580382671565669,16837
58,9328,0.7143905365273394,21239
80,6526,0.7809261170178772,6526
92,2689,0.7114027979094432,-1
94,9051,0.751755223011721,9051
101,2593,0.8079895493914938,2593
107,12090,0.7854602445401162,12090
120,14795,0.6939518410571691,-1
128,2701,0.6823367428582607,-1
129,10595,0.6875488763728491,-1
130,9890,0.7167190913210845,9890
134,3740,0.6710741045348958,3740
136,2576,0.7780320018060015,2576
147,21192,0.8045256177233316,21192
148,16350,0.7076549995780993,-1
148,18936,0.7099858089303275,-1
157,16205,0.7574014588898305,16205
162,18055,0.762025848045454,-1
162,18348,0.7407724691043199,-1
163,123,0.7059213550957287,-1
164,18937,0.7845714011810273,18937
176,4854,0.675020227814885,4854
194,6876,0.7237931744382511,-1
199,5511,0.7535948745967032,5511
205,10517,0.7565974702542012,10517
218,5046,0.7203140214422578,5046
221,16624,0.6678285281870903,16624
225,107,0.7786578917750475,12627
225,12627,0.8016232745934563,12627
229,13258,0.7723093224503429,13258
235,21783,0.797900839661282,21783
239,10617,0.7854905282354623,10617
261,5192,0.6579929485022921,-1
272,3965,0.7813764758874967,3965
281,7824,0.8054150539290374,7824
294,19911,0.7929769529890113,19911
307,10209,0.7009671546780035,10209
313,8870,0.6249061507487249,8870
329,7314,0.6988127791497645,7314
345,8386,0.7508126277387616,8386
351,10048,0.7068991618821217,10048
375,5041,0.6880496839541862,5041
376,9389,0.6906129447487325,9389
378,21690,0.8049961224943907,21690
382,12582,0.7046865885109003,12582
385,18965,0.7146974181254508,-1
398,16514,0.7187703867928402,16514
398,17563,0.7289689178728911,16514
413,284,0.7732752472535013,-1
419,7260,0.754156420690339,-1
419,13252,0.7709186415602325,-1
452,16645,0.780989116009163,16645
457,8018,0.6842314116943378,8018
457,19711,0.6884848906658048,8018
463,11440,0.7885808087744596,11440
465,7304,0.7526364197631247,-1
470,10874,0.6855764471541966,10874
472,15367,0.7323936984744235,15367
500,12544,0.8010913170867291,12544
502,11435,0.7062901703414234,11435
507,11953,0.7902521343822068,11953
512,3723,0.7046426372354928,9060
512,9060,0.7134468347131195,9060
518,2138,0.67476802860172,2138
530,6615,0.7959681083591991,-1
530,18531,0.7918184501706739,-1
537,790,0.6925995777620231,790
538,17174,0.6722762024661324,-1
550,2555,0.7255390545872564,-1
563,18915,0.7795129879098056,18915
584,965,0.7899966066416825,965
589,16953,0.7090857066780499,-1
594,20843,0.6564136978319808,20843
597,22043,0.7545893549893538,22043
599,556,0.7380787648406275,556
599,19773,0.7942714718375281,556
611,8429,0.7384024402132567,8429
614,22045,0.6867812902995776,22045
624,4039,0.7161470665496396,4039
630,12817,0.7227146167590912,12817
635,7145,0.7211957018888662,7145
637,15920,0.7415096809257786,15920
658,21942,0.797983420974665,21942
660,10273,0.7128958011691774,10273
662,17258,0.6975514252014098,17258
667,7079,0.7138443168010247,7079
669,12490,0.7157772476297997,12490
688,4783,0.7660927521490116,4783
693,2611,0.674657795629374,-1
704,18206,0.6737674179757362,18206
709,1096,0.7373999985275924,1096
710,2945,0.6924514885719941,2945
719,15628,0.6750361976811435,6972
725,16277,0.7293806226622689,-1
725,16800,0.7386015648492695,-1
735,12273,0.7171717286140333,12273
745,11810,0.756929774992584,11810
750,10530,0.78000118879261,10530
759,8381,0.711798911017266,8381
771,5517,0.7250635918868948,5517
781,17483,0.7164632002000964,17483
801,8931,0.7189730504069172,-1
801,13029,0.6946031947650853,-1
