D1,D2,Similarity,True
3,267,0.63854129617609,-1
7,2984,0.9177809251575688,2984
8,4293,0.6665223487107704,4293
14,2073,0.6606407128291215,-1
19,4691,0.6448286633085684,-1
20,3274,0.7031877251501448,-1
24,3872,0.6324015271676416,-1
27,2890,0.7460170231716076,-1
30,175,0.6580753319262252,-1
37,5894,0.8780546689414219,5894
38,3341,0.9049519950305144,-1
39,3980,0.6698410476519273,-1
43,815,0.6947261843242565,815
46,5196,0.6610716851830947,-1
54,2915,0.6742516353315364,-1
58,3743,0.7292463420629869,-1
60,2416,0.6256929636572429,-1
61,1583,0.711377097789686,1583
64,4792,0.6116283351214947,-1
65,4357,0.7154675617550859,4357
69,5510,0.682906125632228,-1
73,4315,0.6670599448045518,-1
75,2288,0.6948711038359813,-1
78,6016,0.7189051186439559,6016
87,3649,0.6547216208446132,-1
92,3129,0.898803800599486,-1
94,2802,0.6725470717760879,-1
108,2148,0.6580151683153048,-1
109,5602,0.9179105133438182,-1
116,5196,0.6444829158141441,-1
119,3869,0.6581402311389175,-1
125,3241,0.8382718616252169,3241
129,4212,0.8794330594455573,4212
132,5715,0.8320095239737666,5715
135,1704,0.8839574587843742,1704
141,1658,0.6930206220446083,-1
144,738,0.6807157717160173,-1
146,5250,0.6835457416467483,-1
147,3667,0.668469003560706,-1
152,3771,0.7146369582798296,-1
156,4296,0.6998899659652276,-1
165,164,0.927640686707906,164
166,2955,0.6443516546992475,-1
171,2977,0.6630719935069816,-1
182,4659,0.6524447443543859,-1
183,114,0.7153212292238622,114
183,3324,0.5586459478295268,114
185,2245,0.747206690132761,2245
191,2982,0.8610048547074939,2982
192,1356,0.647087891277366,-1
193,4746,0.9308193849365672,4746
201,3100,0.90504361319324,3100
203,3236,0.8858739418455296,3236
218,4398,0.6971447745200751,-1
220,1896,0.757676501589296,-1
222,3158,0.740242264844789,-1
226,699,0.7212202561195248,699
231,562,0.6910008949287502,562
233,4967,0.6771155917125864,4967
236,2606,0.7585726033074461,2606
253,5941,0.7103779238537766,5941
254,3345,0.5904347147633842,-1
258,4691,0.6035362734048512,-1
259,5989,0.6761098645645698,-1
262,2629,0.6531870304585168,-1
264,5452,0.9019747344683766,5452
267,4645,0.9047387651006032,-1
271,2992,0.7522392808403485,2992
272,1473,0.6936349958308844,-1
277,4261,0.9282182216982532,4261
279,2993,0.8270626275584841,-1
286,3168,0.7327079097982099,-1
286,5986,0.693156797737802,-1
297,4667,0.7044026593723562,-1
303,1360,0.6843237487161447,1360
306,4146,0.6977246264781153,4146
307,776,0.923676010317158,-1
311,3865,0.8898441479415402,3865
316,4918,0.6499455473744041,-1
321,774,0.7509974917311102,-1
322,3829,0.6492373368617254,-1
328,738,0.659970227177969,-1
330,1690,0.9260186793589626,1690
332,3616,0.706660531992657,3616
333,560,0.8265996612399047,-1
337,1877,0.683540951589855,-1
338,3906,0.7115731081165793,-1
339,4148,0.9337148490096592,4148
349,420,0.6879005863808549,-1
350,4939,0.9003728976730212,4939
353,2380,0.6980494310993265,-1
354,2295,0.9213317501334004,2295
356,1906,0.6379918191161138,-1
364,468,0.907868675378038,468
370,5860,0.6778292862236799,-1
371,2176,0.7178170359830626,-1
372,2319,0.9131892760916122,-1
376,3875,0.8689837974703869,3875
378,617,0.6854317237879312,617
383,1274,0.9086353023991776,1274
390,2637,0.7103566438132107,-1
395,3274,0.7171939248040166,-1
397,4367,0.6844280747337533,-1
398,2177,0.6161789157506187,-1
401,4376,0.9320703647120714,4376
404,2148,0.6807597305756717,-1
416,4691,0.6231660259768894,-1
423,4595,0.7102055545978042,-1
429,2759,0.6990153372664957,-1
436,3905,0.921049146949394,3905
438,2557,0.9008501936075416,-1
446,697,0.67738843372021,-1
446,6026,0.688013778962477,-1
449,3903,0.9266955401217838,3903
453,2154,0.6750597600456397,2154
459,5613,0.9094197944429836,5613
464,2288,0.6728311515729667,-1
468,3958,0.6849981438083581,3958
475,1231,0.6719801157006932,1231
479,5258,0.6404589959395109,5258
486,1874,0.6633748640112876,-1
497,718,0.6324162592628263,-1
501,4262,0.6278471963018678,-1
505,5949,0.683795251586705,-1
511,2928,0.8857040135081189,2928
516,3514,0.9337053330663372,3514
517,3081,0.886292376150595,-1
524,267,0.6680896390574422,-1
526,5055,0.8974970355248674,5055
527,877,0.7006603901216969,-1
528,5859,0.876252235388498,5859
530,2583,0.6156093582719245,-1
534,4501,0.6979136054648298,-1
535,4049,0.6403261915573905,-1
537,2987,0.6492166354271219,-1
540,3857,0.6449045603894393,-1
542,3270,0.9276571321200956,3270
545,2154,0.6471873135483605,-1
553,1727,0.6711790075415754,-1
560,1933,0.7031620404680743,1933
564,2416,0.6220689821385038,-1
572,5643,0.6906717819440129,-1
575,4164,0.7120894548048559,4164
577,1256,0.6649807650735686,-1
580,4941,0.6242239066083465,-1
582,3274,0.6788383124823637,-1
587,3556,0.910457437310617,3556
588,1977,0.5441885148282082,-1
590,3212,0.6525083600463428,-1
592,1002,0.6931384842041074,-1
593,5320,0.908417117765014,5320
601,5854,0.7155217385815682,-1
608,1164,0.71588464945583,-1
608,3186,0.7057510227673812,-1
608,4440,0.7069709059112723,-1
612,2274,0.9089752846303284,2274
625,1763,0.6823616641080636,1763
629,2487,0.6683708170119517,2487
639,2810,0.912391397872882,2810
640,924,0.795494044421348,924
640,5276,0.8024449935929464,924
656,4520,0.9259112935337012,4520
658,4238,0.8598621042797577,-1
673,5993,0.7145809065903321,-1
676,3882,0.6729310309524034,3882
677,4398,0.6702818351606539,-1
685,1557,0.9043450404651396,-1
687,3587,0.6879292583121631,-1
690,3960,0.70240735434519,3960
695,5756,0.9196741606853088,5756
697,391,0.9152190840551654,391
713,241,0.6858795081346114,-1
714,4398,0.6470484852792676,-1
717,3229,0.9129523122014012,3229
720,3302,0.642445269073959,-1
721,3834,0.7646521673886225,-1
722,4066,0.6688004329507198,-1
726,2065,0.7964539102205245,-1
732,2774,0.6821763385444247,-1
733,22,0.9351492945972544,22
734,5395,0.6618226986523401,-1
737,3088,0.8566111974189974,3088
743,4325,0.6244396278273097,-1
746,4513,0.6991684619865017,-1
750,2755,0.6754097902643491,-1
759,3910,0.6938197858462255,-1
768,214,0.6712816737581059,-1
777,5837,0.8994124744202213,5837
782,1132,0.7159137464977666,-1
783,4695,0.6822585496851025,-1
784,4295,0.5615576700285833,-1
787,68,0.8258668789335945,-1
788,2610,0.7587769913393938,-1
790,4297,0.8765408133375852,4297
791,1711,0.7200715658743263,1711
793,2937,0.8718045843251507,2937
797,5654,0.8965791952082875,-1
800,4738,0.8012946159911143,4738
801,3536,0.6538245084658798,-1
807,182,0.7469401093260128,182
812,5181,0.8807139912099555,5181
826,1475,0.8554255490376886,-1
836,2192,0.7437490551977313,-1
840,455,0.632776312285818,-1
861,4037,0.7718723172065916,4037
862,4240,0.6714464135069731,-1
867,518,0.9255645773999344,518
873,4864,0.7051889545385746,4864
884,4864,0.632231371167719,-1
891,4557,0.8818224049518707,4557
900,5624,0.9298862683839504,5624
905,2536,0.6415877426769516,-1
919,3831,0.9116390538327832,3831
930,4404,0.7774734407981778,4404
939,1423,0.7490449543071495,-1
947,781,0.7006624823187007,781
953,2175,0.8265086489048334,2175
956,6011,0.9347516494777144,-1
971,2887,0.8733638466223751,2887
976,97,0.6411130652551992,-1
977,3190,0.9229936181152206,3190
984,982,0.8737694173183483,982
991,4264,0.6975274556172845,4264
995,355,0.6914332046702483,-1
1001,5347,0.6433203353137058,-1
1003,4704,0.9030828906798714,-1
1010,1537,0.7482318861935088,-1
1024,5227,0.850249574202857,-1
1027,2207,0.6642898986037501,-1
1030,1519,0.6455526432033344,-1
1040,3171,0.6951101595793198,-1
1046,377,0.627431128754899,-1
1048,884,0.7020012363632042,-1
1048,2174,0.6959852864705679,-1
1048,4064,0.6932593800067428,-1
1060,5470,0.9063506611893402,-1
1061,5802,0.8565438151531075,-1
1068,3198,0.7033542274264538,3198
1071,2126,0.8674325761074132,-1
1073,3103,0.678254178352962,3103
1076,21,0.7317296200310509,21
1081,4001,0.655632830333654,-1
1087,1644,0.7064820036796219,1644
1090,3712,0.7347693991602093,3712
1099,452,0.7263898781772355,-1
1099,1011,0.709726490829472,-1
1099,2290,0.705778871350982,-1
1099,2443,0.7297671593390649,-1
1099,3526,0.7130700850634439,-1
1099,5768,0.7077303901262398,-1
1100,182,0.6483134156410659,-1
1102,2339,0.5785929436710447,4496
1104,78,0.9230871166418168,-1
1115,3262,0.6704126093330008,3262
1117,1800,0.7087984019224721,1800
1121,4385,0.6969729033202561,4385
1125,109,0.717031761785943,-1
1127,5092,0.7330088597378495,-1
1133,5477,0.9056862973997012,-1
1135,175,0.6887226959059767,175
1139,1198,0.850403949347355,-1
1154,3643,0.8986380455267837,3643
1161,2697,0.9173299429141422,-1
1169,2236,0.8878448659643784,2236
1173,5666,0.9193046700673252,5666
1177,1953,0.9011295684516004,-1
1183,5527,0.9234677366065256,5527
1184,1595,0.777856598926199,-1
1187,5100,0.8855196026956882,-1
1197,1335,0.6861222930069674,-1
1199,5004,0.7123523629778552,5004
1200,4969,0.694270498572247,-1
1203,151,0.7090697483494117,-1
1206,3994,0.6864193213197656,3994
1208,105,0.6841979828225575,-1
1212,881,0.8570874065150984,881
1213,738,0.6913216759272649,738
1218,1147,0.6814239469161455,1147
1219,509,0.5770151384646539,-1
1219,3641,0.627848488566939,-1
1229,5235,0.8266253906197506,5235
1230,3062,0.7224513007799226,3062
1240,5212,0.8021316816049637,-1
1241,463,0.6837368695540827,463
1247,749,0.6850276091929628,-1
1255,4347,0.6121864587135047,-1
1277,3171,0.6819601347667902,-1
1280,4449,0.8741616776560285,4449
1283,594,0.9181879585690051,-1
1285,153,0.6732352776120772,-1
1300,2572,0.7074888567828129,-1
1302,1388,0.6520397169740227,-1
1305,987,0.7054435281897841,987
1306,614,0.9031581226038056,614
1312,5659,0.6963647298731518,-1
1314,4142,0.6669822570175106,-1
1316,2811,0.8237090023847338,-1
1326,5980,0.8303916459825198,-1
1327,4442,0.9255521951522394,4442
1328,29,0.8993250056920692,29
1330,2845,0.9318275452524069,-1
1331,1654,0.8888623280867979,-1
1339,3072,0.9001840552760193,-1
1345,4691,0.6005455562366606,-1
1350,4750,0.627144241617544,-1
1369,4632,0.640825379490399,4632
1371,5710,0.935077935069965,-1
1376,1613,0.6950005509559708,1613
1378,3274,0.669290123579916,-1
1386,1505,0.911816367319709,1505
1390,122,0.9114774879822932,122
1400,1696,0.9141688967137102,1696
1401,3440,0.7080243740910052,-1
1405,4562,0.6139797776102167,-1
1407,1516,0.8362186209289164,-1
1410,6017,0.8983110175253862,-1
1412,2703,0.9248667358309458,2703
1420,3029,0.7329864904731441,-1
1432,4004,0.8475613456430473,-1
1437,4691,0.6879278902414665,-1
1442,3210,0.9239356577718536,3210
1448,2133,0.738564953358465,-1
1457,5830,0.7150887364382313,5830
1460,5772,0.7125321459790837,-1
1466,4127,0.7332841919346771,4127
1467,831,0.7101851867529754,831
1471,3688,0.8423391870266272,-1
1485,3176,0.9007000387115646,3176
1493,651,0.6643611068366182,651
1496,2798,0.8355648413712874,-1
1508,313,0.932637746958102,313
1509,2661,0.6692193497435224,-1
1510,5433,0.602311248560747,-1
1511,335,0.7378077541026643,-1
1511,1610,0.7170884591618529,-1
1513,4626,0.7210709878736608,4626
1514,1369,0.6188803401027748,-1
1516,1820,0.9325932596713008,-1
1542,5418,0.9062952378760736,5418
1547,1079,0.9140453923769708,1079
1549,1964,0.7201207084811461,-1
1549,5343,0.7914027138862477,-1
1568,1794,0.9299214776033122,-1
1569,2724,0.922448277727198,2724
1570,4184,0.7265717672016423,4184
1583,1012,0.9264881857951852,1012
1584,5754,0.8989236476276188,-1
1586,4551,0.8887285474731508,-1
1593,4418,0.6958508400692855,4418
1596,2353,0.6206605878941853,-1
1601,3824,0.793555656130278,2277
1606,4914,0.7227045922381268,-1
1609,5648,0.7041805633892437,-1
1610,4725,0.7156595900658923,4725
1614,1486,0.6725026710161854,-1
1625,4418,0.6455137468379776,-1
1631,4296,0.687294423951802,-1
1633,1131,0.7126029949625516,1131
1634,5492,0.9083439763718284,5492
1637,4416,0.8825664968430584,4416
1642,4519,0.9103939150959264,4519
1669,4370,0.9192656577248224,-1
1674,1899,0.925559815939709,1899
1687,2265,0.6767235546257152,-1
1689,821,0.9218849711365512,821
1697,5169,0.6906887995469021,5169
1698,3437,0.8971380344358181,3437
1705,1063,0.7330228872603294,-1
1709,3597,0.9225321860033427,3597
1715,3485,0.7108810905352636,-1
1718,3274,0.6652797366736394,-1
1723,133,0.6502633829298932,-1
1731,3455,0.6649314018164358,3455
1742,1938,0.6942486069067433,-1
1744,5182,0.6822827993055828,5182
1745,5305,0.6637797347890484,5305
1756,3446,0.9287174202929244,3446
1760,2886,0.6899789527667431,2886
1762,4832,0.6721772714217037,-1
1768,4938,0.6871459208500987,4938
1771,2725,0.7158185522104448,-1
1775,3644,0.7499635013819409,-1
1775,4996,0.7452003499114106,-1
1778,1765,0.6748547614760839,1765
1798,184,0.6811490341354315,-1
1805,2524,0.9338783261742089,2524
1810,1290,0.6884622887807903,1290
1812,329,0.7214841646005129,329
