D1,D2,Similarity,True
0,21732,0.711050698974351,21732
1,56589,0.7294823607287965,56589
2,60625,0.6953636169815581,60625
4,2541,0.6604966775007933,2541
7,32111,0.7300373768929023,32111
13,33467,0.6704947023827353,33467
14,2019,0.7209313073291627,2019
17,9628,0.6781438451214904,9628
18,25181,0.6788630475063474,25181
20,9485,0.7779756658632665,9485
22,4252,0.6824660312062392,4252
26,42771,0.711234106918175,42771
30,19412,0.6384256839185506,19412
31,10061,0.7723498003952389,10061
32,12782,0.7874115091591318,12782
35,16544,0.6921399663336432,16544
37,24704,0.7307752333413203,24704
38,17035,0.6555804645398134,17035
39,31172,0.6038878980796346,31172
40,33595,0.7912475200437438,33595
42,27804,0.7841348707700255,27804
44,12237,0.7540709000450923,12237
45,57521,0.761752619606153,57521
46,18925,0.745277033635696,18925
46,40196,0.6600531324718276,18925
46,45436,0.6736334249895831,18925
48,60873,0.7065986714414495,60873
51,1799,0.8131060421756314,1799
55,19874,0.6964482427143804,19874
56,55434,0.7362567900020976,55434
58,37469,0.6815202894187711,37469
61,33002,0.6457967341974973,33002
63,17903,0.7633764044469641,17903
64,3385,0.6302782020506074,3385
69,15312,0.7922405904106784,15312
70,9357,0.6830852147911349,9357
71,50886,0.6858376892411615,50886
73,34208,0.7880694852545018,34208
76,25543,0.7067180867626502,25543
82,8901,0.6853970715125445,8901
83,3256,0.6332428554163289,3256
84,48758,0.6561440152062947,48758
90,3379,0.7725821728901242,3379
94,31221,0.7791715818042998,31221
97,11671,0.6923825895897984,11671
98,1833,0.7829572418774016,1833
99,3664,0.6780772979171671,3664
106,49016,0.6934528408436275,49016
107,43941,0.7653521159464559,43941
111,1807,0.6933105607625037,1807
114,4592,0.7288646947909153,4592
116,56445,0.727486192271297,56445
117,40566,0.6915158950674308,40566
119,46497,0.736721783961764,46497
128,24130,0.7218952058914186,24130
132,6678,0.6530578181306633,6678
133,58301,0.8040070251108308,58301
136,6932,0.7630818156719714,6932
137,17754,0.7340953060204273,17754
138,16893,0.7524629141405211,16893
139,3446,0.6686424117366614,3446
140,19343,0.6562663910464152,19343
141,19242,0.6791580701941735,19242
142,57297,0.7734465752356124,57297
149,22278,0.7738522041577288,22278
150,53062,0.6611366296502701,53062
151,41133,0.7594425337160962,41133
153,50248,0.7790405364254457,50248
154,13350,0.7674692381548935,13350
155,22096,0.6804842907476399,22096
156,8167,0.6176999898088361,8167
157,20679,0.8019655335645525,20679
161,45451,0.704780458378654,4777
163,50628,0.7593356873628426,50628
164,24154,0.7755165858776027,24154
166,4898,0.6745236652557884,7568
170,39546,0.620533043486205,39546
173,39666,0.7514433813379152,39666
175,434,0.7157643151606611,434
176,39155,0.7907723890176765,39155
178,26326,0.7237335386926513,26326
184,51846,0.6953308926539923,51846
185,44720,0.7542064946920878,44720
193,17374,0.7948987271692243,17374
194,16572,0.7593855750418156,16572
197,40815,0.7560340900877127,40815
199,35281,0.6901058595678776,35281
201,3354,0.6709137864489757,3354
209,58725,0.7659487064766619,58725
212,31905,0.7911938620708941,31905
213,44997,0.7731061504809145,44997
214,39993,0.7887051653599905,39993
217,54222,0.7300649989687971,54222
218,294,0.6682437126771453,294
220,45567,0.6680401190813864,45567
222,11667,0.7290283900040923,11667
223,2057,0.6788579932294326,2057
224,44442,0.7861450754727276,44442
225,36256,0.6878819431510635,36256
228,29242,0.7126496098371141,29242
229,47831,0.7942351869730632,47831
231,5394,0.7550864671339873,5394
232,21149,0.6689994617209594,21149
236,29091,0.7213682369534944,29091
238,35146,0.7974222731237599,35146
238,42197,0.7018067641764072,35146
240,17394,0.7283353150626135,17394
243,60288,0.6640861963839534,60288
244,23882,0.689532517808704,23882
246,16555,0.7737411044496689,16555
249,27720,0.727136022874173,27720
250,19321,0.7471124910394524,19321
251,22819,0.7666178746283137,22819
256,2862,0.6934410750897283,2862
257,31036,0.6273089491758791,31036
262,57475,0.734153176022718,57475
264,36779,0.7081775258363596,36779
266,33057,0.7513770496700323,-1
267,53040,0.6789953232608694,53040
275,15162,0.7591915431395526,15162
276,9315,0.7071187740251648,9315
282,13282,0.7161712017722672,1605
283,20800,0.7400818693723574,20800
284,32044,0.8110535061212312,32044
286,27715,0.701079722837005,27715
289,2582,0.6505860201152077,2582
290,9936,0.6571729759473949,9936
291,57958,0.6547563197884388,57958
292,20921,0.7511285530991063,20921
294,37025,0.6683873658287505,37025
299,1505,0.7190197166450792,1505
300,29801,0.7448161263023543,29801
301,40649,0.676723377200258,40649
302,34203,0.6478251357241249,34203
306,32755,0.7604443145904527,32755
308,2464,0.6814088772661011,2464
309,36802,0.7227932348337566,36802
310,43184,0.7790429601115358,43184
316,37067,0.7427710693220018,37067
318,10539,0.7053086202574076,10539
320,34285,0.7991486844451501,34285
322,53195,0.7937706953397597,53195
324,49581,0.7314097262508625,49581
329,31964,0.7307633447257104,31964
332,9424,0.6823048169014044,9424
335,32681,0.6925877265804374,32681
336,35679,0.7331652104935361,35679
337,11287,0.6838154995219732,11287
339,57363,0.7490883816244739,57363
340,37068,0.6237761195683527,37068
340,37814,0.5996474360085562,37068
341,28529,0.671825995903544,28529
342,39857,0.6700917578936169,39857
345,55925,0.6575688920653578,55925
346,240,0.757111240601525,240
347,16,0.6737254667316945,16
348,22588,0.7266201489082215,22588
350,56559,0.791120924273109,56559
351,19515,0.7845164987746442,19515
353,37484,0.6926359486970494,37484
355,834,0.6485995405776965,834
356,50212,0.7524917024359503,50212
359,56257,0.6423183531042352,56257
360,4270,0.785733525865308,4270
361,22156,0.7340258997509498,22156
365,32225,0.7542956408347302,32225
367,37068,0.6491754374709747,-1
367,37814,0.6148577132315185,-1
368,18795,0.6580758223655114,18795
371,53339,0.7553768184110925,53339
374,22550,0.6734390905827337,22550
375,25906,0.6628787802460478,25906
376,33951,0.7953157703559427,33951
377,27201,0.7706674258250191,27201
380,18115,0.7539597657519366,18115
382,40474,0.7794055976461576,40474
386,35504,0.7899089012810913,35504
387,35058,0.688008488759826,35058
388,638,0.6681116015148102,638
389,15508,0.6528568550098969,28618
390,14804,0.7260607937498902,14804
391,60614,0.6627131388091028,60614
394,37904,0.787007714588715,37904
397,7411,0.6684868890279034,7411
399,42861,0.7378678497322465,42861
400,59191,0.7364997292431471,59191
402,5522,0.6524193472180683,5522
403,8866,0.6894280748534933,8866
404,36365,0.7406021503097979,36365
405,36588,0.7376180239042406,36588
408,36540,0.6508470873134827,36540
409,40648,0.7961794886360212,40648
410,59553,0.7978578479772469,59553
411,2172,0.680593937437156,2172
412,26166,0.7381070312687492,26166
414,51756,0.6836319602241095,51756
415,59932,0.7526708265883233,59932
416,37592,0.6329166996601262,37592
417,13449,0.7250121588250122,13449
421,21371,0.7420147260406731,21371
422,38835,0.7678034682742264,38835
424,27420,0.7163933711173271,27420
425,39480,0.6711029613371949,39480
426,36981,0.7994354420234505,36981
428,1268,0.7370697857536573,1268
432,3634,0.7180869266910826,3634
434,9201,0.7173678169431913,9201
435,3375,0.7014910517348739,3375
439,3192,0.7063955319426288,3192
441,51215,0.783788507926629,51215
443,54215,0.6752950121127496,54215
446,8206,0.7542278213874669,8206
449,11702,0.7469156679983234,11702
451,23514,0.7495963716553457,23514
452,55964,0.6618700869540998,55964
454,22827,0.7674285154138528,22827
457,47540,0.7803047605023811,47540
458,36164,0.6096618660485796,36164
460,2031,0.7184105898104124,2031
461,42727,0.795718457120021,42727
462,9450,0.7073299788046159,9450
463,40828,0.7807311499388434,40828
465,37068,0.6169058713481927,-1
467,2970,0.7227677015440781,2970
468,47159,0.7075285538624322,47159
469,55622,0.7145895047716135,55622
476,32572,0.7462638249075967,32572
478,31669,0.6251327789221817,31669
479,34930,0.7781914570780663,34930
481,17806,0.6959512477846577,17806
483,44552,0.7257807639513139,44552
484,5615,0.7503693319768389,5615
485,7374,0.7369923858425484,7374
488,1394,0.6934143349220447,1394
489,57003,0.628271321189607,57003
490,47259,0.6566214570264851,47259
495,13682,0.6674077129371463,13682
497,6309,0.6614411243368721,6309
499,48770,0.6937209674514588,48770
501,52036,0.7887320844836507,52036
504,55036,0.7794629918969785,55036
506,8589,0.6395403693939444,8589
511,5406,0.7915317525076212,5406
515,22053,0.7822653491778766,22053
521,30883,0.7663073034512959,30883
522,9678,0.7183018137176284,9678
524,2493,0.708759700012247,2493
530,54960,0.7497141296436868,54960
531,47261,0.7401272347787297,47261
535,3690,0.7161992826061139,3690
537,56404,0.7187943142160942,56404
538,22861,0.7300976112751347,22861
540,32686,0.6900723225722663,32686
541,29325,0.7979460940775227,29325
543,60187,0.6940321204040252,34167
544,32604,0.707880188991493,32604
548,37814,0.6091733123144559,-1
549,6360,0.7529990650580213,6360
551,13347,0.768185523321081,13347
554,14526,0.6250813755905308,14526
555,3984,0.6593790699734577,3984
557,15868,0.7116583617243273,15868
558,40632,0.7307671484040171,40632
559,37596,0.6607659690175367,37596
560,35121,0.7934443245672823,35121
562,29066,0.7947013330153369,29066
564,19131,0.6941476990088218,19131
567,255,0.7181876135143044,255
569,21232,0.7161660352609799,21232
575,17230,0.683876194770585,17230
577,29013,0.6922159998859593,29013
579,47806,0.7538323210399185,47806
580,43103,0.7881144272736224,43103
581,15074,0.7228430143660668,15074
582,7254,0.7975299659339249,7254
584,21628,0.8065951004822248,21628
585,6373,0.7108194224786238,6373
586,59215,0.8018936816997212,59215
588,38362,0.7146714641943961,38362
594,28581,0.761118828912834,28581
595,44333,0.6142655394329454,44333
597,54393,0.7846005339442573,54393
599,2506,0.7492422488231975,2506
600,7129,0.7260114968587436,7129
601,46586,0.7780769068360552,46586
602,24109,0.6927493750543365,24109
604,35840,0.7686459706085239,35840
605,28031,0.6911392389941036,28031
606,9351,0.6713136106171901,9351
606,10725,0.6281431228349007,9351
606,53721,0.6875751660653792,9351
607,2635,0.7450859743401415,2635
608,30918,0.7358695307005009,30918
610,655,0.6699357876990959,655
612,8639,0.7728075478331173,8639
613,31503,0.67160357189064,31503
620,10966,0.638435839013647,10966
621,9462,0.7876671975460517,9462
622,15781,0.66484305118968,15781
624,50095,0.7524094270839464,50095
625,31338,0.7418353726800367,31338
626,37068,0.6334112128009259,-1
628,52006,0.7300995970186714,52006
629,8908,0.749852183542608,8908
630,19597,0.709766289285161,19597
632,20611,0.6463399971206515,20611
633,18643,0.6720633199917175,18643
635,2485,0.7181221200659301,2485
637,19702,0.6593581313566599,19702
639,26797,0.8056635444304795,26797
640,50363,0.7543005243056243,50363
644,3201,0.6693137938403219,3201
646,44003,0.8064229993473523,44003
647,15578,0.6864100958468101,15578
654,24663,0.7374387797872729,24663
656,33329,0.7194276453655447,33329
657,20989,0.7160795149177541,20989
658,12042,0.6946555232828955,12042
659,42157,0.7228125572599807,42157
660,561,0.7187599171215409,561
666,51639,0.7750961402284571,51639
667,3100,0.6769834462791378,3100
668,43892,0.7501193046331108,43892
672,19924,0.7416264032928549,19924
673,36859,0.6776097940314078,36859
675,3247,0.7186886390848196,3247
678,35488,0.7859609146767657,35488
679,55748,0.764759678607239,55748
681,54099,0.764182480801284,54099
682,13414,0.6902528192743326,13414
683,2035,0.7289571988104468,2035
686,22252,0.748891636123698,22252
689,46598,0.6741121678954447,46598
690,28915,0.7904410490723673,28915
690,38248,0.7623700063862491,28915
693,16221,0.711955482752605,16221
694,40289,0.7741319147726664,40289
695,11705,0.7816267116383148,11705
696,46145,0.7094338068448085,46145
697,37068,0.650774051187179,-1
697,37814,0.6340305198416459,-1
698,18180,0.7697263288114577,18180
700,4086,0.765380310239404,4086
702,57195,0.6888084862806241,57195
703,32310,0.8098605149436396,32310
706,20765,0.6988172325935957,20765
708,29050,0.6844774990149823,29050
710,48923,0.7603697678117055,48923
712,19845,0.7554227177771073,19845
713,292,0.6824570782552843,292
713,57161,0.6684522775862454,292
714,432,0.7583623092682551,432
718,53843,0.6506248741580417,53843
720,6938,0.7868186660511767,6938
721,5828,0.7176940556301769,5828
722,10368,0.7146023187283794,10368
723,56289,0.698763751358843,56289
724,35678,0.7795055632503333,35678
725,53349,0.7188276982507544,53349
731,2164,0.7276484798308279,2164
732,12548,0.7133262569944041,12548
734,9791,0.7204300899811051,9791
735,54324,0.6799662521899418,49875
738,26070,0.8102123202698078,26070
740,40593,0.6766548296952665,40593
741,46172,0.7974498663978526,46172
743,41568,0.7100548902565192,41568
747,40896,0.7171086731781792,40896
750,49550,0.7569579156759648,49550
751,5054,0.6166676688872837,5054
757,51798,0.7516383888596412,51798
758,35218,0.7496099024798087,35218
759,28213,0.6071886856258715,28213
761,14716,0.7166093269836393,14716
763,47009,0.7060838353599682,47009
767,36027,0.639643996966715,36027
768,26661,0.7820686192165914,26661
769,11348,0.6916967343218886,11348
771,14998,0.7170371706351907,14998
777,10980,0.7205194441545569,10980
781,60655,0.6907235766381331,60655
782,10632,0.744987065802066,10632
783,15710,0.6650723160205997,29261
783,29261,0.7423382011603105,29261
787,1287,0.7263679582380819,1287
789,4059,0.7019300862452489,4059
790,12461,0.7819179935320737,12461
791,21730,0.7459439680000071,21730
792,33084,0.7741154482560756,33084
794,58453,0.667246912521405,58453
796,49492,0.7409904317977042,49492
798,190,0.8027750384820574,190
800,29220,0.7587981483157427,29220
802,34110,0.7468108045933726,34110
803,51385,0.7197693472899662,51385
804,38816,0.6623077898149451,38816
810,97,0.7297048530402176,97
818,25860,0.7958765992071459,25860
819,48541,0.7479296786640883,48541
820,46627,0.7193682949741642,46627
823,16875,0.7092325120392434,16875
824,42478,0.7145041104218944,42478
825,6845,0.7006776255156635,6845
828,60462,0.7307208544424061,60462
830,1444,0.7092138938442172,1444
838,1234,0.8142780707551309,1234
847,56100,0.6615630842378167,59882
847,59882,0.6143814980571813,59882
853,1262,0.7270558428858489,1262
853,47240,0.6541316378817231,1262
855,53700,0.6295658981936341,53700
857,30793,0.8114604483359199,30793
858,13302,0.6372410949390787,13302
859,44056,0.8073157931554799,44056
860,32639,0.7257753636719564,32639
863,33555,0.6876192121457474,33555
867,5523,0.8014180766268725,5523
868,23963,0.7108702470247601,23963
872,46847,0.7500403973611632,46847
876,37574,0.6782315440229245,37574
877,31696,0.7758510464709464,31696
878,26091,0.7049890242139623,26091
883,47211,0.7919823172645414,47211
884,47271,0.7041561803924429,47271
888,34914,0.6776520798787908,34914
890,3884,0.7254803072274629,3884
891,59099,0.7522571908978815,59099
892,6741,0.792387397967326,6741
894,40310,0.7149281789168148,40310
896,12899,0.6880737120592337,12899
898,24526,0.6711177262422553,24526
901,1847,0.6979973740875566,1847
909,30240,0.7134910415861215,30240
910,56713,0.78425293483962,56713
911,7379,0.6504868876450646,7379
912,30059,0.76081556001746,30059
913,32191,0.6751267486164295,32191
915,2488,0.7036927075544321,2488
917,17820,0.7664025017189816,17820
919,7026,0.7049848768677005,7026
922,50205,0.7126865882453892,50205
924,37068,0.6424439406238874,-1
924,37814,0.6143779432918552,-1
925,15012,0.7090487114250527,15012
927,28727,0.6990017802296619,28727
928,23829,0.7923424163530342,23829
929,55083,0.7099486295707168,55083
931,55343,0.6656908458350954,55343
933,13362,0.6918091686069643,13362
934,37068,0.6354770404536892,56665
934,37814,0.5985903249111589,56665
934,59703,0.6169996835788919,56665
935,53359,0.7430800152715438,53359
936,9590,0.7317134718984343,9590
938,38529,0.7800599764804041,38529
943,39720,0.668111761150313,39720
944,57291,0.7616970602672044,57291
945,23206,0.6808966981967793,23206
947,5301,0.7430341884553053,5301
951,49368,0.691597735709227,49368
952,11541,0.7638112118093335,11541
953,11996,0.7105154853283003,11996
956,39194,0.6869228716371941,39194
958,7736,0.7627422853068595,7736
959,2052,0.7196395851837567,2052
960,2153,0.7578578632997317,2153
961,5187,0.7984065386926184,5187
964,3428,0.6443950394550049,3428
965,2144,0.6667510907789376,2144
971,12992,0.7792679583140438,12992
972,6550,0.6796923626463923,6550
973,48798,0.6213882665538748,48798
976,4167,0.6557193905769213,4167
977,47012,0.7294194212235537,18345
979,45205,0.7757359825799416,45205
980,3789,0.8091373810484013,3789
984,47784,0.6510684164091034,47784
985,7399,0.692219784151676,7399
989,48032,0.7550404726995651,48032
990,10866,0.7205786442171892,10866
991,22692,0.7987579965824815,22692
992,29946,0.7212796179180369,29946
994,23446,0.7274123215392483,23446
995,56712,0.7797413743121492,56712
996,16087,0.6068910493567136,16087
997,16134,0.7662866531524192,16134
998,53572,0.7230658372555641,53572
999,16933,0.6335001852483695,16933
1004,6154,0.7828887190533818,6154
1006,4075,0.7949819689682877,4075
1006,42314,0.6259103087335506,4075
1007,1996,0.6891200872920757,1996
1008,29812,0.6392046760970971,29812
1009,42918,0.6811953031057774,42918
1010,16245,0.758784163645254,16245
1011,7281,0.6396734820990003,7281
1012,3159,0.7299953839057518,3159
1013,12175,0.7658490236897284,12175
1014,6702,0.7149168460185584,46271
1016,50089,0.73421206727225,50089
1017,53708,0.8061274797773714,53708
1018,3564,0.7276543498538497,3564
1020,48425,0.6395822552728736,48425
1022,29850,0.774957870840247,29850
1023,45104,0.790301085669028,45104
1024,58598,0.6714197170624835,58598
1025,34212,0.6180685446395429,34212
1026,46799,0.8077229587805654,46799
1027,4754,0.6141942089520591,4754
1030,43457,0.7406766479914983,43457
1031,17579,0.8131770501193577,17579
1033,4538,0.7234573910018229,-1
1034,5119,0.6488645615832881,5119
1036,18466,0.698930610773212,18466
1038,24546,0.7009868214753658,24546
1040,35998,0.797905924597553,35998
1041,19085,0.7559695002653992,19085
1042,60287,0.627473907545788,60287
1043,55701,0.6471923566166436,55701
1044,29592,0.8129531319800933,29592
1046,16518,0.7256588376870177,16518
1048,35689,0.8119340918070664,35689
1052,22438,0.8029191288461147,22438
1053,12173,0.7455654381341524,12173
1061,33549,0.7577249223863597,33549
1063,38808,0.7773070768434159,38808
1064,10599,0.7067918187867582,10599
1070,26313,0.7426510934895255,26313
1071,49885,0.8117341858053386,49885
1072,7789,0.7767225314504455,7789
1075,43159,0.7232790689172569,43159
1080,25278,0.813865929454081,25278
1081,5446,0.6920125387246399,5446
1082,19261,0.763942296757458,19261
1083,47693,0.7729709939653797,47693
1085,7386,0.7558719381008459,7386
1086,35919,0.7396822771110323,35919
1088,21392,0.67800288631452,21392
1089,17849,0.7983559133525889,17849
1092,24631,0.6848639524476958,24631
1096,53305,0.744161075421109,53305
1099,20372,0.6153524291491888,20372
1100,28085,0.68564876170514,28085
1103,49548,0.7605986759805445,49548
1104,26316,0.7413847392355156,26316
1107,47909,0.7919134392215794,47909
