D1,D2,Similarity,True
1,1022,0.666377060973014,1022
2,434,0.7268251227852713,434
2,953,0.6980584202509312,434
5,825,0.6888180308618282,825
6,776,0.6601891287449422,776
7,377,0.6585075632605788,377
8,1020,0.6805606973975936,1020
9,134,0.6644923046310046,134
9,1020,0.6481950143600179,134
11,461,0.6036907023293339,461
14,237,0.5943013198902124,237
15,821,0.6677951544337513,821
16,59,0.6470361328987471,59
17,344,0.6188491567869213,1075
17,461,0.6058635074296681,1075
17,1075,0.662634327168021,1075
18,99,0.6462059126713852,99
19,824,0.7020191252871465,824
20,89,0.6294348567884371,89
21,25,0.6949697176136248,25
24,407,0.6620570693186176,407
25,116,0.6659106519525474,116
26,100,0.7028446808241454,100
26,288,0.7043958868041944,100
27,127,0.6593817651395476,127
27,128,0.6763570556492745,127
27,661,0.6087040253332554,127
32,165,0.6398099685510582,165
34,10,0.6102245726273374,10
35,11,0.6327776726535431,11
40,19,0.6922496884462633,20
40,20,0.6949209253376165,20
41,29,0.6628038569101657,30
41,30,0.6625971657778045,30
42,24,0.6698303770333504,24
43,29,0.6637446768476992,29
43,30,0.6414758564703155,29
44,14,0.6437630363981782,14
46,115,0.6605274923459798,60
47,27,0.6700094022550356,27
47,28,0.6454707576502612,27
48,27,0.6592436144333081,28
48,28,0.6772837681731552,28
49,88,0.6557434306020579,88
50,32,0.641665332829248,32
51,112,0.6804382149006061,112
52,115,0.6787512254847919,115
53,0,0.6705917985364643,0
54,40,0.6949153556816344,40
55,50,0.6804594236424301,50
56,15,0.6433969633757024,15
57,9,0.6097502523905413,329
57,329,0.6261687701852107,329
58,12,0.6669523084950828,12
59,62,0.6933695146579205,62
59,164,0.636506551623234,62
60,806,0.6216038744425987,806
63,47,0.6788554111822277,48
63,48,0.6862833093360203,48
64,54,0.6440976012021056,54
65,58,0.6541024114613392,58
69,760,0.6772787647259659,760
72,64,0.657833221643889,64
72,65,0.6430900429462244,64
73,164,0.6538062142083507,164
73,1042,0.6146343968895658,164
74,64,0.6548962260280601,65
74,65,0.6468466391357806,65
75,80,0.6899282768811803,80
76,72,0.6802046060898955,72
77,61,0.7008577700218539,61
77,72,0.6924816844213336,61
79,47,0.6470948296257544,47
79,48,0.6403275357027526,47
80,78,0.6696675251515255,78
80,225,0.6615265906647052,78
80,226,0.6441927673945359,78
80,251,0.6241971754595038,78
80,253,0.6365181912978685,78
81,194,0.6997550430086051,194
81,344,0.6205228761650974,194
81,1075,0.5952863310967834,194
89,198,0.6360771232350291,198
90,756,0.7286677467476774,756
92,726,0.6667898856148343,726
95,409,0.6787234645075526,409
96,93,0.6727134043226562,93
97,94,0.6461516822797118,94
98,109,0.7184241256878752,109
101,49,0.704483940349618,49
101,55,0.693235260490425,49
102,1066,0.671002107568208,1066
103,403,0.6744896325640705,403
105,57,0.6607042196390885,57
109,194,0.6232795808518288,344
109,344,0.6876098134841921,344
109,365,0.6001588645885967,344
109,1075,0.6244154577775048,344
110,306,0.6070877935275294,162
113,282,0.7098398028077977,282
115,264,0.6064895681124709,264
117,306,0.707132081463922,306
118,307,0.6163705423421493,307
119,119,0.6359985881369462,119
120,284,0.6052747443678822,284
122,114,0.6823401423647347,114
123,227,0.7232648038300424,227
123,869,0.6525841720444429,227
124,53,0.6725777810133862,53
126,121,0.6627779349184704,121
127,125,0.6733472351639658,125
128,791,0.6244135753810113,791
130,180,0.6688850917092767,180
132,181,0.6521612763149246,181
133,101,0.6457333019932645,101
134,155,0.6035643692015108,155
136,190,0.6498690381810285,191
136,191,0.7099182280107226,191
137,190,0.6650257333937954,190
138,146,0.6790689633880819,146
138,147,0.6484063484800117,146
138,250,0.693440258237349,146
139,14,0.6277392287254442,147
139,147,0.6466974123763656,147
139,191,0.6923809608706002,147
139,426,0.6739179226579781,147
139,787,0.6256172049862433,147
141,785,0.682485076094052,785
142,117,0.6505109995313838,117
142,460,0.6113413900704672,117
142,603,0.6276137595615222,117
142,727,0.6159215110892896,117
144,293,0.6411764505804622,293
147,724,0.7143153931580349,724
149,796,0.707237977646644,796
153,322,0.672930329183516,322
155,176,0.691543714721631,176
158,7,0.7050766186772883,7
159,797,0.6611877501540926,797
163,416,0.6406148723909083,416
163,417,0.6922660126541891,416
164,184,0.6558796052450772,203
165,178,0.5895935771570274,178
167,37,0.641744316397716,37
168,295,0.6577798074667182,295
169,831,0.6381303800312834,831
171,372,0.6810500319127728,372
172,995,0.5965906264327174,131
173,152,0.6617002515548691,152
174,32,0.6350388798750303,145
174,145,0.6360920511962391,145
175,43,0.6734098568401337,43
176,9,0.6325842489040111,9
177,248,0.6479846939002124,248
181,232,0.7003764939609116,232
182,207,0.6670294456490914,207
182,231,0.6553267472873154,207
183,245,0.6220261068896782,1035
183,396,0.5953573723505927,1035
183,1035,0.728260434072704,1035
184,945,0.5892071783383581,946
184,946,0.66006858377198,946
184,948,0.5761412528927743,946
184,951,0.5934163501873267,946
185,395,0.6742346187309989,395
186,151,0.5926299779376488,151
