D1,D2,Similarity,True
25,3405,0.5663827137508505,-1
52,2500,0.5965637064374003,2500
115,332,0.5836283383479896,332
124,912,0.5632911222406242,-1
124,5946,0.6158669315798893,-1
127,24,0.6000883470903225,-1
152,6546,0.5933372728317943,6546
161,887,0.6081878349281217,-1
168,7387,0.6084322834502892,7387
180,469,0.6051152917882688,-1
187,3414,0.5697036730116198,3414
203,4822,0.580552800817172,4822
292,1200,0.6016009184291364,-1
302,6412,0.6058961747053142,6412
312,6029,0.5667314000689784,6029
313,204,0.6069955435226518,-1
339,242,0.6145327261660651,242
348,4444,0.5956556432559651,4444
358,5407,0.6368809006671429,-1
369,5087,0.5801556271553047,5087
387,7623,0.5831661289849405,-1
388,783,0.592810461003577,-1
405,349,0.6339030742675316,-1
426,5423,0.6008578938341428,5423
461,344,0.6063709805579589,-1
494,613,0.6205992654554859,613
500,7436,0.5611256349037926,7436
545,2510,0.5976774915780463,2510
567,7632,0.6023969106488163,7632
576,2520,0.5903655704724036,2520
618,1218,0.5970544176226757,1218
643,1898,0.6000455294823069,1898
644,7690,0.6127882815438267,7690
645,5963,0.6134309184288517,5963
649,4935,0.5529879173843986,6479
649,6479,0.5530360768903086,6479
663,3831,0.6029407113897222,3831
670,6441,0.6152864420955689,6441
677,1274,0.6088285425248942,1274
698,2186,0.609765588002067,-1
725,7175,0.5676682497020601,-1
736,5752,0.574425883666167,5752
760,458,0.5886881469165921,-1
764,838,0.602201206052387,-1
767,7255,0.575571195682733,7255
779,213,0.5854785598327166,-1
781,5613,0.5713411776260404,-1
821,4793,0.5623422632997579,4793
823,358,0.6320033294547958,-1
828,2671,0.5922140231171229,2671
829,6174,0.6336111009562091,6174
833,283,0.6086294763546666,-1
882,6858,0.6257513759210525,6858
896,115,0.6020722977710693,115
898,68,0.5880584349476837,98
898,98,0.6339185949730605,98
918,165,0.5757909533378869,165
948,5652,0.6373180972571287,5652
963,896,0.5803110872891198,-1
1015,1562,0.5767405328729277,-1
1021,7264,0.6051836994027743,7264
1032,2759,0.599686960073773,6537
1043,5948,0.6230992088409497,5948
1093,6138,0.5841129994298557,6138
1114,61,0.6107862064647048,61
1124,212,0.5983533351322576,212
1148,2462,0.6309282166968526,2462
1168,7245,0.6244123901742269,7245
1169,1599,0.6129689808149061,-1
1186,3285,0.6084545258177673,7510
1196,4780,0.6295576061058459,4780
1227,2924,0.5651625895276994,-1
1241,27,0.6378900115664315,-1
1249,7447,0.6146246245927207,-1
1253,3390,0.5990095565019192,3390
1260,4552,0.5599384966694317,-1
1302,7139,0.5704838767867261,-1
