D1,D2
4141,5189
2329,1766
2922,4860
3524,214
2963,1938
1315,7512
3495,5778
4097,7504
3491,6221
3689,953
3471,1698
3241,3299
1102,1340
3456,3330
1038,7627
4530,6153
2788,5910
4324,1043
2196,6049
2453,2593
4288,1556
3986,2424
139,5660
1467,12
1659,6734
2359,7220
3345,2489
4932,5034
3547,3954
4173,5852
2185,6664
955,844
4036,4004
1644,1840
3061,6946
3998,2567
2371,4102
3972,3399
2712,5108
1933,3324
3725,7225
2470,2471
1892,779
2157,4792
686,3319
4914,1821
3721,7314
559,3968
2889,1418
288,2833
1145,5182
2907,3834
2503,7288
2154,3654
3005,1387
500,7436
151,2205
2038,971
3614,3133
5029,1792
2746,984
884,3437
3889,3272
2898,3531
651,4312
2692,1327
2079,1815
4464,2626
2274,4615
2669,6325
1700,2329
2149,2555
4560,6154
2026,4054
2263,5987
672,956
312,6029
4763,2540
3006,2423
1634,4206
4708,3974
4179,7276
4826,5214
4255,4381
1730,6913
4964,6415
2219,7658
2952,1909
4866,2134
3671,1244
5095,1390
3114,6893
4629,2973
3951,6784
1855,2706
4550,5229
183,4169
4093,3912
2272,6485
2246,1542
1537,750
3801,5051
227,5641
2529,5844
1202,2573
3254,2430
4029,6438
1618,8
2985,330
1735,339
2063,6317
4820,3879
4013,7123
918,165
4373,4299
2998,3321
1814,6764
4057,5127
2706,5002
2930,4426
3884,1314
2080,1467
852,6576
1895,7786
2634,5832
4386,7179
369,5087
203,4822
4841,6787
3267,1630
4333,4657
4371,1485
3434,2025
4909,7780
2168,5331
4746,3888
1344,5358
387,7623
1865,5775
392,544
2606,3028
791,5097
1962,260
115,332
2172,3377
3396,5762
960,2930
982,4441
2858,3563
1843,2834
3751,3476
862,7006
2467,302
1494,2153
2393,6630
2798,3516
3111,3175
3993,1105
3000,4520
760,458
2631,1087
2927,2206
576,2520
2954,732
2721,397
2906,1187
4907,166
4030,7667
3047,4978
828,2671
2313,3997
2837,625
1399,3320
4394,5299
3489,3712
4778,2517
2498,378
3753,4500
4972,746
3447,2512
1434,4290
4428,5945
3218,4959
2681,6765
4948,6402
3014,4212
2153,2587
2743,4024
348,4444
3384,4521
2909,1372
1242,7580
4390,6200
5106,5723
52,2500
618,1218
480,6799
4041,1811
2167,1508
1219,2464
2220,912
2146,2193
4928,6489
545,2510
5101,6931
1354,6076
3256,1437
1784,3807
1253,3390
859,2601
3307,1947
1776,5988
1032,2759
2675,1731
643,1898
127,24
1694,1048
4064,524
247,364
1701,3065
3194,127
426,5423
4164,1135
4882,219
4087,3004
1835,4684
896,115
764,838
4009,129
4356,1104
2423,7496
4303,5493
2124,428
3153,1099
4185,1523
3987,2703
2883,5784
1186,5289
2983,7339
4069,3222
1677,5719
302,6412
1747,5608
5013,206
3637,4603
2806,4370
1899,5683
1573,7135
4890,2561
168,7387
4190,3702
833,283
4920,2722
3159,1593
1364,2824
2622,1920
698,2186
4992,4940
4666,3137
4949,958
2477,1606
3908,1078
2803,3830
3681,4105
1877,7538
645,5963
340,1511
3696,6069
2284,4074
4201,256
670,6441
2851,6651
1432,2716
3009,3424
69,1213
4999,44
4066,6547
3698,1659
3435,2612
2662,4205
2226,1885
3073,6510
5092,6062
2087,3696
3299,1305
1043,5948
4811,418
4311,355
1168,7245
2766,687
4582,2350
3985,285
2240,6985
882,6858
5028,7048
2547,6540
3506,6517
2585,390
1326,3056
4596,226
1196,4780
2938,2232
3021,1570
1731,4897
4270,871
1371,4401
4454,1351
1420,560
3912,3643
829,6174
4793,5932
2545,3007
358,5407
3380,7458
948,5652
1241,27
4854,2849
2504,628
3546,453
3550,2348
