D1,D2
2815,6176
4141,5189
2329,1766
2922,4860
3524,214
2963,1938
3491,6221
1102,1340
690,5547
3456,3330
4530,6153
2788,5910
2196,6049
3986,2424
3743,303
221,6856
1659,6734
2359,7220
773,7356
3653,3582
3345,2489
4932,5034
4173,5852
676,7414
2371,4102
667,6888
3972,3399
2967,5560
1933,3324
3725,7225
2157,4792
735,3207
686,3319
173,6393
2889,1418
288,2833
2154,3654
1768,174
500,7436
1794,3879
2038,971
5029,1792
884,3437
3889,3272
1147,3864
2718,4519
4464,2626
192,237
2274,4615
2669,6325
1700,2329
2149,2555
1684,7730
2026,4054
112,5446
4763,2540
3006,2423
1365,3073
2632,1673
1634,4206
4708,3974
4179,7276
3586,5412
2952,1909
2526,2034
3671,1244
5095,1390
3951,6784
4550,5229
2901,4070
183,4169
4093,3912
1919,3870
1537,750
3594,2226
4029,6438
1618,8
1216,5735
1735,339
767,7255
4013,7123
918,165
1898,801
4072,1559
322,5650
4373,4299
2998,3321
4773,159
2706,5002
2930,4426
1699,4216
3884,1314
2080,1467
1895,7786
369,5087
2786,7484
203,4822
4841,6787
3267,1630
4833,5067
157,727
4333,4657
3434,2025
2168,5331
4746,3888
2682,1376
4937,1761
1344,5358
387,7623
1865,5775
2606,3028
791,5097
1962,260
115,332
3772,6051
4923,5083
4164,2743
3396,5762
960,2930
982,4441
3808,2916
2858,3563
1843,2834
3751,3476
779,213
862,7006
2467,302
4661,4183
1392,1600
1494,2153
2393,6630
2798,3516
3111,3175
3993,1105
2030,7717
2268,5613
4959,231
760,458
3958,338
2337,1329
3286,1127
2631,1087
3096,1102
2954,4402
2927,2206
576,2520
2721,397
2906,1187
4907,166
3047,4978
2928,4899
828,2671
2313,3997
3440,4207
2837,625
3174,4406
1399,3320
4394,5299
4778,2517
4972,746
3447,2512
1326,5798
1434,4290
3159,1625
3218,4959
2681,6765
4948,6402
3014,4212
348,4444
3384,4521
2909,1372
4150,2209
1242,7580
3312,4688
4390,6200
5106,5723
52,2500
618,1218
4041,1811
1453,4131
1460,6288
2167,1508
1219,2464
2220,912
2146,2193
545,2510
1474,3483
3466,1010
1354,6076
3256,1437
3408,2782
2415,4934
1784,3807
1891,907
1253,3390
859,2601
4740,4420
4979,6371
3307,1947
1648,5156
1776,5988
1032,2759
2675,1731
3153,2587
643,1898
4064,524
247,364
2612,2953
4613,429
3194,127
426,5423
4882,219
292,1200
3984,2915
4798,3907
4087,3004
1174,1099
896,115
764,838
4009,129
4356,1104
2423,7496
3148,983
3513,954
4303,5493
2124,428
4185,1523
3987,2703
2883,5784
2032,2139
1021,7264
3643,614
4069,3222
1677,5719
302,6412
3637,4603
2806,4370
3121,60
79,1921
1899,5683
313,204
1573,7135
1264,5742
4890,2561
168,7387
4190,3702
833,283
677,1274
4143,218
1364,2824
3961,3478
1797,486
2622,1920
698,2186
1647,5709
5083,850
4992,4940
3289,5082
1114,61
3181,2686
1318,4267
4949,958
97,5176
3502,3369
3908,1078
1533,1859
2803,3830
1169,1599
3681,4105
1877,7538
645,5963
1384,2359
161,192
2708,5803
339,242
1249,7447
2518,6187
3696,6069
5013,3262
2284,4074
4201,256
670,6441
2428,1940
2851,6651
1432,2716
2348,4877
2887,3236
2267,6326
69,1213
4999,44
4066,6547
2576,3234
3698,1659
3435,2612
2662,4205
2226,1885
3073,6510
494,613
4736,1481
1937,3540
4682,1466
3708,3152
1750,4631
4996,5111
5092,6062
2484,7491
2087,3696
3299,1305
4239,629
4811,356
1043,5948
4577,5821
4311,355
22,798
2271,2315
1168,7245
4747,3994
1662,1835
2766,687
3305,1275
4582,2350
2980,537
3985,285
2809,3124
2240,6985
882,6858
5028,7048
2547,6540
3506,6517
2585,390
1438,6295
1454,3964
1572,395
2819,7534
4596,226
4213,4388
1196,4780
2938,2232
3021,1570
1731,4897
4270,871
1148,2462
1921,2233
2315,1760
1371,4401
4454,1351
823,358
1420,560
486,5286
3912,3643
4251,146
4028,6527
829,6174
405,349
898,98
5110,7599
4793,5932
1988,1436
2801,1817
2878,2419
2545,3007
358,5407
3380,7458
948,5652
3699,3761
1241,27
4854,2849
2504,628
3449,75
3546,453
4071,2819
3550,2348
1974,1457
