D1,D2
2276,3342
2084,2865
5508,2097
3178,393
2511,3863
4190,1711
7193,1347
2074,3937
2323,5616
1952,5286
541,649
5664,2813
7642,1518
1510,5433
2095,3075
1706,338
23,5923
2190,1895
4888,2212
4161,2405
2359,4347
1405,4562
3796,2786
4729,3455
3129,1578
6739,117
1514,1369
3322,3370
4850,4276
5209,1842
3922,3027
580,4941
2729,1612
60,2416
3801,4621
1046,377
2685,2576
5960,1848
1921,3271
2813,5479
2553,5763
2922,657
6241,4107
884,4864
24,3872
5450,1340
3527,4698
2162,4639
3280,2816
3970,3586
2748,4262
2465,1332
535,4049
479,5258
4405,2371
3923,3453
6982,2353
976,97
905,2536
487,3201
6326,4109
720,3302
4922,3382
1001,5347
5286,4761
540,3857
358,896
3878,2890
1523,125
5839,1103
1625,4418
154,5384
6815,81
2078,2764
5237,231
3991,126
4402,2774
6044,561
206,2668
537,2987
322,3829
2232,3028
983,3757
427,279
4563,5521
182,4659
6074,4597
2428,2367
3997,4161
4621,4606
87,3649
230,5264
7446,5677
3073,532
4132,5130
1081,4001
1764,749
4200,4198
5152,2258
3075,2272
766,2977
2231,141
3372,4911
7150,738
30,175
119,3869
52,1908
1274,1454
3986,3414
3577,1245
14,2073
4455,2082
2789,5197
887,1356
734,5395
6200,3332
1388,5149
5051,2122
284,2154
2419,1388
3047,5705
3750,3290
167,4649
1847,1231
486,1874
4388,4121
838,133
121,1517
2248,4373
1745,5305
4657,4542
5742,2584
1493,651
5299,2074
5083,555
6150,5431
577,1256
1718,3274
1559,5107
7180,5154
286,156
3029,1442
2193,5944
8,4293
199,4157
1314,4142
2754,1365
7166,5940
1229,4385
220,4723
629,2487
4978,2892
3346,2569
722,4066
871,5267
1303,2489
3631,324
3974,2615
3086,3692
5127,2265
5460,4388
677,4398
1115,3262
7369,691
152,2944
2151,5989
1876,5901
2824,5688
4249,2565
1078,3754
137,536
1762,4832
1934,3138
3358,3759
94,2802
1600,541
464,2288
3010,869
676,3882
1285,153
7365,3798
2953,3298
1835,45
5784,3166
6435,1141
5331,470
574,3309
123,170
1778,1765
7127,1941
750,2755
7204,5632
283,2084
4692,3036
6821,1108
2293,1530
6033,1032
4944,3583
5559,1727
3938,5758
5084,1026
4641,3472
233,4967
704,2616
1599,1333
2147,2877
1073,3103
5947,2224
4180,2368
6076,1741
3307,2162
6006,5029
4240,5048
6103,3832
1795,5547
5558,1725
1842,1102
4981,5587
7664,2642
7538,5510
5414,4362
1798,184
1218,1147
5792,3793
7342,3158
783,4695
1744,5182
625,1763
1401,1661
7276,986
222,3704
1775,4499
146,5250
7623,2869
4577,2827
6644,933
1241,463
505,5949
5294,5414
1208,105
58,452
3074,5540
5365,3333
6462,1659
4731,701
6961,2198
378,617
2761,2787
3641,4393
1705,963
713,241
1197,1335
5969,4955
1206,3994
4897,5050
5948,735
5289,2013
1631,4296
2716,5687
7599,2289
6489,4769
3805,5729
349,420
687,3587
3305,1396
2342,908
1335,3092
1810,1290
1168,2587
4843,5875
1966,6050
5788,700
907,83
1048,26
2834,5701
1760,2886
2570,3913
4398,5612
4207,5151
572,5643
1697,5169
4406,5231
5710,1310
3990,2968
231,562
7516,4587
7245,3620
2512,4210
3761,4236
3285,1296
4608,1623
141,1658
7445,221
592,1002
5717,568
5789,4357
272,1473
4539,3104
2065,473
1275,4452
1742,1938
1200,4969
3420,6014
6258,1309
947,4820
6087,4465
6502,3470
1898,4548
3888,1162
43,815
7526,3996
2561,575
2509,1990
