D1,D2
2448,1799
1765,5480
6441,5455
7387,2958
5234,1908
3708,5883
2631,3681
1845,1811
2084,2865
872,1636
2046,2047
5515,2583
6200,1517
6701,153
3345,5132
54,5104
5096,1432
5997,3142
4190,1711
7049,4491
3532,565
1855,2706
1969,117
7193,1347
6340,3492
3822,4352
1689,1215
2074,3937
2323,5616
6443,2651
7444,1365
4806,1792
3942,9
1371,202
6028,2204
5664,2813
6487,4384
4493,1006
1510,5433
4175,765
23,4636
995,4477
5670,4307
2699,4434
4072,3932
2095,3075
7053,4701
4782,106
1706,338
2368,2962
580,2820
64,4792
2735,1056
4888,2212
4161,2405
7414,3516
2359,4347
1405,4562
3796,2786
5114,1578
2270,978
44,2143
4051,126
6875,1535
1514,1369
3322,3370
4850,4276
5209,1842
743,4325
2729,1612
4030,4655
4124,3615
1350,4750
2230,5521
1046,377
2685,2576
5960,1848
1921,3271
5934,5602
4472,5567
5578,81
2813,5479
5020,4371
2553,5763
2922,657
884,4864
3321,4707
497,718
246,690
6766,1895
4185,726
2888,702
2162,4639
3280,2816
469,1330
2545,371
3970,3586
2748,4262
2851,2489
2465,1332
3923,3453
4216,3507
4131,1385
905,2536
6326,4109
720,3302
4922,3382
1001,5347
5286,4761
166,2955
540,3857
1368,2853
1625,4418
154,5384
2190,1420
545,2154
3410,4324
2403,4029
5237,231
4402,2774
4606,3090
1723,133
2232,3028
182,4659
6074,4597
2669,2280
1133,4280
3997,4161
4621,4606
87,3649
230,5264
7446,5677
6276,1639
3073,532
4132,5130
1081,4001
5087,2308
6145,660
4200,4198
4146,5127
2231,141
3372,4911
3346,1896
7150,738
30,175
213,850
3907,679
1274,1454
5458,4509
1859,1361
3577,1245
14,2073
2747,4096
4455,2082
4853,1135
5051,2122
3047,5705
3750,3290
5611,5107
7484,839
7369,3793
1847,1231
4388,4121
2248,4373
4657,4542
5742,2584
6141,3881
1027,2207
220,5568
5299,2074
5454,5025
1731,3455
4934,3821
2365,2623
7180,5154
6048,1002
286,156
3029,1442
2193,5944
8,4293
1314,4142
1229,4385
629,2487
147,3667
4978,2892
722,4066
3388,5277
3631,324
3974,2615
2754,3798
106,3068
5460,4388
677,4398
1115,3262
152,2944
768,214
2151,5989
4249,2565
1762,4832
1934,3138
3358,3759
1614,1486
94,2802
1600,541
464,2288
3010,869
3137,3743
676,3882
5784,3166
6435,1141
5331,470
1778,1765
2786,2504
7127,1941
3572,5901
2332,3254
750,2755
7204,5632
283,2084
4692,3036
3537,2463
2293,1530
6033,1032
4944,3583
3938,5758
5084,1026
4641,3472
233,4967
1599,1333
446,697
1589,1925
2147,2877
370,5860
1849,3354
1073,3103
4180,2368
6076,1741
2878,4691
3307,2162
6006,5029
4240,5048
2498,5196
6103,3832
1912,3069
6517,3690
7545,4745
4981,5587
7664,2642
3140,753
404,2148
7538,5510
5414,4362
2315,2378
1798,184
1218,1147
7342,3158
783,4695
7102,2573
1744,5182
625,1763
1401,1661
5558,4421
7276,986
222,3704
5803,1151
1775,4499
337,1877
146,5250
7623,2869
4577,2827
6644,933
1241,463
505,5949
5294,5414
1208,105
303,1360
1181,5942
397,4367
3074,5540
5365,3333
468,3958
1247,749
6462,1659
4731,701
6961,2198
378,617
2761,2787
3641,4393
1705,963
1197,1335
1206,3994
5407,1678
4897,5050
2010,4956
2682,2516
5948,735
1768,4938
5289,2013
1631,4296
2716,5687
7599,2289
6489,4769
4290,2054
3805,5729
687,3587
3305,1396
2342,908
1335,3092
1810,1290
4843,5875
1966,6050
6438,1399
5788,700
907,83
2490,763
2834,5701
1760,2886
2570,3913
423,1923
4398,5612
6097,5692
572,5643
1697,5169
4406,5231
5710,1310
3990,2968
231,562
7516,4587
1842,4374
7245,3620
2512,4210
3285,1296
4608,1623
3540,2884
305,3179
4006,600
5652,97
1772,3487
141,1658
7445,221
5717,2929
1048,4064
5789,4357
272,1473
759,3910
4539,3104
2065,473
1742,1938
1200,4969
3420,6014
947,4820
6087,4465
6502,3470
1898,4548
3888,1162
43,815
7526,3996
1376,1613
2561,575
1040,3171
2509,1990
6361,2727
6666,3980
6630,3017
7558,292
7679,3136
4394,4412
1312,5659
2722,3243
2814,1078
4091,5405
2028,5036
5719,1687
3084,4120
1817,694
4804,3441
7667,84
4024,3215
4500,3167
5156,1380
5508,429
306,4146
534,4501
3050,2539
353,2380
2587,4998
2653,1724
3617,5086
6002,2901
7602,161
429,2759
746,4513
4497,1065
4874,5425
7361,3565
4661,962
7281,4595
2209,4873
6386,2322
4884,3150
527,877
3920,5850
1959,3526
2462,4007
5737,2729
3476,5241
4684,5163
5493,4008
7263,3343
2219,3644
690,3960
4390,5743
4814,1614
6988,1935
560,1933
1068,3198
3592,5067
6540,2609
1481,50
1609,5648
5423,647
6840,3239
2350,3113
3295,5004
1305,987
4183,4961
2122,2339
608,3186
1099,2290
6371,1544
3937,3406
1087,1644
5579,1391
332,3616
3498,1352
6187,3663
2759,1362
6728,1164
5613,1168
4940,514
3453,2157
5431,3907
7543,3474
7730,5975
3039,1073
5954,2241
4323,5908
4243,2878
1511,3919
7255,5481
1117,1800
5293,5661
1203,151
4162,601
5078,4440
6146,4898
2606,408
4120,1958
6174,2694
3643,1970
3234,1642
6295,3692
3220,1487
7776,4535
1467,831
390,2637
253,5941
6801,935
6705,1321
7257,2789
5229,5691
1715,3485
7496,2544
2520,3585
7447,5074
6347,4807
61,1583
6994,2818
6457,3037
338,3906
4483,3250
575,4164
3222,5295
2217,3655
3760,5202
6722,5814
1460,5772
1633,1131
742,3345
4848,2061
3807,645
4420,345
7195,4474
2819,5789
1592,907
7402,2094
673,5993
6385,5849
1457,5830
183,114
4074,4483
5176,6038
2155,3592
601,5854
1610,4725
7123,2224
1771,2725
782,1132
1827,2728
7562,421
3007,4958
1125,109
6603,3195
1272,1996
4631,1158
395,3274
3873,3562
2516,1625
7687,974
5990,2062
6232,4240
371,2176
2849,3846
5945,4153
78,6016
3144,2367
2140,4528
5869,1256
7015,1651
4114,2977
5963,198
1549,1964
