D1,D2
2276,3342
7346,2360
6441,5455
5234,1908
3150,720
744,1681
2618,2816
2005,4480
6911,4469
1844,3872
44,750
517,844
6176,5524
4817,2642
4888,2212
4161,2405
2359,4347
4729,3455
4850,4276
1596,2353
7619,4698
4458,1977
2729,1612
2074,5889
3801,4621
1350,4750
1046,377
613,791
418,1906
884,4864
497,718
5450,1340
4185,2205
6462,642
2545,371
5960,657
3970,3586
2748,4262
2851,2489
535,4049
976,97
4131,1385
85,267
6437,4653
6326,4109
2588,1133
720,3302
5286,4761
4172,1711
1368,2853
3878,2890
1523,125
5839,1103
1625,4418
154,5384
5650,5337
3236,2592
714,4398
2225,3663
2078,2764
1100,182
5237,231
4402,2774
6044,561
206,2668
537,2987
322,3829
5276,5971
763,1111
5707,2085
2232,3028
983,3757
427,279
2605,575
182,4659
262,2629
801,3536
2669,2280
2428,2367
4440,3138
3997,4161
4621,4606
87,3649
230,5264
7446,5677
3073,532
4132,5130
1081,4001
1764,749
5087,2308
5226,5643
4200,4198
5152,2258
3075,2272
10,4371
2231,141
3372,4911
7150,738
3483,2362
5312,1517
30,175
119,3869
5752,4689
6429,1912
2903,154
3907,679
1274,1454
3986,3414
2233,1519
4938,1838
1859,1361
3577,1245
3539,1646
14,2073
2287,0
4455,2082
2789,5197
3859,5902
4853,1135
734,5395
6200,3332
1388,5149
5051,2122
3808,385
284,2154
2419,1388
7484,839
167,4649
1847,1231
486,1874
4388,4121
838,133
2248,4373
1745,5305
4657,4542
5742,2584
7491,264
6141,3881
1027,2207
5299,2074
5083,555
2011,1005
6150,5431
577,1256
4526,620
1718,3274
1559,5107
2365,2623
7180,5154
6048,1002
3029,1442
2193,5944
8,4293
6283,4086
1314,4142
2754,1365
7166,5940
629,2487
147,3667
4978,2892
722,4066
871,5267
3388,5277
3631,324
3974,2615
5394,1521
3086,3692
5127,2265
5460,4388
1115,3262
553,1727
768,214
862,4240
2151,5989
1876,5901
2824,5688
1078,3754
137,536
1762,4832
3358,3759
1614,1486
94,2802
1600,541
464,2288
676,3882
1285,153
7365,3798
2953,3298
1835,45
380,3637
5784,3166
6435,1141
5331,470
123,170
1778,1765
7127,1941
2332,3254
750,2755
283,2084
4692,3036
3537,2463
6033,1032
2846,1642
3938,5758
5084,1026
4641,3472
233,4967
704,2616
1599,1333
446,697
2147,2877
370,5860
5947,2224
7633,2886
6076,1741
6006,5029
4240,5048
2498,5196
1912,3069
652,2661
6517,3690
4981,5587
7538,5510
5414,4362
1798,184
1218,1147
783,4695
7102,2573
1744,5182
625,1763
7276,986
5803,1151
337,1877
146,5250
7623,2869
6644,933
5294,5414
1208,105
303,1360
1181,5942
397,4367
7444,1347
3074,5540
5365,3333
468,3958
6961,2198
378,617
2761,2787
713,241
5969,4955
1206,3994
5407,1678
4897,5050
1631,4296
2716,5687
7599,2289
4290,2054
3805,5729
687,3587
3305,1396
2342,908
1810,1290
4843,5875
1966,6050
5788,700
907,83
2834,5701
2570,3913
4398,5612
6097,5692
4207,5151
1697,5169
4406,5231
5710,1310
3990,2968
2217,762
4723,2355
5289,2340
231,562
7516,4587
7245,3620
995,355
2512,4210
3761,4236
1201,1925
141,1658
5789,4357
272,1473
759,3910
4539,3104
2065,473
1742,1938
1200,4969
3420,6014
6087,4465
6502,3470
1898,4548
3888,1162
43,815
4902,1580
1376,1613
1040,3171
2509,1990
6361,2727
3285,1724
7558,292
1312,5659
2814,1078
2028,5036
5719,1687
1121,4385
3084,4120
4024,3215
5156,1380
991,4264
5508,429
306,4146
534,4501
3050,2539
353,2380
3617,5086
7602,161
746,4513
7361,3565
4661,962
2209,4873
6386,2322
527,877
947,781
2462,4007
2084,540
5737,2729
3476,5241
7263,3343
690,3960
6988,1935
560,1933
1068,3198
6540,2609
1609,5648
5423,647
297,4667
2350,3113
1305,987
4183,4961
6371,1544
1087,1644
332,3616
5613,1168
4940,514
3453,2157
5463,1614
1606,5881
7730,5975
3039,1073
4323,5908
4243,2878
7255,5481
1117,1800
5293,5661
6146,4898
4120,1958
6174,2694
3643,1970
7776,4535
1467,831
390,2637
253,5941
6801,935
6705,1321
7257,2789
5229,5691
1715,3485
7496,2544
2520,3585
7447,5074
61,1583
6994,2818
6457,3037
338,3906
4483,3250
575,4164
3222,5295
7049,2160
